Date,Close,LMT
23/08/2005,63.05,0
22/08/2005,63.05,0.009401711
19/08/2005,62.46,-0.003037329
18/08/2005,62.65,-0.004141452
17/08/2005,62.91,0.005898782
16/08/2005,62.54,-0.001278364
15/08/2005,62.62,0.002718479
12/08/2005,62.45,-0.010512999
11/08/2005,63.11,0.007475184
10/08/2005,62.64,-0.001913876
09/08/2005,62.76,-0.006986373
08/08/2005,63.2,0.005871635
05/08/2005,62.83,0.000159172
04/08/2005,62.82,-0.002067266
03/08/2005,62.95,-0.000317662
02/08/2005,62.97,0.008292186
01/08/2005,62.45,0.000800961
29/07/2005,62.4,-0.011155494
28/07/2005,63.1,-0.015099375
27/07/2005,64.06,0.001093323
26/07/2005,63.99,0.023400277
25/07/2005,62.51,0.008192159
22/07/2005,62,0.005661155
21/07/2005,61.65,-0.001620746
20/07/2005,61.75,0.002756833
19/07/2005,61.58,0.001787892
18/07/2005,61.47,-0.004544725
15/07/2005,61.75,0.001620746
14/07/2005,61.65,0.002761311
13/07/2005,61.48,-0.006485107
12/07/2005,61.88,0.001779216
11/07/2005,61.77,-0.011748747
08/07/2005,62.5,-0.005425257
07/07/2005,62.84,-0.002542913
06/07/2005,63,-0.015435808
05/07/2005,63.98,-0.008869583
01/07/2005,64.55,-0.00494515
30/06/2005,64.87,0.011161176
29/06/2005,64.15,-0.004200053
28/06/2005,64.42,0.014384238
27/06/2005,63.5,-0.000157468
24/06/2005,63.51,-0.01173998
23/06/2005,64.26,-0.008676844
22/06/2005,64.82,-0.000616903
21/06/2005,64.86,0.001851852
20/06/2005,64.74,0.001236476
17/06/2005,64.66,0.007451137
16/06/2005,64.18,-0.000778756
15/06/2005,64.23,-0.003574485
14/06/2005,64.46,-0.001859889
13/06/2005,64.58,-0.008787538
10/06/2005,65.15,-0.000767165
09/06/2005,65.2,0.008007434
08/06/2005,64.68,-0.001544879
07/06/2005,64.78,-0.001696615
06/06/2005,64.89,-0.002616392
03/06/2005,65.06,-0.001842752
02/06/2005,65.18,0.004921573
01/06/2005,64.86,-0.000462428
31/05/2005,64.89,-0.00782873
27/05/2005,65.4,0.00122399
26/05/2005,65.32,0.007221357
25/05/2005,64.85,-0.003386703
24/05/2005,65.07,0.005238841
23/05/2005,64.73,0.002939586
20/05/2005,64.54,-0.003402942
19/05/2005,64.76,-0.001234568
18/05/2005,64.84,0.000617094
17/05/2005,64.8,0.00464038
16/05/2005,64.5,0.007469689
13/05/2005,64.02,-0.011338166
12/05/2005,64.75,0.004488824
