Date,Close,AEP
22/11/2005,36.6,0.003284075
21/11/2005,36.48,-0.00082203
18/11/2005,36.51,0.000547945
17/11/2005,36.49,0.006874769
16/11/2005,36.24,0.01137795
15/11/2005,35.83,0.000837638
14/11/2005,35.8,-0.019364367
11/11/2005,36.5,-0.00082158
10/11/2005,36.53,-0.011431807
09/11/2005,36.95,0.002438695
08/11/2005,36.86,-0.00379096
07/11/2005,37,-0.000810482
04/11/2005,37.03,0.002974985
03/11/2005,36.92,-0.011579502
02/11/2005,37.35,0.00402415
01/11/2005,37.2,-0.020224212
31/10/2005,37.96,0.001581862
28/10/2005,37.9,0.034629685
27/10/2005,36.61,-0.001364815
26/10/2005,36.66,-0.008690984
25/10/2005,36.98,-0.005931535
24/10/2005,37.2,0.025593556
21/10/2005,36.26,0.011371638
20/10/2005,35.85,-0.02913895
19/10/2005,36.91,0.00625087
18/10/2005,36.68,-0.019171642
17/10/2005,37.39,0.01644907
14/10/2005,36.78,0
13/10/2005,36.78,-0.020186394
12/10/2005,37.53,-0.015073669
11/10/2005,38.1,0.003154577
10/10/2005,37.98,-0.011778699
07/10/2005,38.43,0.003388508
06/10/2005,38.3,-0.022716516
05/10/2005,39.18,-0.026943591
04/10/2005,40.25,0.000994283
03/10/2005,40.21,0.012764533
30/09/2005,39.7,0.003027248
29/09/2005,39.58,0.009902328
28/09/2005,39.19,0.007427362
27/09/2005,38.9,-0.001027749
26/09/2005,38.94,-0.001026694
23/09/2005,38.98,0.000513215
22/09/2005,38.96,-0.001026167
21/09/2005,39,0.002567396
20/09/2005,38.9,0.003347499
19/09/2005,38.77,-0.003090396
16/09/2005,38.89,0.006190373
15/09/2005,38.65,0.007270871
14/09/2005,38.37,0.004440389
13/09/2005,38.2,0.002883735
12/09/2005,38.09,-0.005498116
09/09/2005,38.3,0.008653522
08/09/2005,37.97,-0.006039141
07/09/2005,38.2,0.006302542
06/09/2005,37.96,0.006342516
02/09/2005,37.72,0.005849525
01/09/2005,37.5,0.008569951
31/08/2005,37.18,0.005393756
30/08/2005,36.98,0
29/08/2005,36.98,0.003793015
26/08/2005,36.84,-0.007571697
25/08/2005,37.12,0.004590261
24/08/2005,36.95,-0.000811579
23/08/2005,36.98,0.002436714
22/08/2005,36.89,0.001899336
19/08/2005,36.82,0.00135888
18/08/2005,36.77,-0.000543774
17/08/2005,36.79,-0.009199199
