Date,Close,NOV
21/06/2006,58.4,0.033075252
20/06/2006,56.5,-0.034444177
19/06/2006,58.48,-0.041204958
16/06/2006,60.94,-0.016437835
15/06/2006,61.95,0.054740033
14/06/2006,58.65,0.031699199
13/06/2006,56.82,-0.046592011
12/06/2006,59.53,-0.043553017
09/06/2006,62.18,-0.004492947
08/06/2006,62.46,-0.012884931
07/06/2006,63.27,-0.043454846
06/06/2006,66.08,0.002120892
05/06/2006,65.94,-0.044491323
02/06/2006,68.94,0.025712134
01/06/2006,67.19,0.016961007
31/05/2006,66.06,0.024673691
30/05/2006,64.45,-0.014020721
26/05/2006,65.36,0.010767678
25/05/2006,64.66,0.051570084
24/05/2006,61.41,-0.009077709
23/05/2006,61.97,-0.000161355
22/05/2006,61.98,-0.009154485
19/05/2006,62.55,0.006898239
18/05/2006,62.12,-0.025273538
17/05/2006,63.71,-0.023424634
16/05/2006,65.22,0.002302557
15/05/2006,65.07,-0.029527469
12/05/2006,67.02,-0.041215829
11/05/2006,69.84,-0.017458395
10/05/2006,71.07,0.005927198
09/05/2006,70.65,0.015835983
08/05/2006,69.54,-0.026675816
05/05/2006,71.42,0.012965232
04/05/2006,70.5,-0.005375596
03/05/2006,70.88,-0.012060166
02/05/2006,71.74,0.021130523
01/05/2006,70.24,0.018246322
28/04/2006,68.97,0.033466675
27/04/2006,66.7,-0.030126319
26/04/2006,68.74,-0.000290909
25/04/2006,68.76,-0.017873062
24/04/2006,70,-0.015873349
21/04/2006,71.12,0.01316274
20/04/2006,70.19,-0.023374762
19/04/2006,71.85,0.029089879
18/04/2006,69.79,0.024073088
17/04/2006,68.13,0.014042061
13/04/2006,67.18,0.022428877
12/04/2006,65.69,-0.01075035
11/04/2006,66.4,0.016398788
10/04/2006,65.32,0.03204505
07/04/2006,63.26,-0.018946781
06/04/2006,64.47,-0.006493529
05/04/2006,64.89,0.013966707
04/04/2006,63.99,0.000781678
03/04/2006,63.94,-0.002811184
31/03/2006,64.12,-0.027078578
30/03/2006,65.88,0.019310945
29/03/2006,64.62,0.026977797
28/03/2006,62.9,0.018128354
27/03/2006,61.77,-0.014624608
24/03/2006,62.68,0.019655861
23/03/2006,61.46,0.039663375
22/03/2006,59.07,0.010209379
21/03/2006,58.47,-0.001708818
20/03/2006,58.57,-0.024288595
17/03/2006,60.01,-0.012091245
16/03/2006,60.74,0.019282512
15/03/2006,59.58,-0.007357893
14/03/2006,60.02,0.028732752
13/03/2006,58.32,0.017644464
10/03/2006,57.3,0.005249356
09/03/2006,57,-0.026659013
08/03/2006,58.54,0.007888911
07/03/2006,58.08,-0.029685837
06/03/2006,59.83,-0.047491995
03/03/2006,62.74,0.001275917
02/03/2006,62.66,0.025702538
01/03/2006,61.07,0.003116034
28/02/2006,60.88,-0.003770805
27/02/2006,61.11,-0.042920919
24/02/2006,63.79,-0.006406772
23/02/2006,64.2,-0.003886519
22/02/2006,64.45,-0.032514503
21/02/2006,66.58,0.034844601
17/02/2006,64.3,0.0226496
16/02/2006,62.86,0.034142949
15/02/2006,60.75,-0.012107478
14/02/2006,61.49,-0.040945584
13/02/2006,64.06,0.004066954
10/02/2006,63.8,-0.016169507
09/02/2006,64.84,-0.049494948
08/02/2006,68.13,-0.021777864
07/02/2006,69.63,-0.078815693
06/02/2006,75.34,0.025542456
03/02/2006,73.44,0.00943984
02/02/2006,72.75,-0.011344344
01/02/2006,73.58,-0.033280719
31/01/2006,76.07,-0.006159511
30/01/2006,76.54,0.053951094
27/01/2006,72.52,0.014304806
26/01/2006,71.49,0.000839631
25/01/2006,71.43,-0.032776275
24/01/2006,73.81,-0.006078225
23/01/2006,74.26,0.012602647
20/01/2006,73.33,-0.001362769
19/01/2006,73.43,0.043418535
18/01/2006,70.31,-0.012578782
17/01/2006,71.2,0.019858809
13/01/2006,69.8,0.010513527
12/01/2006,69.07,-0.040155782
11/01/2006,71.9,0.004879759
10/01/2006,71.55,0.023760133
09/01/2006,69.87,-0.010960184
06/01/2006,70.64,0.039413257
05/01/2006,67.91,-0.028023612
04/01/2006,69.84,0.029497235
03/01/2006,67.81,0.078348229
30/12/2005,62.7,0.003034904
29/12/2005,62.51,-0.018858019
28/12/2005,63.7,0.034172254
27/12/2005,61.56,-0.035270551
23/12/2005,63.77,-0.003600223
22/12/2005,64,-0.009021682
21/12/2005,64.58,0.005901555
20/12/2005,64.2,0.032130642
19/12/2005,62.17,-0.022269093
16/12/2005,63.57,-0.011728964
15/12/2005,64.32,-0.010516645
14/12/2005,65,0.008497541
13/12/2005,64.45,-0.023613486
12/12/2005,65.99,0.00440429
09/12/2005,65.7,-0.007732583
08/12/2005,66.21,0.043998761
07/12/2005,63.36,0.005380611
06/12/2005,63.02,0.007485899
05/12/2005,62.55,0.008186899
02/12/2005,62.04,-0.005625668
01/12/2005,62.39,0.028780134
30/11/2005,60.62,0.023027882
29/11/2005,59.24,0.007115056
28/11/2005,58.82,-0.061164508
25/11/2005,62.53,0.000799936
