Date,Close,FCX
24/02/2005,40.46,0.016195695
23/02/2005,39.81,0.00301887
22/02/2005,39.69,-0.001007303
18/02/2005,39.73,0.000755382
17/02/2005,39.7,0.01344004
16/02/2005,39.17,0.026909774
15/02/2005,38.13,-0.001048493
14/02/2005,38.17,0.002360657
11/02/2005,38.08,0.025533302
10/02/2005,37.12,0.0331401
09/02/2005,35.91,-0.009423573
08/02/2005,36.25,-0.012882184
07/02/2005,36.72,-0.011103702
04/02/2005,37.13,-0.006442975
03/02/2005,37.37,-0.00773028
02/02/2005,37.66,0.015790506
01/02/2005,37.07,0.00703847
31/01/2005,36.81,0.023362338
28/01/2005,35.96,-0.030131011
27/01/2005,37.06,-0.006455106
26/01/2005,37.3,0.012952151
25/01/2005,36.82,-0.014291736
24/01/2005,37.35,0.000267773
21/01/2005,37.34,0.015110919
20/01/2005,36.78,-0.010278695
19/01/2005,37.16,-0.027602602
18/01/2005,38.2,0.042514088
14/01/2005,36.61,0.009606222
13/01/2005,36.26,0.012767312
12/01/2005,35.8,0.006726483
11/01/2005,35.56,0.003662492
10/01/2005,35.43,-0.005348359
07/01/2005,35.62,0.009591047
06/01/2005,35.28,-0.00141623
05/01/2005,35.33,-0.011538048
04/01/2005,35.74,-0.040307033
03/01/2005,37.21,-0.027043005
31/12/2004,38.23,0.000785032
30/12/2004,38.2,-0.004440389
29/12/2004,38.37,0.007061622
28/12/2004,38.1,0.003681308
27/12/2004,37.96,0.004223871
23/12/2004,37.8,-0.003960401
22/12/2004,37.95,-0.005256254
21/12/2004,38.15,0.022532431
20/12/2004,37.3,-0.008276646
17/12/2004,37.61,0.009618028
16/12/2004,37.25,-0.014127917
15/12/2004,37.78,0.010911619
14/12/2004,37.37,-0.005071411
13/12/2004,37.56,0.025618227
10/12/2004,36.61,-0.003544653
09/12/2004,36.74,0.020624958
08/12/2004,35.99,-0.005265358
07/12/2004,36.18,-0.022141126
06/12/2004,36.99,-0.010755683
03/12/2004,37.39,-0.000267415
02/12/2004,37.4,-0.036233945
01/12/2004,38.78,-0.008984786
30/11/2004,39.13,-0.037617274
29/11/2004,40.63,0.001477833
26/11/2004,40.57,0.025969
24/11/2004,39.53,0.023548567
23/11/2004,38.61,-0.008767462
