Date,Close,VZ
28/06/2005,34.65,0.007822726
27/06/2005,34.38,-0.002614381
24/06/2005,34.47,-0.007226509
23/06/2005,34.72,-0.008888947
22/06/2005,35.03,0.000856776
21/06/2005,35,-0.003992021
20/06/2005,35.14,0.003135246
17/06/2005,35.03,0.002572533
16/06/2005,34.94,-0.006276768
15/06/2005,35.16,0.004275338
14/06/2005,35.01,0.002860414
13/06/2005,34.91,0.001720184
10/06/2005,34.85,0.001148435
09/06/2005,34.81,-0.007441362
08/06/2005,35.07,0.000855798
07/06/2005,35.04,0.000570939
06/06/2005,35.02,-0.00427412
03/06/2005,35.17,0
02/06/2005,35.17,-0.005387791
01/06/2005,35.36,-0.000565451
31/05/2005,35.38,-0.002258612
27/05/2005,35.46,0.003106908
26/05/2005,35.35,-0.001413428
25/05/2005,35.4,0.005665738
24/05/2005,35.2,-0.00425231
23/05/2005,35.35,0.00425231
20/05/2005,35.2,0.003985203
19/05/2005,35.06,0.008018371
18/05/2005,34.78,0.006345565
17/05/2005,34.56,0.00173762
16/05/2005,34.5,0.011955238
13/05/2005,34.09,-0.00584968
12/05/2005,34.29,-0.002621233
11/05/2005,34.38,0.001455392
10/05/2005,34.33,-0.006098465
09/05/2005,34.54,-0.000578871
06/05/2005,34.56,0.00755159
05/05/2005,34.3,-0.011594333
04/05/2005,34.7,0.000864927
03/05/2005,34.67,-0.008615791
02/05/2005,34.97,-0.023457342
29/04/2005,35.8,0.02117228
28/04/2005,35.05,-0.00483849
27/04/2005,35.22,0.035253578
26/04/2005,34,-0.001763151
25/04/2005,34.06,0
22/04/2005,34.06,-0.005854818
21/04/2005,34.26,0.014109582
20/04/2005,33.78,-0.011186458
19/04/2005,34.16,0.004694844
18/04/2005,34,-0.004402061
15/04/2005,34.15,-0.021437669
14/04/2005,34.89,-0.000286574
13/04/2005,34.9,-0.008275122
12/04/2005,35.19,0.008275122
11/04/2005,34.9,-0.004859235
08/04/2005,35.07,-0.009648202
07/04/2005,35.41,-0.002820081
06/04/2005,35.51,-0.007295206
05/04/2005,35.77,0.003360406
04/04/2005,35.65,0.012987196
01/04/2005,35.19,-0.008770745
31/03/2005,35.5,0.001973778
30/03/2005,35.43,0.016218879
29/03/2005,34.86,0.00402415
28/03/2005,34.72,-0.001151411
24/03/2005,34.76,-0.004306021
23/03/2005,34.91,0.01297409
22/03/2005,34.46,-0.014119238
21/03/2005,34.95,-0.00570615
18/03/2005,35.15,-0.001705515
17/03/2005,35.21,-0.003685334
16/03/2005,35.34,-0.009574841
15/03/2005,35.68,-0.011148387
14/03/2005,36.08,0.0002772
11/03/2005,36.07,-0.002768551
10/03/2005,36.17,0.000829761
09/03/2005,36.14,0.00110742
08/03/2005,36.1,-0.01129333
07/03/2005,36.51,0.002468121
04/03/2005,36.42,0.001373815
03/03/2005,36.37,-0.002745746
02/03/2005,36.47,0.006050624
01/03/2005,36.25,0.007754124
28/02/2005,35.97,-0.006373861
25/02/2005,36.2,0.019526422
24/02/2005,35.5,-0.00140746
23/02/2005,35.55,0.004793468
22/02/2005,35.38,0.001980479
18/02/2005,35.31,-0.010424098
17/02/2005,35.68,-0.012256421
16/02/2005,36.12,-0.003868477
15/02/2005,36.26,0.001932368
14/02/2005,36.19,-0.003310348
11/02/2005,36.31,0.007463753
10/02/2005,36.04,-0.000554785
09/02/2005,36.06,-0.010757241
08/02/2005,36.45,-0.006017524
07/02/2005,36.67,-0.004896637
04/02/2005,36.85,0.026118323
03/02/2005,35.9,0.000557258
02/02/2005,35.88,0
01/02/2005,35.88,0.008115338
31/01/2005,35.59,-0.002525608
28/01/2005,35.68,-0.005310984
27/01/2005,35.87,-0.017958764
26/01/2005,36.52,0.014341117
25/01/2005,36,-0.02333668
24/01/2005,36.85,0.009543358
21/01/2005,36.5,0.006321307
20/01/2005,36.27,-0.010422475
19/01/2005,36.65,-0.027716021
18/01/2005,37.68,0.022545238
14/01/2005,36.84,-0.007032758
13/01/2005,37.1,-0.030003578
12/01/2005,38.23,-0.009631729
11/01/2005,38.6,-0.011078305
10/01/2005,39.03,-0.00968901
07/01/2005,39.41,-0.003546103
06/01/2005,39.55,-0.011813635
05/01/2005,40.02,-0.001498128
04/01/2005,40.08,-0.010177573
03/01/2005,40.49,-0.000493827
31/12/2004,40.51,-0.006642908
30/12/2004,40.78,-0.001470228
29/12/2004,40.84,-0.002201297
28/12/2004,40.93,0.007848949
27/12/2004,40.61,-0.003441498
23/12/2004,40.75,-0.003918692
22/12/2004,40.91,-0.006092379
