Date,Close,GS
04/01/2006,127.09,-0.013908647
03/01/2006,128.87,0.009042076
30/12/2005,127.71,-0.002424433
29/12/2005,128.02,0.0003125
28/12/2005,127.98,-0.002185452
27/12/2005,128.26,0.001170184
23/12/2005,128.11,0.000937134
22/12/2005,127.99,0.005327079
21/12/2005,127.31,0.011454879
20/12/2005,125.86,0.005816981
19/12/2005,125.13,-0.010889111
16/12/2005,126.5,-0.014128963
15/12/2005,128.3,-0.010312967
14/12/2005,129.63,-0.015386685
13/12/2005,131.64,0.012459554
12/12/2005,130.01,0.002695731
09/12/2005,129.66,0.007897834
08/12/2005,128.64,-0.009670133
07/12/2005,129.89,-0.010873001
06/12/2005,131.31,-0.013164058
05/12/2005,133.05,0.014917174
02/12/2005,131.08,0.006121843
01/12/2005,130.28,0.010183702
30/11/2005,128.96,-0.011487733
29/11/2005,130.45,-0.004970379
28/11/2005,131.1,-0.022774531
25/11/2005,134.12,0.000298285
23/11/2005,134.08,0.011099559
22/11/2005,132.6,0.001433908
21/11/2005,132.41,0.006288138
18/11/2005,131.58,0.008931698
17/11/2005,130.41,0.017247808
16/11/2005,128.18,0.001639665
15/11/2005,127.97,-0.00987528
14/11/2005,129.24,-0.005863309
11/11/2005,130,-0.000692068
10/11/2005,130.09,0.010742404
09/11/2005,128.7,0.0092109
08/11/2005,127.52,-0.012701304
07/11/2005,129.15,-0.013917414
04/11/2005,130.96,0.013530342
03/11/2005,129.2,0.000541942
02/11/2005,129.13,0.019787139
01/11/2005,126.6,0.001818398
31/10/2005,126.37,0.014426584
28/10/2005,124.56,0.017248089
27/10/2005,122.43,-0.014756227
26/10/2005,124.25,0.005649733
25/10/2005,123.55,0.002025522
24/10/2005,123.3,0.03743156
21/10/2005,118.77,0.000168407
20/10/2005,118.75,-0.020421631
19/10/2005,121.2,0.034499204
18/10/2005,117.09,0.000341676
17/10/2005,117.05,0.021589785
14/10/2005,114.55,0.012031937
13/10/2005,113.18,-0.021588917
12/10/2005,115.65,-0.016295386
11/10/2005,117.55,-0.00813357
10/10/2005,118.51,0.007963444
07/10/2005,117.57,0.005458436
06/10/2005,116.93,-0.006988268
05/10/2005,117.75,-0.009887265
04/10/2005,118.92,-0.022697071
03/10/2005,121.65,0.000575587
30/09/2005,121.58,0.002965406
29/09/2005,121.22,0.009282347
28/09/2005,120.1,0.003586775
27/09/2005,119.67,-0.002753788
26/09/2005,120,0.004426449
23/09/2005,119.47,0.008152333
22/09/2005,118.5,0.024085202
21/09/2005,115.68,-0.020280505
20/09/2005,118.05,-0.001946431
19/09/2005,118.28,-0.001014027
16/09/2005,118.4,0.020909659
15/09/2005,115.95,0.000431313
14/09/2005,115.9,-0.011154127
13/09/2005,117.2,-0.006802747
12/09/2005,118,0.015629989
09/09/2005,116.17,0.00873217
08/09/2005,115.16,0.002173252
07/09/2005,114.91,0.002788673
06/09/2005,114.59,0.012116039
02/09/2005,113.21,0.000795299
01/09/2005,113.12,0.017298693
31/08/2005,111.18,0.012125748
30/08/2005,109.84,-0.002818312
29/08/2005,110.15,0.003638021
26/08/2005,109.75,-0.006810469
25/08/2005,110.5,0.004626068
24/08/2005,109.99,-0.016322108
23/08/2005,111.8,0.000894855
22/08/2005,111.7,0.003857026
19/08/2005,111.27,0.003781744
18/08/2005,110.85,-0.002522751
17/08/2005,111.13,-0.008512215
16/08/2005,112.08,-0.022845536
15/08/2005,114.67,0.008934888
12/08/2005,113.65,-0.004302215
11/08/2005,114.14,0.018659073
10/08/2005,112.03,0.00492149
09/08/2005,111.48,0.014183354
08/08/2005,109.91,0.001912482
05/08/2005,109.7,0.004110533
04/08/2005,109.25,-0.01471951
03/08/2005,110.87,0.012251163
02/08/2005,109.52,0.02215748
01/08/2005,107.12,-0.003355082
29/07/2005,107.48,-0.020171073
28/07/2005,109.67,0.004752774
27/07/2005,109.15,0.013187815
26/07/2005,107.72,-0.005554541
25/07/2005,108.32,-0.007450023
22/07/2005,109.13,0.008096465
21/07/2005,108.25,-0.012485244
20/07/2005,109.61,-0.001003055
19/07/2005,109.72,0.013580682
18/07/2005,108.24,-0.002399189
