Date,Close,CVS
19/01/2005,47.26,-0.005065439
18/01/2005,47.5,0.010582109
14/01/2005,47,0.006831794
13/01/2005,46.68,-0.008532475
12/01/2005,47.08,-0.00063701
11/01/2005,47.11,0.023626529
10/01/2005,46.01,0.005666972
07/01/2005,45.75,0.010768152
06/01/2005,45.26,0.00022097
05/01/2005,45.25,0.016938225
04/01/2005,44.49,-0.011398045
03/01/2005,45,-0.001554347
31/12/2004,45.07,-0.005310922
30/12/2004,45.31,0.002430672
29/12/2004,45.2,0.0042124
28/12/2004,45.01,0.004899787
27/12/2004,44.79,-0.004899787
23/12/2004,45.01,0.001111482
