Date,Close,COP
15/06/2005,57.33,0.013698844
14/06/2005,56.55,0.009773512
13/06/2005,56,0.001072003
10/06/2005,55.94,-0.005704115
09/06/2005,56.26,0.031783101
08/06/2005,54.5,-0.002565514
07/06/2005,54.64,-0.010015562
06/06/2005,55.19,0.003266791
03/06/2005,55.01,0.00145534
02/06/2005,54.93,-0.695783426
01/06/2005,110.15,0.021194426
31/05/2005,107.84,0.002692791
27/05/2005,107.55,0.023233891
26/05/2005,105.08,-0.002471249
25/05/2005,105.34,0.009538416
24/05/2005,104.34,0.009533511
23/05/2005,103.35,0.021912253
20/05/2005,101.11,-0.002469503
19/05/2005,101.36,0.015510353
18/05/2005,99.8,0.009058945
17/05/2005,98.9,0.021668877
16/05/2005,96.78,-0.017717705
13/05/2005,98.51,-0.018207011
12/05/2005,100.32,-0.05488532
11/05/2005,105.98,0.010242882
10/05/2005,104.9,-0.017575809
09/05/2005,106.76,0.01738517
06/05/2005,104.92,-0.000857429
05/05/2005,105.01,0.009184031
04/05/2005,104.05,0.00529994
03/05/2005,103.5,-0.030449546
02/05/2005,106.7,0.017490401
29/04/2005,104.85,0.020134585
28/04/2005,102.76,-0.009105943
27/04/2005,103.7,-0.028987537
26/04/2005,106.75,-0.018102142
25/04/2005,108.7,0.016136861
22/04/2005,106.96,0.011944652
21/04/2005,105.69,0.023163363
20/04/2005,103.27,-0.012318508
19/04/2005,104.55,0.018145465
18/04/2005,102.67,0.02565002
15/04/2005,100.07,-0.046851547
14/04/2005,104.87,-0.004091931
13/04/2005,105.3,-0.027907046
12/04/2005,108.28,-0.01875541
11/04/2005,110.33,0.010936043
08/04/2005,109.13,-0.011117301
07/04/2005,110.35,-0.004701211
06/04/2005,110.87,0.023268535
05/04/2005,108.32,-0.020558995
04/04/2005,110.57,0.002626218
01/04/2005,110.28,0.022373939
31/03/2005,107.84,0.022601422
30/03/2005,105.43,0.017220362
29/03/2005,103.63,-0.015511609
28/03/2005,105.25,0.004380125
24/03/2005,104.79,-0.00295393
23/03/2005,105.1,-0.018196891
22/03/2005,107.03,-0.019155724
21/03/2005,109.1,-0.010485621
18/03/2005,110.25,0.020897104
17/03/2005,107.97,0.013614533
16/03/2005,106.51,0.017044253
15/03/2005,104.71,-0.015070661
14/03/2005,106.3,0.006701616
11/03/2005,105.59,0.000284158
10/03/2005,105.56,-0.009804
09/03/2005,106.6,-0.027845099
08/03/2005,109.61,-0.019782949
07/03/2005,111.8,-0.003660555
04/03/2005,112.21,0.014452027
03/03/2005,110.6,0.00999554
02/03/2005,109.5,0.009174376
01/03/2005,108.5,-0.021788546
28/02/2005,110.89,-0.012813221
25/02/2005,112.32,0.019236548
24/02/2005,110.18,0.027419143
23/02/2005,107.2,0.011728964
22/02/2005,105.95,-0.002827523
18/02/2005,106.25,0.021403909
17/02/2005,104,-0.002976336
16/02/2005,104.31,0.028491402
15/02/2005,101.38,0.00405239
14/02/2005,100.97,0.019299634
11/02/2005,99.04,-0.004332282
10/02/2005,99.47,0.026589454
09/02/2005,96.86,0.001653235
08/02/2005,96.7,0.00632815
07/02/2005,96.09,-0.001351984
04/02/2005,96.22,0.003852767
03/02/2005,95.85,0.008065827
02/02/2005,95.08,0.004955464
01/02/2005,94.61,0.019424303
31/01/2005,92.79,0.019589265
28/01/2005,90.99,-0.000109896
27/01/2005,91,0.005620159
26/01/2005,90.49,0.017727205
25/01/2005,88.9,0.004848631
24/01/2005,88.47,0.013313049
21/01/2005,87.3,-0.004913453
20/01/2005,87.73,-0.017401569
19/01/2005,89.27,-0.00947663
18/01/2005,90.12,0.012281052
14/01/2005,89.02,0.004729206
13/01/2005,88.6,0.015125096
12/01/2005,87.27,0.019321478
11/01/2005,85.6,-0.000350406
10/01/2005,85.63,0.009032849
07/01/2005,84.86,-0.006343261
06/01/2005,85.4,0.014388737
05/01/2005,84.18,0.007392427
04/01/2005,83.56,-0.006560529
03/01/2005,84.11,-0.031826718
31/12/2004,86.83,0.000460776
30/12/2004,86.79,-0.005973596
29/12/2004,87.31,0.008742722
28/12/2004,86.55,0.005793759
27/12/2004,86.05,-0.012702249
23/12/2004,87.15,0.002642617
22/12/2004,86.92,-0.011552888
21/12/2004,87.93,-0.000795771
20/12/2004,88,0.011543645
17/12/2004,86.99,-0.000804367
16/12/2004,87.06,-0.005498296
15/12/2004,87.54,0.010218816
14/12/2004,86.65,0.009741466
13/12/2004,85.81,0.012429804
10/12/2004,84.75,-0.010446717
09/12/2004,85.64,0.000233563
08/12/2004,85.62,0.010213154
07/12/2004,84.75,-0.021594069
06/12/2004,86.6,0.001155402
03/12/2004,86.5,0.006378682
02/12/2004,85.95,-0.038011767
01/12/2004,89.28,-0.018972112
30/11/2004,90.99,0.010606662
29/11/2004,90.03,-0.003658743
26/11/2004,90.36,0.005214991
24/11/2004,89.89,0.002115932
23/11/2004,89.7,0.009296141
22/11/2004,88.87,0.016336155
19/11/2004,87.43,0.013472482
18/11/2004,86.26,-0.005318546
17/11/2004,86.72,0.006826755
16/11/2004,86.13,-0.004286631
15/11/2004,86.5,-0.015941619
12/11/2004,87.89,0.012940347
11/11/2004,86.76,-0.005861075
10/11/2004,87.27,0.008977961
09/11/2004,86.49,-0.003232139
08/11/2004,86.77,-0.018158439
