Date,Close,BA
20/09/2005,63.45,-0.01019217
19/09/2005,64.1,-0.010861239
16/09/2005,64.8,-0.004311679
15/09/2005,65.08,0.013925647
14/09/2005,64.18,-0.018830623
13/09/2005,65.4,0.003983459
12/09/2005,65.14,-0.003983459
09/09/2005,65.4,0.012462658
08/09/2005,64.59,0.001394376
07/09/2005,64.5,-0.008183478
06/09/2005,65.03,0.01066718
02/09/2005,64.34,-0.025321694
01/09/2005,65.99,-0.015487867
31/08/2005,67.02,0.004186609
30/08/2005,66.74,-0.012507608
29/08/2005,67.58,0.018971366
26/08/2005,66.31,-0.013481331
25/08/2005,67.21,0.001191008
24/08/2005,67.13,-0.004458985
23/08/2005,67.43,-0.005324669
22/08/2005,67.79,0.009485768
19/08/2005,67.15,0.007773996
18/08/2005,66.63,-0.005836156
17/08/2005,67.02,0.011253776
16/08/2005,66.27,-0.017797524
15/08/2005,67.46,0.013731559
12/08/2005,66.54,-0.011505543
11/08/2005,67.31,0.020260316
10/08/2005,65.96,-0.01758254
09/08/2005,67.13,0.017127823
08/08/2005,65.99,-0.003026179
05/08/2005,66.19,-0.001207912
04/08/2005,66.27,-0.005717741
03/08/2005,66.65,0.004812763
02/08/2005,66.33,0.008782612
01/08/2005,65.75,-0.003946575
29/07/2005,66.01,0.000151504
28/07/2005,66,-0.010550211
27/07/2005,66.7,0.005261192
26/07/2005,66.35,0.00453173
25/07/2005,66.05,-0.002268432
22/07/2005,66.2,0.007429342
21/07/2005,65.71,-0.005615008
20/07/2005,66.08,0.018172601
19/07/2005,64.89,0.00231428
18/07/2005,64.74,-0.000154452
15/07/2005,64.75,0.002628935
14/07/2005,64.58,0
13/07/2005,64.58,0.004345134
12/07/2005,64.3,-0.010365994
11/07/2005,64.97,-0.001537989
08/07/2005,65.07,-0.00168906
07/07/2005,65.18,0.013748575
06/07/2005,64.29,-0.017423924
05/07/2005,65.42,0.011375987
01/07/2005,64.68,-0.020202707
30/06/2005,66,0.067857153
29/06/2005,61.67,-0.012568648
28/06/2005,62.45,0.011110331
27/06/2005,61.76,0.019126043
24/06/2005,60.59,-0.020743904
23/06/2005,61.86,-0.020322325
22/06/2005,63.13,0.005559541
21/06/2005,62.78,-0.014076943
20/06/2005,63.67,-0.014810466
17/06/2005,64.62,0.014496396
16/06/2005,63.69,-0.011241336
15/06/2005,64.41,0.023245903
14/06/2005,62.93,-0.026655702
13/06/2005,64.63,-0.000309406
10/06/2005,64.65,-0.007090042
09/06/2005,65.11,0.009878148
08/06/2005,64.47,-0.012485711
07/06/2005,65.28,-0.0041275
06/06/2005,65.55,0.013670438
03/06/2005,64.66,0.004339746
02/06/2005,64.38,0.009049836
01/06/2005,63.8,-0.001566171
31/05/2005,63.9,0.013867225
27/05/2005,63.02,0.000476153
26/05/2005,62.99,0.024752148
25/05/2005,61.45,-0.012934699
24/05/2005,62.25,0.009847525
23/05/2005,61.64,-0.004209169
20/05/2005,61.9,0.008925009
19/05/2005,61.35,-0.005526672
18/05/2005,61.69,0.012724478
17/05/2005,60.91,0.008242711
16/05/2005,60.41,0.015178342
13/05/2005,59.5,-0.01650175
12/05/2005,60.49,0.001488957
11/05/2005,60.4,-0.010540282
10/05/2005,61.04,0.007894778
09/05/2005,60.56,-0.007403176
06/05/2005,61.01,0.021035972
