Date,Close,SPG
22/08/2005,75.43,0.00491728
19/08/2005,75.06,-0.002395211
18/08/2005,75.24,-0.004773279
17/08/2005,75.6,-0.009085585
16/08/2005,76.29,0.001968117
15/08/2005,76.14,-0.003016198
12/08/2005,76.37,0.006964091
11/08/2005,75.84,0.013406984
10/08/2005,74.83,0.007646425
09/08/2005,74.26,0.022607527
08/08/2005,72.6,-0.045241964
05/08/2005,75.96,-0.040632403
04/08/2005,79.11,-0.017790497
03/08/2005,80.53,0.003109262
02/08/2005,80.28,0.013544225
01/08/2005,79.2,-0.006795043
29/07/2005,79.74,0.002259888
28/07/2005,79.56,0.010995371
27/07/2005,78.69,0.012918259
26/07/2005,77.68,0.005939333
25/07/2005,77.22,0.005323651
22/07/2005,76.81,0.010996314
21/07/2005,75.97,-0.019939411
20/07/2005,77.5,0.005823375
19/07/2005,77.05,0.003640623
18/07/2005,76.77,0.00378467
15/07/2005,76.48,0.010911829
14/07/2005,75.65,-0.014435946
13/07/2005,76.75,-0.001302084
12/07/2005,76.85,-0.00130039
11/07/2005,76.95,0.018625932
08/07/2005,75.53,0.022493919
07/07/2005,73.85,0.004342523
06/07/2005,73.53,-0.005289941
05/07/2005,73.92,0.005561976
01/07/2005,73.51,0.01397283
30/06/2005,72.49,0.001380453
29/06/2005,72.39,-0.000138131
28/06/2005,72.4,0.010134049
27/06/2005,71.67,-0.001115605
24/06/2005,71.75,-0.003756004
23/06/2005,72.02,-0.00567672
22/06/2005,72.43,-0.000138055
21/06/2005,72.44,-0.012892786
20/06/2005,73.38,-0.006113734
17/06/2005,73.83,0.014049198
16/06/2005,72.8,0.001374571
15/06/2005,72.7,-0.001511924
14/06/2005,72.81,0.014804836
13/06/2005,71.74,0.004050568
10/06/2005,71.45,-0.003492843
09/06/2005,71.7,-0.003758618
08/06/2005,71.97,0.006691786
07/06/2005,71.49,0.01026371
06/06/2005,70.76,0.008658063
03/06/2005,70.15,0.004285721
02/06/2005,69.85,-0.000858615
01/06/2005,69.91,0.017168423
31/05/2005,68.72,0.010973846
27/05/2005,67.97,0.002946812
26/05/2005,67.77,-0.005298026
25/05/2005,68.13,-0.011093385
24/05/2005,68.89,-0.015984212
23/05/2005,70,-0.005129678
20/05/2005,70.36,0.013738052
19/05/2005,69.4,0.009992118
18/05/2005,68.71,0.009945965
17/05/2005,68.03,0.00826573
16/05/2005,67.47,0.012528128
13/05/2005,66.63,-0.020352779
12/05/2005,68,-0.005865119
11/05/2005,68.4,0.006895061
10/05/2005,67.93,-0.001471021
09/05/2005,68.03,0.027268321
06/05/2005,66.2,-0.014099529
05/05/2005,67.14,0.005076911
04/05/2005,66.8,0.010836951
03/05/2005,66.08,-0.000302618
02/05/2005,66.1,0.000453961
29/04/2005,66.07,0.03073855
28/04/2005,64.07,-0.002961118
27/04/2005,64.26,0.011110356
26/04/2005,63.55,0.000157369
25/04/2005,63.54,0.01028246
22/04/2005,62.89,0.009746822
21/04/2005,62.28,0.009194355
20/04/2005,61.71,-0.002104412
19/04/2005,61.84,0.001132595
18/04/2005,61.77,0.004218046
15/04/2005,61.51,-0.003732256
14/04/2005,61.74,-0.002426597
13/04/2005,61.89,0.009252562
12/04/2005,61.32,0.018765983
11/04/2005,60.18,-0.001162501
08/04/2005,60.25,-0.005132037
07/04/2005,60.56,0.010123728
06/04/2005,59.95,0.00635879
05/04/2005,59.57,-0.004020779
04/04/2005,59.81,-0.007495663
01/04/2005,60.26,-0.005296272
31/03/2005,60.58,-0.007400741
30/03/2005,61.03,0.010210892
29/03/2005,60.41,0.009647447
28/03/2005,59.83,-0.005832864
24/03/2005,60.18,0.004496635
23/03/2005,59.91,-0.004330453
22/03/2005,60.17,-0.02624392
21/03/2005,61.77,-0.006133008
18/03/2005,62.15,0.007915395
17/03/2005,61.66,0.021474475
16/03/2005,60.35,-0.016434224
15/03/2005,61.35,-0.003579568
14/03/2005,61.57,0.016375018
11/03/2005,60.57,-0.019941818
10/03/2005,61.79,0.020602429
09/03/2005,60.53,-0.034264942
08/03/2005,62.64,-0.014422946
07/03/2005,63.55,0.00457378
04/03/2005,63.26,0.018829342
03/03/2005,62.08,0
02/03/2005,62.08,-0.00128783
01/03/2005,62.16,0.003222691
28/02/2005,61.96,-0.021870135
25/02/2005,63.33,0.023000535
24/02/2005,61.89,-0.004996384
23/02/2005,62.2,0.00531959
22/02/2005,61.87,-0.023323741
18/02/2005,63.33,-0.011304878
17/02/2005,64.05,-0.001092299
16/02/2005,64.12,-0.016703141
15/02/2005,65.2,0.001842187
14/02/2005,65.08,0.00246154
11/02/2005,64.92,0.008197401
10/02/2005,64.39,0.009989158
09/02/2005,63.75,0.008981389
08/02/2005,63.18,0.009701865
07/02/2005,62.57,-0.001756487
04/02/2005,62.68,0.019655861
03/02/2005,61.46,0.002606714
02/02/2005,61.3,0.020602294
01/02/2005,60.05,0.012568243
31/01/2005,59.3,-0.003871081
28/01/2005,59.53,0.008434598
27/01/2005,59.03,-0.016298773
26/01/2005,60,0.000500125
25/01/2005,59.97,-0.019485425
24/01/2005,61.15,-0.01461065
21/01/2005,62.05,-0.008505227
20/01/2005,62.58,-0.005100425
19/01/2005,62.9,0.00127267
18/01/2005,62.82,0.011366488
14/01/2005,62.11,0.016067862
13/01/2005,61.12,0.011518969
12/01/2005,60.42,-0.004788253
11/01/2005,60.71,-0.008202146
10/01/2005,61.21,-0.000816527
07/01/2005,61.26,0.004417185
06/01/2005,60.99,0.008893339
05/01/2005,60.45,-0.045278551
04/01/2005,63.25,-0.0110064
03/01/2005,63.95,-0.011195887
31/12/2004,64.67,-0.005089854
30/12/2004,65,0
29/12/2004,65,0.012384059
28/12/2004,64.2,0.006563549
27/12/2004,63.78,-0.001410106
23/12/2004,63.87,-0.015997856
22/12/2004,64.9,-0.006909816
21/12/2004,65.35,0.007680529
20/12/2004,64.85,0.002779495
17/12/2004,64.67,0.009633387
16/12/2004,64.05,-0.011641575
15/12/2004,64.8,0.00464038
14/12/2004,64.5,-0.007414306
13/12/2004,64.98,0.00725928
10/12/2004,64.51,0.005284439
09/12/2004,64.17,0.013966488
08/12/2004,63.28,0.003641261
07/12/2004,63.05,-0.014955021
06/12/2004,64,0.003913899
03/12/2004,63.75,0.019162832
02/12/2004,62.54,-0.014445842
01/12/2004,63.45,0.021828318
30/11/2004,62.08,0.010525561
29/11/2004,61.43,-0.000488242
26/11/2004,61.46,-0.007779618
24/11/2004,61.94,0.018083086
23/11/2004,60.83,0.021770698
22/11/2004,59.52,-0.002349389
19/11/2004,59.66,-0.007514438
18/11/2004,60.11,0.008520643
