Date,Close,LOW
17/02/2006,66.27,-0.005567692
16/02/2006,66.64,0.009044379
15/02/2006,66.04,0.008515867
14/02/2006,65.48,0.029760411
13/02/2006,63.56,0.014899626
10/02/2006,62.62,0.001918159
09/02/2006,62.5,0
08/02/2006,62.5,0.010131147
07/02/2006,61.87,-0.016828669
06/02/2006,62.92,-0.009490739
03/02/2006,63.52,-0.010180995
02/02/2006,64.17,0.013176661
01/02/2006,63.33,-0.003467847
31/01/2006,63.55,-0.006743537
30/01/2006,63.98,-0.017507613
27/01/2006,65.11,-0.001227936
26/01/2006,65.19,0.021709645
25/01/2006,63.79,-0.005939374
24/01/2006,64.17,0.014282594
23/01/2006,63.26,0.002057125
20/01/2006,63.13,-0.024719657
19/01/2006,64.71,0.000927644
18/01/2006,64.65,-0.010463244
17/01/2006,65.33,-0.013833161
13/01/2006,66.24,-0.001508523
12/01/2006,66.34,-0.00765827
11/01/2006,66.85,0.013706066
10/01/2006,65.94,0.013127955
09/01/2006,65.08,0.005856081
06/01/2006,64.7,-0.011830821
05/01/2006,65.47,-0.011692488
04/01/2006,66.24,-0.01245234
03/01/2006,67.07,0.006131777
30/12/2005,66.66,-0.00732385
29/12/2005,67.15,0.002087061
28/12/2005,67.01,0.000298507
27/12/2005,66.99,-0.006991475
23/12/2005,67.46,-0.006942934
22/12/2005,67.93,-0.018812075
21/12/2005,69.22,0.009434717
20/12/2005,68.57,0.000437605
19/12/2005,68.54,-0.012613433
16/12/2005,69.41,0.000288184
15/12/2005,69.39,0.002164035
14/12/2005,69.24,0.006229647
13/12/2005,68.81,0.005245531
12/12/2005,68.45,0.006595847
09/12/2005,68,0.000294161
08/12/2005,67.98,0.002208969
07/12/2005,67.83,0.006953205
06/12/2005,67.36,0.005508015
05/12/2005,66.99,-0.01246122
02/12/2005,67.83,0.000737409
01/12/2005,67.78,0.004435909
30/11/2005,67.48,-0.003993202
29/11/2005,67.75,0.018622512
28/11/2005,66.5,-0.00375235
25/11/2005,66.75,0.001949465
23/11/2005,66.62,-0.006284623
22/11/2005,67.04,0.00989365
21/11/2005,66.38,0.006498927
18/11/2005,65.95,0.005321183
17/11/2005,65.6,0.010111929
16/11/2005,64.94,0.012863409
15/11/2005,64.11,-0.012093171
14/11/2005,64.89,0.046043132
11/11/2005,61.97,0.015776533
10/11/2005,61,0.011044372
09/11/2005,60.33,-0.002813873
08/11/2005,60.5,-0.023684243
07/11/2005,61.95,0.016273752
04/11/2005,60.95,-0.001966891
03/11/2005,61.07,0.0118598
02/11/2005,60.35,0.004983399
01/11/2005,60.05,-0.011918698
31/10/2005,60.77,0.015756193
28/10/2005,59.82,0.026252672
27/10/2005,58.27,-0.027756055
26/10/2005,59.91,-0.016389739
25/10/2005,60.9,-0.017417222
24/10/2005,61.97,0.012176463
21/10/2005,61.22,-0.006837077
20/10/2005,61.64,-0.004047605
19/10/2005,61.89,0.033517184
18/10/2005,59.85,-0.02410153
17/10/2005,61.31,0.001632387
14/10/2005,61.21,0.008202146
13/10/2005,60.71,-0.011301406
12/10/2005,61.4,0.005225355
11/10/2005,61.08,-0.013335699
10/10/2005,61.9,-0.014912487
07/10/2005,62.83,0.004626314
06/10/2005,62.54,-0.002555096
05/10/2005,62.7,-0.013937508
04/10/2005,63.58,-0.008145408
03/10/2005,64.1,-0.004669269
30/09/2005,64.4,0.003889542
29/09/2005,64.15,0.014603384
28/09/2005,63.22,-0.020044517
27/09/2005,64.5,-0.011867289
26/09/2005,65.27,-0.001836829
23/09/2005,65.39,0.001377305
22/09/2005,65.3,0.044946107
21/09/2005,62.43,-0.011150163
20/09/2005,63.13,-0.018829993
19/09/2005,64.33,-0.016496173
16/09/2005,65.4,-0.010343871
15/09/2005,66.08,0.001362914
14/09/2005,65.99,-0.022179839
13/09/2005,67.47,-0.019666029
12/09/2005,68.81,0.010518724
09/09/2005,68.09,0.01613774
08/09/2005,67,-0.004467617
07/09/2005,67.3,0.012559974
06/09/2005,66.46,0.033818539
02/09/2005,64.25,-0.00605169
01/09/2005,64.64,0.005118274
31/08/2005,64.31,0.022327972
30/08/2005,62.89,-0.026827242
29/08/2005,64.6,0.022226615
26/08/2005,63.18,-0.01585964
25/08/2005,64.19,0.020778333
24/08/2005,62.87,-0.014840815
23/08/2005,63.81,-0.001565926
22/08/2005,63.91,-0.012130786
19/08/2005,64.69,-0.015187835
18/08/2005,65.68,0.003966443
17/08/2005,65.42,0.011221392
16/08/2005,64.69,-0.018380055
15/08/2005,65.89,0.010680602
12/08/2005,65.19,0.00368834
11/08/2005,64.95,-0.005680525
10/08/2005,65.32,0.011858151
09/08/2005,64.55,0.030036066
08/08/2005,62.64,-0.006841169
05/08/2005,63.07,-0.0050609
04/08/2005,63.39,-0.031063221
03/08/2005,65.39,-0.010496788
02/08/2005,66.08,-0.000453892
01/08/2005,66.11,-0.001662511
29/07/2005,66.22,-0.011710087
28/07/2005,67,0.013977833
27/07/2005,66.07,-0.003475111
26/07/2005,66.3,0.011071623
25/07/2005,65.57,-0.002437168
22/07/2005,65.73,0.007329396
21/07/2005,65.25,-0.012034573
20/07/2005,66.04,0.000908953
19/07/2005,65.98,0.021756642
18/07/2005,64.56,0.014195699
15/07/2005,63.65,0.011853161
14/07/2005,62.9,0.011191164
13/07/2005,62.2,-0.003370519
12/07/2005,62.41,0.027287709
11/07/2005,60.73,0.020125419
08/07/2005,59.52,0.021396639
07/07/2005,58.26,0.007062298
06/07/2005,57.85,-0.006375485
05/07/2005,58.22,0.010706371
01/07/2005,57.6,-0.010706371
30/06/2005,58.22,0.006721266
29/06/2005,57.83,-0.002935338
28/06/2005,58,0.018444929
27/06/2005,56.94,0.003342425
24/06/2005,56.75,-0.013998479
23/06/2005,57.55,-0.0184218
22/06/2005,58.62,-0.001363792
21/06/2005,58.7,-0.012695896
20/06/2005,59.45,0.000504753
17/06/2005,59.42,0.006076994
16/06/2005,59.06,-0.001691762
15/06/2005,59.16,0.007465254
14/06/2005,58.72,0.012337374
13/06/2005,58,-0.005159083
10/06/2005,58.3,-0.00887984
09/06/2005,58.82,-0.004241248
08/06/2005,59.07,0.001185737
07/06/2005,59,0.018302059
06/06/2005,57.93,0.016886118
03/06/2005,56.96,-0.013774082
02/06/2005,57.75,0.000519615
01/06/2005,57.72,0.008875026
31/05/2005,57.21,0.001049318
27/05/2005,57.15,-0.012865268
26/05/2005,57.89,0.016897885
25/05/2005,56.92,-0.008049037
24/05/2005,57.38,0
23/05/2005,57.38,-0.001045114
20/05/2005,57.44,-0.007803733
19/05/2005,57.89,0.008151983
18/05/2005,57.42,0.027544114
17/05/2005,55.86,0.001074691
16/05/2005,55.8,0.05412696
13/05/2005,52.86,0.000567698
12/05/2005,52.83,-0.01782244
11/05/2005,53.78,0.000557984
10/05/2005,53.75,-0.00796817
09/05/2005,54.18,0.011882799
06/05/2005,53.54,0.002805576
05/05/2005,53.39,0
04/05/2005,53.39,0.020435905
03/05/2005,52.31,-0.007238127
02/05/2005,52.69,0.011068815
29/04/2005,52.11,0.007125692
28/04/2005,51.74,-0.010382712
27/04/2005,52.28,0.00344894
26/04/2005,52.1,0.001344473
25/04/2005,52.03,0.002887116
22/04/2005,51.88,-0.007680529
21/04/2005,52.28,0.015032081
20/04/2005,51.5,-0.021134312
19/04/2005,52.6,-0.008707229
18/04/2005,53.06,0.027126783
15/04/2005,51.64,-0.022971914
