Date,Close,CAT
17/08/2005,53.46,-0.004293054
16/08/2005,53.69,-0.028822555
15/08/2005,55.26,0.008359126
12/08/2005,54.8,-0.012692827
11/08/2005,55.5,0.009049836
10/08/2005,55,0.012072581
09/08/2005,54.34,0.012220111
08/08/2005,53.68,0.001304875
05/08/2005,53.61,-0.007618731
04/08/2005,54.02,-0.006825965
03/08/2005,54.39,-0.001286174
02/08/2005,54.46,0.008112139
01/08/2005,54.02,0.002038359
29/07/2005,53.91,-0.00996686
28/07/2005,54.45,0.030961071
27/07/2005,52.79,0.018545604
26/07/2005,51.82,-0.00057876
25/07/2005,51.85,-0.010742478
22/07/2005,52.41,0.002101042
21/07/2005,52.3,-0.017062025
20/07/2005,53.2,-0.00375235
19/07/2005,53.4,0.049520768
18/07/2005,50.82,0.002955958
15/07/2005,50.67,-0.006491613
14/07/2005,51,-0.671743272
13/07/2005,99.84,0.008853177
12/07/2005,98.96,-0.010154413
11/07/2005,99.97,0.012785195
08/07/2005,98.7,0.013772215
07/07/2005,97.35,0.021282921
06/07/2005,95.3,-0.009087648
05/07/2005,96.17,0.0024987
01/07/2005,95.93,0.006484022
30/06/2005,95.31,-0.013857997
29/06/2005,96.64,-0.011931843
28/06/2005,97.8,0.009038681
27/06/2005,96.92,0.000619259
24/06/2005,96.86,-0.016485296
23/06/2005,98.47,-0.021102069
22/06/2005,100.57,-0.016077675
21/06/2005,102.2,0.013793322
20/06/2005,100.8,0.005970167
17/06/2005,100.2,0.019042437
16/06/2005,98.31,-0.00274265
15/06/2005,98.58,0.000101446
14/06/2005,98.57,0.010094401
13/06/2005,97.58,0.005755412
10/06/2005,97.02,-0.004422283
09/06/2005,97.45,0.008967746
08/06/2005,96.58,0.021454436
07/06/2005,94.53,0.004027989
06/06/2005,94.15,0.001913673
03/06/2005,93.97,-0.012794253
02/06/2005,95.18,-0.003042226
01/06/2005,95.47,0.014347751
31/05/2005,94.11,-0.002122918
27/05/2005,94.31,-0.001271591
26/05/2005,94.43,0.020974552
25/05/2005,92.47,-0.014600367
24/05/2005,93.83,-0.002235589
23/05/2005,94.04,0.004369379
20/05/2005,93.63,0.001389409
19/05/2005,93.5,-0.000213881
18/05/2005,93.52,0.016821617
17/05/2005,91.96,0.017330696
16/05/2005,90.38,0.015386634
13/05/2005,89,0.001349224
12/05/2005,88.88,-0.022472856
11/05/2005,90.9,0.013846801
10/05/2005,89.65,-0.007002752
09/05/2005,90.28,0.001330082
06/05/2005,90.16,0.003444257
05/05/2005,89.85,0.004797242
04/05/2005,89.42,0.020791709
03/05/2005,87.58,-0.009319308
02/05/2005,88.4,0.003967135
29/04/2005,88.05,0.015450951
28/04/2005,86.7,-0.015450951
27/04/2005,88.05,-0.009157263
26/04/2005,88.86,-0.025224961
25/04/2005,91.13,0.014590731
22/04/2005,89.81,0.001671589
21/04/2005,89.66,0.018233482
20/04/2005,88.04,0.035728409
19/04/2005,84.95,0.016258591
18/04/2005,83.58,0.001436782
15/04/2005,83.46,-0.022978626
14/04/2005,85.4,-0.036785757
13/04/2005,88.6,-0.031004206
12/04/2005,91.39,0.013439286
11/04/2005,90.17,-0.00575032
08/04/2005,90.69,-0.00976581
07/04/2005,91.58,0.002076844
06/04/2005,91.39,0.011334372
05/04/2005,90.36,0.001661406
04/04/2005,90.21,0.000665336
01/04/2005,90.15,-0.01420807
31/03/2005,91.44,-0.00043735
30/03/2005,91.48,0.018535394
29/03/2005,89.8,-0.048047498
28/03/2005,94.22,0.006815788
24/03/2005,93.58,-0.000640957
23/03/2005,93.64,-0.011361949
22/03/2005,94.71,-0.015401845
21/03/2005,96.18,-0.002284766
18/03/2005,96.4,-0.004347383
17/03/2005,96.82,0.005696841
16/03/2005,96.27,-0.004973588
15/03/2005,96.75,0.002276491
14/03/2005,96.53,-0.025266009
11/03/2005,99,0.007502823
10/03/2005,98.26,0.014866732
09/03/2005,96.81,-0.022369555
08/03/2005,99,0.001010612
07/03/2005,98.9,-0.010660867
04/03/2005,99.96,0.022459214
03/03/2005,97.74,0.00584887
02/03/2005,97.17,-0.002056133
01/03/2005,97.37,0.024115086
28/02/2005,95.05,0.002422711
25/02/2005,94.82,0.017661912
24/02/2005,93.16,0.029410681
23/02/2005,90.46,0.011116166
22/02/2005,89.46,-0.015308119
18/02/2005,90.84,-0.010730422
17/02/2005,91.82,-0.007810845
16/02/2005,92.54,0.011302011
15/02/2005,91.5,-0.007838054
14/02/2005,92.22,-0.006054073
11/02/2005,92.78,0.007790561
10/02/2005,92.06,0.015544922
09/02/2005,90.64,-0.009224752
08/02/2005,91.48,0.001312623
07/02/2005,91.36,-0.005893283
04/02/2005,91.9,0.001088732
03/02/2005,91.8,0.008642907
02/02/2005,91.01,0.009827275
01/02/2005,90.12,0.011382781
31/01/2005,89.1,0.018577788
28/01/2005,87.46,0.010805945
27/01/2005,86.52,-0.051801718
26/01/2005,91.12,0.006827468
25/01/2005,90.5,0.026650329
24/01/2005,88.12,-0.012517784
21/01/2005,89.23,-0.009480858
20/01/2005,90.08,-0.015750092
19/01/2005,91.51,-0.01108466
18/01/2005,92.53,-0.012458544
14/01/2005,93.69,0.008898477
13/01/2005,92.86,0.005290732
12/01/2005,92.37,0.012308853
11/01/2005,91.24,-0.01393144
10/01/2005,92.52,-0.009252352
07/01/2005,93.38,-0.002139496
06/01/2005,93.58,0.014639659
05/01/2005,92.22,-0.019330499
04/01/2005,94.02,-0.011105937
03/01/2005,95.07,-0.025341474
31/12/2004,97.51,-0.000307613
30/12/2004,97.54,-0.009489383
29/12/2004,98.47,0
28/12/2004,98.47,0.024362617
27/12/2004,96.1,-0.012512443
23/12/2004,97.31,0.001645583
22/12/2004,97.15,0.009203312
21/12/2004,96.26,0.020041592
20/12/2004,94.35,0.001166552
17/12/2004,94.24,-0.005819199
16/12/2004,94.79,-0.000949017
15/12/2004,94.88,0.012514746
14/12/2004,93.7,-0.002983804
13/12/2004,93.98,0.025432405
10/12/2004,91.62,0.001638539
09/12/2004,91.47,0.009225766
08/12/2004,90.63,-0.002094242
07/12/2004,90.82,0.002756493
06/12/2004,90.57,-0.003856967
03/12/2004,90.92,-0.008869481
02/12/2004,91.73,-0.009979473
01/12/2004,92.65,0.011943682
30/11/2004,91.55,0.004269067
29/11/2004,91.16,-0.017830435
26/11/2004,92.8,0.008006101
24/11/2004,92.06,0.012790554
23/11/2004,90.89,0.00872982
22/11/2004,90.1,-0.000887508
19/11/2004,90.18,-0.013875346
18/11/2004,91.44,0.006143065
17/11/2004,90.88,0.011064508
16/11/2004,89.88,0.002116167
15/11/2004,89.69,-0.003117001
12/11/2004,89.97,0.001334668
11/11/2004,89.85,0.012430867
10/11/2004,88.74,0.004857394
09/11/2004,88.31,0.014830297
08/11/2004,87.01,-0.00183718
05/11/2004,87.17,0.014909262
04/11/2004,85.88,0.019162404
03/11/2004,84.25,0.027191281
02/11/2004,81.99,0.001831167
01/11/2004,81.84,0.016012166
