Date,Close,DD
27/12/2004,48.93,-0.001633654
23/12/2004,49.01,0.000204061
22/12/2004,49,0.001633987
21/12/2004,48.92,0.019818981
20/12/2004,47.96,0.004388263
17/12/2004,47.75,-0.004388263
16/12/2004,47.96,-0.008925851
15/12/2004,48.39,0.019616656
14/12/2004,47.45,0.008253142
13/12/2004,47.06,0.023216864
10/12/2004,45.98,0.002395211
09/12/2004,45.87,0.010078963
08/12/2004,45.41,0.009292102
07/12/2004,44.99,-0.010612525
06/12/2004,45.47,-0.00570177
03/12/2004,45.73,-0.005234472
02/12/2004,45.97,0
01/12/2004,45.97,0.014240574
30/11/2004,45.32,-0.000220629
29/11/2004,45.33,-0.002863753
26/11/2004,45.46,-0.001977805
24/11/2004,45.55,0.009485017
23/11/2004,45.12,-0.00221386
22/11/2004,45.22,0.007547206
19/11/2004,44.88,-0.000445534
18/11/2004,44.9,0.012325086
17/11/2004,44.35,0.004519782
16/11/2004,44.15,-0.008570192
15/11/2004,44.53,0.00067393
12/11/2004,44.5,0.000899281
11/11/2004,44.46,0.005638901
10/11/2004,44.21,-0.009455271
09/11/2004,44.63,0.011493084
