Date,Close,F
01/03/2006,7.95,-0.002512564
28/02/2006,7.97,-0.01370738
27/02/2006,8.08,-0.002472189
24/02/2006,8.1,-0.008604847
23/02/2006,8.17,-0.015786606
22/02/2006,8.3,-0.010785006
21/02/2006,8.39,-0.007125921
17/02/2006,8.45,0.007125921
16/02/2006,8.39,0.001192606
15/02/2006,8.38,0.0095924
14/02/2006,8.3,0.012121361
13/02/2006,8.2,-0.008500355
10/02/2006,8.27,-0.010823918
09/02/2006,8.36,0.015672412
08/02/2006,8.23,0.017157284
07/02/2006,8.09,-0.002469137
06/02/2006,8.11,-0.018326719
03/02/2006,8.26,-0.013229297
02/02/2006,8.37,-0.034060838
01/02/2006,8.66,0.009280809
31/01/2006,8.58,-0.011587615
30/01/2006,8.68,0.003462208
27/01/2006,8.65,-0.00230947
26/01/2006,8.67,0.005783706
25/01/2006,8.62,0.025853379
24/01/2006,8.4,0.009569451
23/01/2006,8.32,0.051799495
20/01/2006,7.9,-0.03970745
19/01/2006,8.22,0.001217286
18/01/2006,8.21,-0.012106685
17/01/2006,8.31,-0.028471674
13/01/2006,8.55,-0.001168907
12/01/2006,8.56,-0.042316205
11/01/2006,8.93,0.018079589
10/01/2006,8.77,0.017251722
09/01/2006,8.62,0.011668744
06/01/2006,8.52,0.020154802
05/01/2006,8.35,0.041570778
04/01/2006,8.01,0.022728251
03/01/2006,7.83,0.014148146
30/12/2005,7.72,-0.0115906
29/12/2005,7.81,-0.003833871
28/12/2005,7.84,-0.0063573
27/12/2005,7.89,-0.001266625
23/12/2005,7.9,-0.006309169
22/12/2005,7.95,-0.008766493
21/12/2005,8.02,-0.00373367
20/12/2005,8.05,-0.022113923
19/12/2005,8.23,-0.0084695
16/12/2005,8.3,0.015786606
15/12/2005,8.17,0.00122474
14/12/2005,8.16,0.003683245
13/12/2005,8.13,-0.007352974
12/12/2005,8.19,0.001221747
09/12/2005,8.18,0.001223242
08/12/2005,8.17,-0.003665245
07/12/2005,8.2,0.011036286
06/12/2005,8.11,0.006184312
05/12/2005,8.06,-0.011104371
02/12/2005,8.15,0.006153866
01/12/2005,8.1,-0.003696862
30/11/2005,8.13,-0.048028438
29/11/2005,8.53,0.020130934
28/11/2005,8.36,0.004796172
25/11/2005,8.32,-0.013134517
23/11/2005,8.43,0.010733556
22/11/2005,8.34,0.002400962
21/11/2005,8.32,-0.009569451
18/11/2005,8.4,0.074107972
17/11/2005,7.8,0.019418086
16/11/2005,7.65,-0.024533187
15/11/2005,7.84,-0.011414201
14/11/2005,7.93,-0.005031457
11/11/2005,7.97,0.018999938
10/11/2005,7.82,-0.026499973
09/11/2005,8.03,-0.02824006
08/11/2005,8.26,-0.009638629
07/11/2005,8.34,0.006013247
04/11/2005,8.29,-0.010797945
03/11/2005,8.38,0.013213405
02/11/2005,8.27,0.0060643
01/11/2005,8.22,-0.012092046
31/10/2005,8.32,0.036723833
28/10/2005,8.02,-0.014851758
27/10/2005,8.14,-0.045626161
26/10/2005,8.52,-0.012828164
25/10/2005,8.63,0.003482302
24/10/2005,8.6,0.041549003
21/10/2005,8.25,-0.020396628
20/10/2005,8.42,-0.00592068
19/10/2005,8.47,0
18/10/2005,8.47,-0.022184214
17/10/2005,8.66,0.005790404
14/10/2005,8.61,-0.04318853
13/10/2005,8.99,0.033939909
12/10/2005,8.69,-0.002298852
11/10/2005,8.71,-0.024944604
10/10/2005,8.93,-0.033042654
07/10/2005,9.23,-0.00970358
06/10/2005,9.32,-0.01067246
05/10/2005,9.42,-0.037504395
04/10/2005,9.78,-0.011184662
03/10/2005,9.89,0.003037977
30/09/2005,9.86,0
29/09/2005,9.86,-0.009086383
28/09/2005,9.95,0.010101096
27/09/2005,9.85,-0.011105616
