Date,Close,L
04/04/2011,43.67,0.003670571
01/04/2011,43.51,0.009699845
31/03/2011,43.09,0.001393405
30/03/2011,43.03,0.000697431
29/03/2011,43,0.007704018
28/03/2011,42.67,-0.008633819
25/03/2011,43.04,0.0009298
24/03/2011,43,0.001163467
23/03/2011,42.95,-0.001163467
22/03/2011,43,0.001396323
21/03/2011,42.94,0.018806384
18/03/2011,42.14,0.006905611
17/03/2011,41.85,0.011052491
16/03/2011,41.39,-0.003617513
15/03/2011,41.54,-0.00552156
14/03/2011,41.77,-0.004776699
11/03/2011,41.97,0.003819532
10/03/2011,41.81,-0.022467541
09/03/2011,42.76,-0.004200706
08/03/2011,42.94,0.01312724
07/03/2011,42.38,-0.009160369
04/03/2011,42.77,-0.006060625
03/03/2011,43.03,0.011687838
02/03/2011,42.53,-0.003052004
01/03/2011,42.66,-0.01373552
28/02/2011,43.25,0.007892334
25/02/2011,42.91,0.001866107
24/02/2011,42.83,-0.001166725
23/02/2011,42.88,0.000233236
22/02/2011,42.87,-0.007436706
18/02/2011,43.19,-0.001157006
17/02/2011,43.24,0.002315352
16/02/2011,43.14,0.003250525
15/02/2011,43,-0.001626583
14/02/2011,43.07,0.000929152
11/02/2011,43.03,0.000697431
10/02/2011,43,0
09/02/2011,43,-0.000697431
08/02/2011,43.03,-0.005562007
07/02/2011,43.27,0.044178673
04/02/2011,41.4,0.00290276
03/02/2011,41.28,-0.000242219
02/02/2011,41.29,0.000484496
01/02/2011,41.27,0.03000717
31/01/2011,40.05,0.00224972
28/01/2011,39.96,-0.018349139
27/01/2011,40.7,0.007645863
26/01/2011,40.39,-0.007645863
25/01/2011,40.7,0.005173062
24/01/2011,40.49,0.006442044
21/01/2011,40.23,0.004734032
20/01/2011,40.04,0.006012042
19/01/2011,39.8,-0.015952482
18/01/2011,40.44,0.002227999
14/01/2011,40.35,-0.002969564
13/01/2011,40.47,-0.008121123
12/01/2011,40.8,0.017056402
11/01/2011,40.11,0.002496257
10/01/2011,40.01,0.000750094
07/01/2011,39.98,0.005769488
06/01/2011,39.75,0.0032758
05/01/2011,39.62,0.008109522
04/01/2011,39.3,-0.002541297
03/01/2011,39.4,0.012514529
31/12/2010,38.91,-0.000770713
30/12/2010,38.94,-0.001539646
29/12/2010,39,-0.000256377
28/12/2010,39.01,-0.004348389
27/12/2010,39.18,0.005117718
23/12/2010,38.98,-0.005628053
22/12/2010,39.2,0.005628053
21/12/2010,38.98,0.004628447
20/12/2010,38.8,0.003873472
17/12/2010,38.65,0.000258766
16/12/2010,38.64,0.005709852
15/12/2010,38.42,-0.003118506
14/12/2010,38.54,-0.004401302
13/12/2010,38.71,-0.001548787
10/12/2010,38.77,0.007768035
09/12/2010,38.47,0.003384979
08/12/2010,38.34,0.010751382
07/12/2010,37.93,-0.002632966
06/12/2010,38.03,-0.002626052
03/12/2010,38.13,-0.002357565
02/12/2010,38.22,0.008144009
01/12/2010,37.91,0.013276881
30/11/2010,37.41,-0.006660475
29/11/2010,37.66,0.003191492
26/11/2010,37.54,-0.012442252
24/11/2010,38.01,0.010579311
23/11/2010,37.61,-0.018179924
22/11/2010,38.3,0
19/11/2010,38.3,-0.011422762
18/11/2010,38.74,0.017183448
17/11/2010,38.08,-0.00836825
16/11/2010,38.4,-0.022148729
15/11/2010,39.26,0.000764429
12/11/2010,39.23,-0.002545826
11/11/2010,39.33,-0.008859696
10/11/2010,39.68,0.010386414
09/11/2010,39.27,-0.015163293
08/11/2010,39.87,-0.005253295
05/11/2010,40.08,0.000249532
04/11/2010,40.07,0.007515065
03/11/2010,39.77,-0.002762086
02/11/2010,39.88,0.009068072
01/11/2010,39.52,0.000759398
29/10/2010,39.49,0.000506586
28/10/2010,39.47,0.001013942
27/10/2010,39.43,-0.008585911
26/10/2010,39.77,0.003021911
25/10/2010,39.65,-0.00126024
22/10/2010,39.7,-0.001761672
21/10/2010,39.77,0.000754622
20/10/2010,39.74,0.011388204
19/10/2010,39.29,-0.013650364
18/10/2010,39.83,0.004277274
15/10/2010,39.66,-0.003523789
14/10/2010,39.8,-0.001757249
13/10/2010,39.87,0.009829947
12/10/2010,39.48,0.016601071
11/10/2010,38.83,-0.002058143
08/10/2010,38.91,0.008776515
07/10/2010,38.57,-0.004914015
06/10/2010,38.76,0.007250161
05/10/2010,38.48,0.021540103
04/10/2010,37.66,-0.009513814
01/10/2010,38.02,0.003161225
30/09/2010,37.9,-0.001581862
29/09/2010,37.96,0.00607744
28/09/2010,37.73,0.010926158
27/09/2010,37.32,-0.008006448
24/09/2010,37.62,0.020137612
23/09/2010,36.87,-0.016676019
22/09/2010,37.49,-0.008763832
21/09/2010,37.82,-0.001321179
20/09/2010,37.87,0.017044354
17/09/2010,37.23,0.005656581
16/09/2010,37.02,0.004060095
15/09/2010,36.87,0.006530635
14/09/2010,36.63,-0.006259375
13/09/2010,36.86,0.009540757
10/09/2010,36.51,0.004391992
09/09/2010,36.35,-0.001099808
08/09/2010,36.39,-0.000824063
07/09/2010,36.42,-0.013093477
03/09/2010,36.9,0.01777217
02/09/2010,36.25,0.001656544
01/09/2010,36.19,0.029442755
31/08/2010,35.14,-0.000284535
30/08/2010,35.15,-0.022782591
27/08/2010,35.96,0.029061151
26/08/2010,34.93,-0.00911947
25/08/2010,35.25,-0.002832863
24/08/2010,35.35,-0.014324076
23/08/2010,35.86,-0.011919753
20/08/2010,36.29,-0.00686533
19/08/2010,36.54,-0.014939841
18/08/2010,37.09,-0.010726839
17/08/2010,37.49,0.016404832
16/08/2010,36.88,-0.004598953
13/08/2010,37.05,0.004056801
12/08/2010,36.9,-0.002706362
11/08/2010,37,-0.025351591
10/08/2010,37.95,-0.015686596
09/08/2010,38.55,0.014896395
06/08/2010,37.98,-0.00577581
05/08/2010,38.2,0.003934431
04/08/2010,38.05,0.013760471
03/08/2010,37.53,-0.001331381
02/08/2010,37.58,0.011508223
30/07/2010,37.15,-0.001076137
29/07/2010,37.19,0.005662682
28/07/2010,36.98,-0.005124758
27/07/2010,37.17,0.001076716
26/07/2010,37.13,-0.001076716
23/07/2010,37.17,0.007832586
22/07/2010,36.88,0.024428277
21/07/2010,35.99,-0.009677941
20/07/2010,36.34,0.019731083
19/07/2010,35.63,0.001966569
16/07/2010,35.56,-0.024445662
15/07/2010,36.44,0.007160592
14/07/2010,36.18,0.003044985
13/07/2010,36.07,0.015084085
12/07/2010,35.53,-0.004773279
09/07/2010,35.7,0.006745388
08/07/2010,35.46,0.013628831
07/07/2010,34.98,0.032542093
06/07/2010,33.86,0.008601566
02/07/2010,33.57,-0.002380245
01/07/2010,33.65,0.010155404
30/06/2010,33.31,0.001502178
29/06/2010,33.26,-0.012845584
28/06/2010,33.69,-0.005623812
25/06/2010,33.88,0.015767097
24/06/2010,33.35,-0.009846417
23/06/2010,33.68,-0.00237248
22/06/2010,33.76,-0.000296165
21/06/2010,33.77,-0.00384218
18/06/2010,33.9,0.000885348
17/06/2010,33.87,0.005328609
16/06/2010,33.69,0.001188001
15/06/2010,33.65,0.027415484
14/06/2010,32.74,0.005820203
11/06/2010,32.55,0.003693448
10/06/2010,32.43,0.041233221
09/06/2010,31.12,-0.005767398
08/06/2010,31.3,-0.001277139
07/06/2010,31.34,-0.008261884
04/06/2010,31.6,-0.029620248
03/06/2010,32.55,-0.002454742
02/06/2010,32.63,0.023566982
01/06/2010,31.87,-0.019882606
28/05/2010,32.51,-0.014050323
27/05/2010,32.97,0.046245634
26/05/2010,31.48,-0.000317612
25/05/2010,31.49,0.003180664
