Date,Close,DOV
22/08/2011,51.06,0.020578486
19/08/2011,50.02,-0.018225544
18/08/2011,50.94,-0.064796144
17/08/2011,54.35,-0.012978886
16/08/2011,55.06,-0.026524853
15/08/2011,56.54,0.026706489
12/08/2011,55.05,0.007841747
11/08/2011,54.62,0.057266116
10/08/2011,51.58,-0.045479607
09/08/2011,53.98,0.064464422
08/08/2011,50.61,-0.088623723
05/08/2011,55.3,0.002353581
04/08/2011,55.17,-0.070839995
03/08/2011,59.22,0.013943433
02/08/2011,58.4,-0.039780356
01/08/2011,60.77,0.004948872
29/07/2011,60.47,0.00099272
28/07/2011,60.41,-0.020318575
27/07/2011,61.65,-0.046276677
26/07/2011,64.57,-0.031254926
25/07/2011,66.62,-0.003296871
22/07/2011,66.84,0.007207238
21/07/2011,66.36,-0.003009331
20/07/2011,66.56,-0.007633054
19/07/2011,67.07,0.02109465
18/07/2011,65.67,-0.004557893
15/07/2011,65.97,0.007149951
14/07/2011,65.5,-0.012441368
13/07/2011,66.32,0.003928091
12/07/2011,66.06,-0.020229955
11/07/2011,67.41,-0.026062969
08/07/2011,69.19,-0.009350568
07/07/2011,69.84,0.008483766
06/07/2011,69.25,0.003906538
05/07/2011,68.98,-0.001593395
01/07/2011,69.09,0.018847808
30/06/2011,67.8,0.02146773
29/06/2011,66.36,0.001508068
28/06/2011,66.26,0.026766146
27/06/2011,64.51,0.013420926
24/06/2011,63.65,-0.018831776
23/06/2011,64.86,0.004326336
22/06/2011,64.58,0.001859889
21/06/2011,64.46,0.0210072
20/06/2011,63.12,0.013076251
17/06/2011,62.3,0.000642261
16/06/2011,62.26,0.012444605
15/06/2011,61.49,-0.019646365
14/06/2011,62.71,0.02912356
13/06/2011,60.91,0.001314277
10/06/2011,60.83,-0.023878337
09/06/2011,62.3,0.003054419
08/06/2011,62.11,-0.004337705
07/06/2011,62.38,0.003211307
06/06/2011,62.18,-0.004492947
03/06/2011,62.46,-0.016198544
02/06/2011,63.48,-0.004401139
01/06/2011,63.76,-0.052993542
31/05/2011,67.23,0.021347774
27/05/2011,65.81,0.024768592
26/05/2011,64.2,0.007818648
25/05/2011,63.7,0.022865398
