Date,Close,GMCR
02/07/2012,21.4,-0.017601195
29/06/2012,21.78,0.052308744
28/06/2012,20.67,0.010700491
27/06/2012,20.45,0.019753729
26/06/2012,20.05,0
25/06/2012,20.05,-0.012884222
22/06/2012,20.31,0.027453683
21/06/2012,19.76,-0.08299692
20/06/2012,21.47,0.01265543
19/06/2012,21.2,0.023867481
18/06/2012,20.7,0.043442171
15/06/2012,19.82,-0.016512759
14/06/2012,20.15,-0.055972158
13/06/2012,21.31,0.001878817
12/06/2012,21.27,-0.00234797
11/06/2012,21.32,-0.081484877
08/06/2012,23.13,-0.049345874
07/06/2012,24.3,-0.009012761
06/06/2012,24.52,0.066171175
05/06/2012,22.95,-0.022831058
04/06/2012,23.48,0.046195577
01/06/2012,22.42,-0.051293294
31/05/2012,23.6,-0.053621091
30/05/2012,24.9,-0.035506688
29/05/2012,25.8,0.019174917
25/05/2012,25.31,0.008730214
24/05/2012,25.09,-0.037932211
23/05/2012,26.06,0.01235537
22/05/2012,25.74,0.046113098
21/05/2012,24.58,0.021798108
18/05/2012,24.05,-0.002076844
17/05/2012,24.1,-0.032655963
16/05/2012,24.9,0.017011346
15/05/2012,24.48,-0.026205894
14/05/2012,25.13,-0.00119308
11/05/2012,25.16,-0.036296667
10/05/2012,26.09,-0.006875505
09/05/2012,26.27,-0.004178544
08/05/2012,26.38,0.082129797
07/05/2012,24.3,-0.032391496
04/05/2012,25.1,-0.03021615
03/05/2012,25.87,-0.649292632
02/05/2012,49.52,-0.00443281
01/05/2012,49.74,0.020514582
30/04/2012,48.73,0.017179352
27/04/2012,47.9,-0.017589693
26/04/2012,48.75,0.053725399
25/04/2012,46.2,0.035245939
24/04/2012,44.6,0.007652524
23/04/2012,44.26,0
20/04/2012,44.26,0.01916117
19/04/2012,43.42,0
18/04/2012,43.42,-0.043930929
17/04/2012,45.37,0.03704543
16/04/2012,43.72,0.002977897
13/04/2012,43.59,-0.000687995
12/04/2012,43.62,0.009443811
11/04/2012,43.21,0.041101676
10/04/2012,41.47,-0.040870221
09/04/2012,43.2,-0.020392504
05/04/2012,44.09,0.004774364
04/04/2012,43.88,-0.022979159
03/04/2012,44.9,-0.022027322
02/04/2012,45.9,-0.020272422
30/03/2012,46.84,-0.028206458
29/03/2012,48.18,-0.02824006
28/03/2012,49.56,-0.046327393
27/03/2012,51.91,-0.010348885
26/03/2012,52.45,-0.020008217
23/03/2012,53.51,-0.011335251
22/03/2012,54.12,-0.030390839
21/03/2012,55.79,0.095668731
20/03/2012,50.7,-0.020305266
19/03/2012,51.74,0.006787576
16/03/2012,51.39,0.00899146
15/03/2012,50.93,-0.016938008
14/03/2012,51.8,0.008919974
13/03/2012,51.34,0.023052937
12/03/2012,50.17,-0.047108749
09/03/2012,52.59,-0.171039288
08/03/2012,62.4,-0.02093321
07/03/2012,63.72,-0.027398974
06/03/2012,65.49,-0.029933798
05/03/2012,67.48,-0.011932085
02/03/2012,68.29,0.015941297
01/03/2012,67.21,0.033896421
29/02/2012,64.97,-0.014819613
28/02/2012,65.94,-0.007403524
27/02/2012,66.43,0.003770459
24/02/2012,66.18,-0.021525495
23/02/2012,67.62,-0.023386041
22/02/2012,69.22,-0.007627582
21/02/2012,69.75,0.010665999
17/02/2012,69.01,-0.000579458
16/02/2012,69.05,0.048971209
15/02/2012,65.75,-0.023597698
14/02/2012,67.32,0.029088028
13/02/2012,65.39,0.039618407
10/02/2012,62.85,-0.022030789
09/02/2012,64.25,-0.015903987
08/02/2012,65.28,-0.015051595
07/02/2012,66.27,-0.040659012
06/02/2012,69.02,0.041564809
03/02/2012,66.21,-0.003166707
02/02/2012,66.42,0.213889603
01/02/2012,53.63,0.005422094
31/01/2012,53.34,0.005640173
30/01/2012,53.04,0.010233176
27/01/2012,52.5,0.062078058
26/01/2012,49.34,-0.034070434
25/01/2012,51.05,0.008853968
24/01/2012,50.6,0.043419238
23/01/2012,48.45,-0.049330585
20/01/2012,50.9,-0.024644693
19/01/2012,52.17,0.015064016
18/01/2012,51.39,0.010170242
17/01/2012,50.87,0.079764259
13/01/2012,46.97,-0.005731891
12/01/2012,47.24,-0.004856941
11/01/2012,47.47,-0.010894723
10/01/2012,47.99,0.036714999
09/01/2012,46.26,0.069131847
06/01/2012,43.17,-0.026741395
05/01/2012,44.34,-0.022302441
04/01/2012,45.34,-0.026981619
03/01/2012,46.58,0.037847676
30/12/2011,44.85,-0.0196496
29/12/2011,45.74,0.012761449
28/12/2011,45.16,-0.003316019
27/12/2011,45.31,-0.002204586
23/12/2011,45.41,0.007293656
22/12/2011,45.08,-0.004868343
21/12/2011,45.3,-0.008572423
20/12/2011,45.69,-0.006109554
19/12/2011,45.97,0.01556537
16/12/2011,45.26,0.020310931
15/12/2011,44.35,-0.073237888
14/12/2011,47.72,-0.045671908
13/12/2011,49.95,-0.123041126
12/12/2011,56.49,-0.033936956
09/12/2011,58.44,0.041934865
08/12/2011,56.04,-0.020138465
07/12/2011,57.18,0.003503858
06/12/2011,56.98,-0.032801145
05/12/2011,58.88,0.044451763
02/12/2011,56.32,0.043548245
01/12/2011,53.92,0.02802252
30/11/2011,52.43,0.069292636
29/11/2011,48.92,-0.041443224
28/11/2011,50.99,0.026429755
25/11/2011,49.66,-0.009419851
23/11/2011,50.13,-0.004378988
22/11/2011,50.35,-0.049593738
21/11/2011,52.91,0.04760961
18/11/2011,50.45,-0.024281592
17/11/2011,51.69,-0.011732032
16/11/2011,52.3,0.093953548
15/11/2011,47.61,0.122045415
14/11/2011,42.14,-0.0365795
11/11/2011,43.71,0.066691374
10/11/2011,40.89,-0.494105548
09/11/2011,67.02,-0.047780717
08/11/2011,70.3,-0.000142237
07/11/2011,70.31,-0.005107118
04/11/2011,70.67,0.054822188
03/11/2011,66.9,0.081401378
02/11/2011,61.67,-0.00871817
01/11/2011,62.21,-0.044179156
31/10/2011,65.02,-0.087844107
28/10/2011,70.99,0.08140533
27/10/2011,65.44,0.060634173
26/10/2011,61.59,-0.050034181
25/10/2011,64.75,-0.129876071
24/10/2011,73.73,0.083110386
21/10/2011,67.85,-0.003530973
20/10/2011,68.09,-0.02480365
19/10/2011,69.8,-0.162425802
18/10/2011,82.11,-0.004738482
17/10/2011,82.5,-0.109968066
14/10/2011,92.09,0.010369574
13/10/2011,91.14,0.013698844
12/10/2011,89.9,-0.040546094
11/10/2011,93.62,0.006214528
10/10/2011,93.04,0.01058897
07/10/2011,92.06,0.002066004
06/10/2011,91.87,0.023680825
05/10/2011,89.72,-0.006443751
04/10/2011,90.3,0.030014055
03/10/2011,87.63,-0.058830719
30/09/2011,92.94,-0.036448338
29/09/2011,96.39,-0.074833925
28/09/2011,103.88,-0.011104843
27/09/2011,105.04,-0.001331938
26/09/2011,105.18,0.008785389
23/09/2011,104.26,0.003170184
22/09/2011,103.93,-0.056853675
21/09/2011,110.01,0.002366219
20/09/2011,109.75,-0.016895193
19/09/2011,111.62,0.033061615
16/09/2011,107.99,-0.013977239
15/09/2011,109.51,-0.001642336
14/09/2011,109.69,-0.010609939
13/09/2011,110.86,0.008151481
12/09/2011,109.96,0.032817106
09/09/2011,106.41,-0.020095569
08/09/2011,108.57,0.016624483
07/09/2011,106.78,0.002531766
06/09/2011,106.51,0.028087723
02/09/2011,103.56,-0.010947963
01/09/2011,104.7,-0.000381971
31/08/2011,104.74,0.017626269
30/08/2011,102.91,0.041668561
29/08/2011,98.71,0.008137569
26/08/2011,97.91,0.061173746
25/08/2011,92.1,-0.014016402
24/08/2011,93.4,-0.017511724
23/08/2011,95.05,0.106822804
22/08/2011,85.42,0.015811539
19/08/2011,84.08,-0.042039141
18/08/2011,87.69,-0.118580984
17/08/2011,98.73,-0.020154089
16/08/2011,100.74,-0.016148441
15/08/2011,102.38,-0.01165288
12/08/2011,103.58,-0.003373335
11/08/2011,103.93,0.058240043
10/08/2011,98.05,-0.014579584
09/08/2011,99.49,0.106936454
08/08/2011,89.4,-0.071123337
05/08/2011,95.99,-0.068054834
04/08/2011,102.75,-0.076870923
03/08/2011,110.96,0.04036773
02/08/2011,106.57,-0.012588166
01/08/2011,107.92,0.037480198
29/07/2011,103.95,0.013364522
28/07/2011,102.57,0.151959458
27/07/2011,88.11,-0.043854505
26/07/2011,92.06,0.003264066
25/07/2011,91.76,-0.010299869
22/07/2011,92.71,-0.003553167
21/07/2011,93.04,-0.003861837
20/07/2011,93.4,-0.012554692
19/07/2011,94.58,0.061259207
18/07/2011,88.96,-0.012289284
15/07/2011,90.06,0.019622763
14/07/2011,88.31,-0.024827936
13/07/2011,90.53,0.008541846
12/07/2011,89.76,-0.052518034
11/07/2011,94.6,-0.016771882
08/07/2011,96.2,0.011079867
07/07/2011,95.14,0.017922957
06/07/2011,93.45,0.015964097
05/07/2011,91.97,0.01777142
01/07/2011,90.35,0.012137558
30/06/2011,89.26,0.006519074
29/06/2011,88.68,-0.000112759
28/06/2011,88.69,0.043202019
27/06/2011,84.94,0.017937168
24/06/2011,83.43,-0.017348344
23/06/2011,84.89,0.01352013
22/06/2011,83.75,0.010201109
21/06/2011,82.9,0.035858459
20/06/2011,79.98,-0.001499251
17/06/2011,80.1,-0.002120098
16/06/2011,80.27,0.005246077
15/06/2011,79.85,0.000125243
14/06/2011,79.84,0.049159721
13/06/2011,76.01,0.02612437
10/06/2011,74.05,-0.02809585
09/06/2011,76.16,0.002497865
08/06/2011,75.97,-0.006559982
07/06/2011,76.47,-0.02109155
06/06/2011,78.1,-0.015248072
03/06/2011,79.3,-0.002770434
02/06/2011,79.52,-0.00476729
01/06/2011,79.9,-0.03044544
31/05/2011,82.37,-0.002061731
27/05/2011,82.54,-0.005437094
26/05/2011,82.99,0.02032813
25/05/2011,81.32,0.019495247
24/05/2011,79.75,0.019882881
23/05/2011,78.18,0.019764255
20/05/2011,76.65,-0.004815523
19/05/2011,77.02,0.006643677
18/05/2011,76.51,0.029579715
17/05/2011,74.28,0.00337132
16/05/2011,74.03,-0.020456626
13/05/2011,75.56,-0.011579077
12/05/2011,76.44,0.019018006
11/05/2011,75,-0.009950331
10/05/2011,75.75,-0.009852296
09/05/2011,76.5,0.008137596
06/05/2011,75.88,0.029557484
05/05/2011,73.67,-0.030874487
04/05/2011,75.98,0.170493912
03/05/2011,64.07,-0.03511823
02/05/2011,66.36,-0.009000961
29/04/2011,66.96,0.023573168
28/04/2011,65.4,0.021639175
27/04/2011,64,-0.023472356
26/04/2011,65.52,-0.005783002
25/04/2011,65.9,0.003953175
21/04/2011,65.64,0.004427826
20/04/2011,65.35,-0.004275468
19/04/2011,65.63,0.022652945
18/04/2011,64.16,-0.022652945
15/04/2011,65.63,-0.000609292
14/04/2011,65.67,-0.01706088
13/04/2011,66.8,-0.000598623
12/04/2011,66.84,0.026684421
11/04/2011,65.08,0.005238034
08/04/2011,64.74,-0.004008021
07/04/2011,65,0.001693741
06/04/2011,64.89,-0.020741936
05/04/2011,66.25,-0.004217509
04/04/2011,66.53,0.026810441
01/04/2011,64.77,0.002473336
31/03/2011,64.61,0.01011131
30/03/2011,63.96,-0.002654385
29/03/2011,64.13,0.022550826
28/03/2011,62.7,0.000797766
25/03/2011,62.65,0.000319285
24/03/2011,62.63,-0.006842258
23/03/2011,63.06,0.017436257
22/03/2011,61.97,0.006475658
21/03/2011,61.57,0.01406631
18/03/2011,60.71,-0.00885542
