Date,Close,FE
09/05/2011,41.58,0
06/05/2011,41.58,0.008210623
05/05/2011,41.24,-0.014683138
04/05/2011,41.85,-0.004053898
03/05/2011,42.02,0.058811654
02/05/2011,39.62,-0.008544913
29/04/2011,39.96,0.003760817
28/04/2011,39.81,0.005036525
27/04/2011,39.61,0.005823538
26/04/2011,39.38,0.017160109
25/04/2011,38.71,-0.004382015
21/04/2011,38.88,-0.000257169
20/04/2011,38.89,0.009559561
19/04/2011,38.52,0.010438508
18/04/2011,38.12,-0.007318381
15/04/2011,38.4,0.007580745
14/04/2011,38.11,0.010286257
13/04/2011,37.72,0.019272545
12/04/2011,37,0.006507615
11/04/2011,36.76,-0.010014971
08/04/2011,37.13,-0.000807646
07/04/2011,37.16,-0.003224076
06/04/2011,37.28,0.013774695
05/04/2011,36.77,-0.00920418
04/04/2011,37.11,-0.00376547
01/04/2011,37.25,0.004304553
31/03/2011,37.09,-0.000808516
30/03/2011,37.12,0.018214449
29/03/2011,36.45,0.005502077
28/03/2011,36.25,-0.00796817
25/03/2011,36.54,-0.001094092
24/03/2011,36.58,-0.003547555
23/03/2011,36.71,-0.00272035
22/03/2011,36.81,0.000543478
21/03/2011,36.79,0.007366013
18/03/2011,36.52,-0.001094691
17/03/2011,36.56,-0.000820232
16/03/2011,36.59,-0.017339909
15/03/2011,37.23,-0.028857065
14/03/2011,38.32,-0.003386743
11/03/2011,38.45,0.003386743
10/03/2011,38.32,-0.009092153
09/03/2011,38.67,0.030989875
08/03/2011,37.49,0.005885517
07/03/2011,37.27,0.007000567
04/03/2011,37.01,-0.002698329
03/03/2011,37.11,-0.005642901
02/03/2011,37.32,-0.006676484
01/03/2011,37.57,-0.019244037
28/02/2011,38.3,0.01446442
25/02/2011,37.75,-0.010802371
24/02/2011,38.16,0.002361276
23/02/2011,38.07,-0.003670691
22/02/2011,38.21,0.008146149
18/02/2011,37.9,-0.009715187
17/02/2011,38.27,-0.003911858
16/02/2011,38.42,-0.020098589
15/02/2011,39.2,0.005371544
14/02/2011,38.99,-0.019053034
11/02/2011,39.74,-0.013993232
10/02/2011,40.3,0.009223548
09/02/2011,39.93,0
08/02/2011,39.93,0.00025047
07/02/2011,39.92,0.007291044
04/02/2011,39.63,-0.011789927
03/02/2011,40.1,-0.012884222
02/02/2011,40.62,0.021902319
01/02/2011,39.74,0.015724392
31/01/2011,39.12,0.008987093
28/01/2011,38.77,-0.018400724
27/01/2011,39.49,0.014282314
26/01/2011,38.93,-0.001283532
25/01/2011,38.98,-0.011478254
24/01/2011,39.43,-0.003544308
21/01/2011,39.57,0.004305439
20/01/2011,39.4,0.014830239
19/01/2011,38.82,0.001546791
18/01/2011,38.76,0.004136511
14/01/2011,38.6,0.006237026
13/01/2011,38.36,0.002087683
12/01/2011,38.28,0.005500996
11/01/2011,38.07,-0.00471699
10/01/2011,38.25,0
07/01/2011,38.25,0.002355714
06/01/2011,38.16,0.00367551
05/01/2011,38.02,0.003425112
04/01/2011,37.89,0.006088702
03/01/2011,37.66,0.017140216
31/12/2010,37.02,-0.006193638
30/12/2010,37.25,-0.001341382
29/12/2010,37.3,-0.001874917
28/12/2010,37.37,0.003216299
27/12/2010,37.25,0.005653535
23/12/2010,37.04,0.004871458
22/12/2010,36.86,0.006259375
21/12/2010,36.63,0.003555316
20/12/2010,36.5,0.006045635
17/12/2010,36.28,0.007192285
16/12/2010,36.02,0.005009752
15/12/2010,35.84,-0.00473209
14/12/2010,36.01,0.007806006
13/12/2010,35.73,0.002241525
