Date,Close,EQR
08/06/2011,60.98,0.003449695
07/06/2011,60.77,0.015923375
06/06/2011,59.81,-0.006499481
03/06/2011,60.2,0.015400371
02/06/2011,59.28,-0.00806456
01/06/2011,59.76,-0.034052143
31/05/2011,61.83,0.02009379
27/05/2011,60.6,0.001816831
26/05/2011,60.49,0.012978552
25/05/2011,59.71,0.00807134
24/05/2011,59.23,0.002874294
23/05/2011,59.06,-0.014456463
20/05/2011,59.92,-0.007150608
19/05/2011,60.35,0.009657085
18/05/2011,59.77,0.00536824
17/05/2011,59.45,0.001009761
16/05/2011,59.39,0.003880224
13/05/2011,59.16,-0.004553512
12/05/2011,59.43,0.001852632
11/05/2011,59.32,-0.011398045
10/05/2011,60,0.015621381
09/05/2011,59.07,0.007647246
06/05/2011,58.62,-0.010521054
05/05/2011,59.24,-0.000337553
04/05/2011,59.26,-0.004545845
03/05/2011,59.53,-0.006029159
02/05/2011,59.89,0.002507733
29/04/2011,59.74,0.005202663
28/04/2011,59.43,0.002864607
27/04/2011,59.26,0.002196132
26/04/2011,59.13,0.013964805
25/04/2011,58.31,0.011209913
21/04/2011,57.66,0.004519389
20/04/2011,57.4,0.019349768
19/04/2011,56.3,0.005521432
18/04/2011,55.99,-0.014363222
15/04/2011,56.8,0.01026376
14/04/2011,56.22,0.006782107
13/04/2011,55.84,0.002869442
12/04/2011,55.68,0.0023375
11/04/2011,55.55,-0.000359971
08/04/2011,55.57,-0.004309578
07/04/2011,55.81,-0.00874147
06/04/2011,56.3,-0.000532718
05/04/2011,56.33,0.000355114
04/04/2011,56.31,-0.006372831
01/04/2011,56.67,0.004598522
31/03/2011,56.41,0.014643119
30/03/2011,55.59,0.015956821
29/03/2011,54.71,0.001463326
28/03/2011,54.63,0.003300333
25/03/2011,54.45,0.004971013
24/03/2011,54.18,0.003142622
23/03/2011,54.01,-0.009765163
22/03/2011,54.54,-0.006761104
21/03/2011,54.91,0.004014604
18/03/2011,54.69,0.00715665
17/03/2011,54.3,0.00609589
16/03/2011,53.97,-0.010689376
15/03/2011,54.55,0.006805876
14/03/2011,54.18,-0.006805876
11/03/2011,54.55,0.020745326
10/03/2011,53.43,-0.011722155
09/03/2011,54.06,0.003335189
08/03/2011,53.88,0.023663076
07/03/2011,52.62,-0.01321522
04/03/2011,53.32,-0.016553898
03/03/2011,54.21,0.019935453
02/03/2011,53.14,-0.00805927
01/03/2011,53.57,-0.028341978
28/02/2011,55.11,0.032269786
25/02/2011,53.36,0.015296304
24/02/2011,52.55,-0.014546398
23/02/2011,53.32,-0.011746196
22/02/2011,53.95,-0.001481756
18/02/2011,54.03,0.006871603
17/02/2011,53.66,0.001118777
16/02/2011,53.6,-0.010947322
15/02/2011,54.19,-0.007354326
14/02/2011,54.59,0.000733004
11/02/2011,54.55,0.007175084
10/02/2011,54.16,0.006669161
09/02/2011,53.8,0.005404915
08/02/2011,53.51,-0.003730652
07/02/2011,53.71,0.011798994
04/02/2011,53.08,-0.024747751
03/02/2011,54.41,-0.007142233
02/02/2011,54.8,0.003656311
01/02/2011,54.6,0.007537493
31/01/2011,54.19,0.024282105
28/01/2011,52.89,-0.017245038
27/01/2011,53.81,0.016111251
26/01/2011,52.95,0.006631952
25/01/2011,52.6,0.016484943
24/01/2011,51.74,0.005037794
21/01/2011,51.48,0.005844552
20/01/2011,51.18,0.005485907
19/01/2011,50.9,-0.013852529
18/01/2011,51.61,0.013656084
14/01/2011,50.91,0.01344691
13/01/2011,50.23,0.003390172
12/01/2011,50.06,0.002400001
11/01/2011,49.94,-0.006387247
10/01/2011,50.26,-0.002384739
07/01/2011,50.38,-0.003368675
06/01/2011,50.55,-0.012190477
05/01/2011,51.17,-0.000586109
04/01/2011,51.2,-0.025454517
03/01/2011,52.52,0.010912332
31/12/2010,51.95,-0.006523431
30/12/2010,52.29,0.000765257
29/12/2010,52.25,0.005373262
28/12/2010,51.97,-0.00307397
27/12/2010,52.13,0.015270423
23/12/2010,51.34,-0.002723207
22/12/2010,51.48,0.007800352
21/12/2010,51.08,0.007664379
20/12/2010,50.69,0.01711144
17/12/2010,49.83,0.006644543
16/12/2010,49.5,-0.009250016
15/12/2010,49.96,-0.010552612
14/12/2010,50.49,-0.014354784
13/12/2010,51.22,-0.006616097
10/12/2010,51.56,0.007006646
09/12/2010,51.2,-0.001561281
08/12/2010,51.28,-0.015096087
07/12/2010,52.06,0.004041965
06/12/2010,51.85,-0.002888784
03/12/2010,52,0.006559931
02/12/2010,51.66,0.019349768
01/12/2010,50.67,0.013711094
30/11/2010,49.98,-0.00040008
29/11/2010,50,-0.00019998
26/11/2010,50.01,-0.005980879
24/11/2010,50.31,0.013608375
23/11/2010,49.63,-0.007427516
22/11/2010,50,0.001801622
19/11/2010,49.91,0.013921339
18/11/2010,49.22,0.018661466
17/11/2010,48.31,0.019860588
16/11/2010,47.36,-0.038115633
15/11/2010,49.2,-0.002233277
12/11/2010,49.31,-0.004047769
11/11/2010,49.51,-0.009048016
10/11/2010,49.96,0.031309734
09/11/2010,48.42,-0.035504287
08/11/2010,50.17,-0.013266208
05/11/2010,50.84,0.008493878
04/11/2010,50.41,0.031639919
03/11/2010,48.84,-0.001227747
02/11/2010,48.9,-0.000613309
01/11/2010,48.93,0.006150081
29/10/2010,48.63,-0.002464573
28/10/2010,48.75,-0.021108963
27/10/2010,49.79,-0.007204354
26/10/2010,50.15,-0.006756782
25/10/2010,50.49,-0.006711435
22/10/2010,50.83,-0.013289232
21/10/2010,51.51,0
20/10/2010,51.51,0.024964441
19/10/2010,50.24,-0.008522497
18/10/2010,50.67,0.014311514
15/10/2010,49.95,0.003811057
14/10/2010,49.76,-0.003811057
13/10/2010,49.95,0.009453958
12/10/2010,49.48,0.018974353
11/10/2010,48.55,-0.00164643
08/10/2010,48.63,0.002470662
07/10/2010,48.51,-0.001441961
06/10/2010,48.58,-0.006360953
05/10/2010,48.89,0.013591643
04/10/2010,48.23,0.008537272
01/10/2010,47.82,0.005241652
30/09/2010,47.57,0.003791074
29/09/2010,47.39,-0.014038994
28/09/2010,48.06,-0.001247661
27/09/2010,48.12,-0.023414502
24/09/2010,49.26,0.030086753
23/09/2010,47.8,-0.025610652
22/09/2010,49.04,-0.002240555
21/09/2010,49.15,-0.026700372
20/09/2010,50.48,0.032413507
17/09/2010,48.87,0.002458514
16/09/2010,48.75,-0.004298441
15/09/2010,48.96,0.020219381
14/09/2010,47.98,0.001668753
13/09/2010,47.9,0.00565269
10/09/2010,47.63,0.00399706
09/09/2010,47.44,-0.017137306
08/09/2010,48.26,0.001036592
07/09/2010,48.21,-0.013392597
03/09/2010,48.86,0.015676889
02/09/2010,48.1,0.005420067
01/09/2010,47.84,0.042923211
31/08/2010,45.83,0.013841812
30/08/2010,45.2,-0.015150142
27/08/2010,45.89,0.020029282
26/08/2010,44.98,-0.008853533
25/08/2010,45.38,0.01711343
24/08/2010,44.61,-0.006925081
23/08/2010,44.92,0.001559541
20/08/2010,44.85,0.004245342
19/08/2010,44.66,-0.028475602
18/08/2010,45.95,0.001088732
17/08/2010,45.9,0.022472856
16/08/2010,44.88,0
13/08/2010,44.88,0.004690126
12/08/2010,44.67,-0.016870544
11/08/2010,45.43,-0.035675603
10/08/2010,47.08,0.001913469
09/08/2010,46.99,0.024559614
06/08/2010,45.85,-0.00130776
05/08/2010,45.91,-0.019627504
04/08/2010,46.82,-0.002559728
03/08/2010,46.94,-0.008274153
02/08/2010,47.33,0.031769145
30/07/2010,45.85,0.014056897
29/07/2010,45.21,-0.029423502
28/07/2010,46.56,0.002580647
27/07/2010,46.44,-0.006011182
26/07/2010,46.72,0.034182059
23/07/2010,45.15,0.00510715
22/07/2010,44.92,0.047177485
21/07/2010,42.85,-0.029207549
20/07/2010,44.12,0.010939033
19/07/2010,43.64,0.02200946
16/07/2010,42.69,-0.048243439
15/07/2010,44.8,0.002458376
14/07/2010,44.69,-0.012010821
13/07/2010,45.23,0.020550198
12/07/2010,44.31,0.005885033
09/07/2010,44.05,0.016941797
08/07/2010,43.31,0.018173846
07/07/2010,42.53,0.055845325
06/07/2010,40.22,-0.011126336
02/07/2010,40.67,-0.023810649
01/07/2010,41.65,0.000240125
30/06/2010,41.64,-0.011936165
29/06/2010,42.14,-0.040689095
28/06/2010,43.89,-0.015150092
25/06/2010,44.56,0.036799947
24/06/2010,42.95,-0.031850556
23/06/2010,44.34,0.011112485
22/06/2010,43.85,-0.03825542
21/06/2010,45.56,-0.004380208
18/06/2010,45.76,-0.012379352
17/06/2010,46.33,0.010414501
16/06/2010,45.85,-0.012570603
15/06/2010,46.43,0.026406335
14/06/2010,45.22,0.014927313
11/06/2010,44.55,0.007887365
10/06/2010,44.2,0.055589244
09/06/2010,41.81,-0.000239149
08/06/2010,41.82,0.023223105
07/06/2010,40.86,-0.009014557
04/06/2010,41.23,-0.072044238
03/06/2010,44.31,-0.004503498
02/06/2010,44.51,0.004052234
01/06/2010,44.33,-0.017885565
28/05/2010,45.13,-0.013644578
27/05/2010,45.75,0.053423834
26/05/2010,43.37,-0.000691483
25/05/2010,43.4,0.018370474
24/05/2010,42.61,-0.031191162
21/05/2010,43.96,0.038965969
20/05/2010,42.28,-0.051175028
19/05/2010,44.5,-0.002020429
18/05/2010,44.59,-0.02917334
17/05/2010,45.91,0.006336741
14/05/2010,45.62,-0.030014128
13/05/2010,47.01,-0.022921832
12/05/2010,48.1,0.016137833
11/05/2010,47.33,0.006996742
10/05/2010,47,0.078997155
07/05/2010,43.43,-0.020511202
06/05/2010,44.33,-0.042832154
05/05/2010,46.27,-0.015866542
04/05/2010,47.01,-0.01079033
03/05/2010,47.52,0.048506114
30/04/2010,45.27,-0.040901514
29/04/2010,47.16,0.071176278
28/04/2010,43.92,0.005021695
27/04/2010,43.7,-0.035075538
26/04/2010,45.26,0.014689781
23/04/2010,44.6,0.019242246
22/04/2010,43.75,0.01868782
21/04/2010,42.94,0.021896107
20/04/2010,42.01,0.020683758
19/04/2010,41.15,0.000972526
16/04/2010,41.11,-0.022370145
15/04/2010,42.04,-0.024669406
14/04/2010,43.09,0.001393405
13/04/2010,43.03,0.02494247
12/04/2010,41.97,0.000476644
09/04/2010,41.95,0.033696074
08/04/2010,40.56,-0.001724351
07/04/2010,40.63,-0.022631456
06/04/2010,41.56,0.03252518
05/04/2010,40.23,0.02772355
01/04/2010,39.13,-0.000510986
31/03/2010,39.15,-0.008647053
