Date,Close,CTAS
06/07/2012,39.06,-0.011960952
05/07/2012,39.53,0.002786576
03/07/2012,39.42,0.002794362
02/07/2012,39.31,0.017967629
29/06/2012,38.61,0.031840606
28/06/2012,37.4,0.009672295
27/06/2012,37.04,0.021834929
26/06/2012,36.24,0.002486533
25/06/2012,36.15,-0.017820897
22/06/2012,36.8,0.004084417
21/06/2012,36.65,-0.019454815
20/06/2012,37.37,-0.00666758
19/06/2012,37.62,0.010689573
18/06/2012,37.22,-0.000268637
15/06/2012,37.23,0.01488324
14/06/2012,36.68,0.007388185
13/06/2012,36.41,-0.007388185
12/06/2012,36.68,0.014831362
11/06/2012,36.14,-0.006618888
08/06/2012,36.38,0.006618888
07/06/2012,36.14,0.003881347
06/06/2012,36,0.010611661
05/06/2012,35.62,-0.005319906
04/06/2012,35.81,0.001397234
01/06/2012,35.76,-0.031381601
31/05/2012,36.9,-0.00513584
30/05/2012,37.09,-0.013922581
29/05/2012,37.61,0.008008585
25/05/2012,37.31,-0.010929071
24/05/2012,37.72,-0.001059884
23/05/2012,37.76,0.009312293
22/05/2012,37.41,0.005629287
21/05/2012,37.2,0.018996501
18/05/2012,36.5,-0.008185585
17/05/2012,36.8,-0.028133135
16/05/2012,37.85,-0.01103532
15/05/2012,38.27,-0.003651543
14/05/2012,38.41,-0.007780122
11/05/2012,38.71,0.004141865
10/05/2012,38.55,-0.00025937
09/05/2012,38.56,-0.019009049
08/05/2012,39.3,-0.000254421
07/05/2012,39.31,0.003057327
04/05/2012,39.19,-0.003820201
03/05/2012,39.34,-0.003299077
02/05/2012,39.47,0.002790817
01/05/2012,39.36,0.004838925
30/04/2012,39.17,-0.006362154
27/04/2012,39.42,0.006872879
26/04/2012,39.15,0.004351728
25/04/2012,38.98,0.001540437
24/04/2012,38.92,0.004377502
23/04/2012,38.75,-0.012820688
20/04/2012,39.25,0.000764623
19/04/2012,39.22,-0.004578996
18/04/2012,39.4,0.004834
17/04/2012,39.21,0.018533349
16/04/2012,38.49,0.000259841
13/04/2012,38.48,-0.005184045
12/04/2012,38.68,0.008307421
11/04/2012,38.36,0.016029774
10/04/2012,37.75,-0.015508262
09/04/2012,38.34,-0.016041741
05/04/2012,38.96,-0.000513215
04/04/2012,38.98,-0.007412175
03/04/2012,39.27,0
02/04/2012,39.27,0.003827023
30/03/2012,39.12,0.002303264
29/03/2012,39.03,-0.008165394
28/03/2012,39.35,-0.010868299
27/03/2012,39.78,-0.000753864
26/03/2012,39.81,0.010860064
23/03/2012,39.38,-0.005571045
22/03/2012,39.6,0.010152371
21/03/2012,39.2,-0.031884212
20/03/2012,40.47,0.004954184
19/03/2012,40.27,0.001491054
16/03/2012,40.21,0.005986548
15/03/2012,39.97,0.011828501
14/03/2012,39.5,-0.009824994
13/03/2012,39.89,0.011852364
12/03/2012,39.42,0.003048783
09/03/2012,39.3,0.00101833
08/03/2012,39.26,0.032093852
07/03/2012,38.02,0.012172683
06/03/2012,37.56,-0.017680893
05/03/2012,38.23,-0.002090411
02/03/2012,38.31,-0.012709288
01/03/2012,38.8,0.006204777
29/02/2012,38.56,0.003897627
28/02/2012,38.41,-0.00803842
27/02/2012,38.72,-0.002063984
24/02/2012,38.8,0.006204777
23/02/2012,38.56,0.002336753
22/02/2012,38.47,-0.005960883
21/02/2012,38.7,0.002587324
17/02/2012,38.6,0.001815118
16/02/2012,38.53,0.015167655
15/02/2012,37.95,-0.006827758
14/02/2012,38.21,-0.003917989
13/02/2012,38.36,0.0178858
10/02/2012,37.68,-0.008719833
09/02/2012,38.01,-0.001051801
08/02/2012,38.05,-0.001313198
07/02/2012,38.1,0.004208318
06/02/2012,37.94,0.001054852
03/02/2012,37.9,0.015153819
02/02/2012,37.33,-0.01304077
01/02/2012,37.82,0.019490672
31/01/2012,37.09,0.002429479
30/01/2012,37,-0.0126227
27/01/2012,37.47,-0.002399042
26/01/2012,37.56,0.002932944
25/01/2012,37.45,-0.001334223
24/01/2012,37.5,-0.00079968
23/01/2012,37.53,-0.010601743
20/01/2012,37.93,0.000263678
19/01/2012,37.92,0.002640614
18/01/2012,37.82,0.006898409
17/01/2012,37.56,0.005071411
13/01/2012,37.37,-0.001337077
12/01/2012,37.42,-0.00479873
11/01/2012,37.6,-0.011634187
10/01/2012,38.04,0.017234949
09/01/2012,37.39,0.002141902
06/01/2012,37.31,0.021675192
05/01/2012,36.51,0.003017421
04/01/2012,36.4,0.032386974
03/01/2012,35.24,0.012277099
30/12/2011,34.81,-0.011425431
