Date,Close,AVP
21/10/2011,23.44,0.036051678
20/10/2011,22.61,0.005766261
19/10/2011,22.48,-0.003995566
18/10/2011,22.57,0.022855577
17/10/2011,22.06,-0.010820665
14/10/2011,22.3,0.013998874
13/10/2011,21.99,0.005014827
12/10/2011,21.88,0.025927378
11/10/2011,21.32,0.02181215
10/10/2011,20.86,0.051141921
07/10/2011,19.82,-0.029823284
06/10/2011,20.42,0.03742018
05/10/2011,19.67,0.021064226
04/10/2011,19.26,0.015171622
03/10/2011,18.97,-0.032670782
30/09/2011,19.6,-0.011666376
29/09/2011,19.83,0.011156302
28/09/2011,19.61,-0.041943242
27/09/2011,20.45,0.009828089
26/09/2011,20.25,0.015427029
23/09/2011,19.94,-0.002004009
22/09/2011,19.98,-0.050266742
21/09/2011,21.01,-0.033695279
20/09/2011,21.73,0.005537624
19/09/2011,21.61,-0.022421438
16/09/2011,22.1,0.022421438
15/09/2011,21.61,0.011636156
14/09/2011,21.36,0.000936768
13/09/2011,21.34,0.006582064
12/09/2011,21.2,0.004728141
09/09/2011,21.1,-0.025732414
08/09/2011,21.65,-0.020572154
07/09/2011,22.1,0.039691412
06/09/2011,21.24,-0.011236073
02/09/2011,21.48,-0.029359907
01/09/2011,22.12,-0.01969625
31/08/2011,22.56,0.012489012
30/08/2011,22.28,0.010830431
29/08/2011,22.04,0.016468808
26/08/2011,21.68,0.014402107
25/08/2011,21.37,-0.016705725
24/08/2011,21.73,0.01717378
23/08/2011,21.36,0.033804695
22/08/2011,20.65,0.005828088
19/08/2011,20.53,-0.020728628
18/08/2011,20.96,-0.036538022
17/08/2011,21.74,-0.002756088
16/08/2011,21.8,0.000917852
15/08/2011,21.78,0.030771659
12/08/2011,21.12,0.005698021
11/08/2011,21,0.025073638
10/08/2011,20.48,-0.05463244
09/08/2011,21.63,0.041053182
08/08/2011,20.76,-0.111555162
05/08/2011,23.21,0.014320054
04/08/2011,22.88,-0.072483276
03/08/2011,24.6,-0.02051973
02/08/2011,25.11,-0.029044428
01/08/2011,25.85,-0.014593193
29/07/2011,26.23,-0.015885357
28/07/2011,26.65,-0.040086264
27/07/2011,27.74,-0.017863998
26/07/2011,28.24,0.005325772
25/07/2011,28.09,-0.021134989
22/07/2011,28.69,-0.007292965
21/07/2011,28.9,0.013937508
20/07/2011,28.5,0.001755927
19/07/2011,28.45,0.019521472
18/07/2011,27.9,-0.007498696
15/07/2011,28.11,0.006066031
14/07/2011,27.94,-0.006421713
13/07/2011,28.12,0.003919478
12/07/2011,28.01,-0.007114936
11/07/2011,28.21,-0.01127964
08/07/2011,28.53,-0.007333715
07/07/2011,28.74,0.047017207
06/07/2011,27.42,-0.0108815
05/07/2011,27.72,-0.009335795
01/07/2011,27.98,-0.000714541
30/06/2011,28,0.008248209
29/06/2011,27.77,0.000360166
28/06/2011,27.76,0.011229968
27/06/2011,27.45,-0.002910151
24/06/2011,27.53,-0.005433812
23/06/2011,27.68,-0.005045056
22/06/2011,27.82,-0.016045985
21/06/2011,28.27,0.023623146
20/06/2011,27.61,0.009095933
17/06/2011,27.36,0.005130096
16/06/2011,27.22,-0.003667037
15/06/2011,27.32,-0.021724243
14/06/2011,27.92,0.013340742
13/06/2011,27.55,0.006920443
10/06/2011,27.36,-0.011266701
09/06/2011,27.67,0.001808646
08/06/2011,27.62,-0.01080313
07/06/2011,27.92,-0.004645354
06/06/2011,28.05,-0.007458745
03/06/2011,28.26,-0.019969134
02/06/2011,28.83,-0.016171004
01/06/2011,29.3,-0.013896173
31/05/2011,29.71,0.015262294
27/05/2011,29.26,0.004452825
26/05/2011,29.13,-0.000686342
25/05/2011,29.15,-0.02807558
24/05/2011,29.98,0.008710273
23/05/2011,29.72,-0.008710273
20/05/2011,29.98,0.000333611
19/05/2011,29.97,-0.005988042
18/05/2011,30.15,0
17/05/2011,30.15,-0.003641785
16/05/2011,30.26,0.002647255
13/05/2011,30.18,-0.006605044
12/05/2011,30.38,0.022974208
11/05/2011,29.69,0.012881534
10/05/2011,29.31,0.005473842
09/05/2011,29.15,0.003780723
