Date,Close,DAL
08/08/2011,6.62,-0.051519855
05/08/2011,6.97,-0.007147993
04/08/2011,7.02,-0.072784345
03/08/2011,7.55,0.016021705
02/08/2011,7.43,-0.048597875
01/08/2011,7.8,-0.011472401
29/07/2011,7.89,0.03350829
28/07/2011,7.63,0.002624673
27/07/2011,7.61,-0.05247525
26/07/2011,8.02,0.020151815
25/07/2011,7.86,-0.030077455
22/07/2011,8.1,-0.008604847
21/07/2011,8.17,0.003678729
20/07/2011,8.14,-0.014634408
19/07/2011,8.26,0.024511031
18/07/2011,8.06,-0.042507917
15/07/2011,8.41,-0.011820469
14/07/2011,8.51,-0.022081083
13/07/2011,8.7,0.010398707
12/07/2011,8.61,-0.044300259
11/07/2011,9,-0.038151766
08/07/2011,9.35,-0.00639661
07/07/2011,9.41,0.030207259
06/07/2011,9.13,0.001095891
05/07/2011,9.12,-0.018468749
01/07/2011,9.29,0.013001267
30/06/2011,9.17,-0.003266198
29/06/2011,9.2,-0.020441809
28/06/2011,9.39,-0.028348355
27/06/2011,9.66,0.024097552
24/06/2011,9.43,-0.052670924
23/06/2011,9.94,0.035846132
22/06/2011,9.59,-0.022681385
21/06/2011,9.81,0.012307848
20/06/2011,9.69,0.011416834
17/06/2011,9.58,0.018967903
16/06/2011,9.4,0.007474674
15/06/2011,9.33,-0.018056784
14/06/2011,9.5,0.02558775
13/06/2011,9.26,0.004329011
10/06/2011,9.22,0.004347833
09/06/2011,9.18,0.004366819
08/06/2011,9.14,-0.013043663
07/06/2011,9.26,-0.007530966
06/06/2011,9.33,-0.03060925
03/06/2011,9.62,0
02/06/2011,9.62,-0.006217637
01/06/2011,9.68,-0.040491361
31/05/2011,10.08,0.00796817
27/05/2011,10,-0.017839918
26/05/2011,10.18,-0.029997411
25/05/2011,10.49,-0.055621379
24/05/2011,11.09,-0.012544967
23/05/2011,11.23,-0.024627454
20/05/2011,11.51,0.011358794
19/05/2011,11.38,0.040346127
18/05/2011,10.93,-0.007292649
17/05/2011,11.01,0.000908678
16/05/2011,11,0.032335381
13/05/2011,10.65,-0.020446809
12/05/2011,10.87,-0.017328295
11/05/2011,11.06,0.023788862
10/05/2011,10.8,-0.000925498
09/05/2011,10.81,-0.036334605
06/05/2011,11.21,-0.000891663
05/05/2011,11.22,0.069183875
04/05/2011,10.47,-0.004764182
03/05/2011,10.52,0.005719749
02/05/2011,10.46,0.007677581
29/04/2011,10.38,0.030320171
28/04/2011,10.07,0.001988072
27/04/2011,10.05,0.005988042
26/04/2011,9.99,0.104360015
25/04/2011,9,-0.00554018
21/04/2011,9.05,-0.002207506
20/04/2011,9.07,-0.00659343
19/04/2011,9.13,-0.001094691
18/04/2011,9.14,-0.011963166
15/04/2011,9.25,-0.010752792
14/04/2011,9.35,-0.024301249
13/04/2011,9.58,-0.032857165
12/04/2011,9.9,0.04863866
11/04/2011,9.43,0.042236922
08/04/2011,9.04,-0.040113779
07/04/2011,9.41,-0.018947935
06/04/2011,9.59,-0.011404997
05/04/2011,9.7,-0.013313049
04/04/2011,9.83,0.001017812
01/04/2011,9.82,0.002038737
31/03/2011,9.8,-0.014184635
30/03/2011,9.94,0.015205564
29/03/2011,9.79,-0.012182892
28/03/2011,9.91,0.011161963
25/03/2011,9.8,-0.021202208
24/03/2011,10.01,0.010040245
23/03/2011,9.91,-0.009040745
22/03/2011,10,-0.016857117
21/03/2011,10.17,-0.00685941
18/03/2011,10.24,0.037815451
17/03/2011,9.86,-0.033901552
16/03/2011,10.2,-0.046921005
15/03/2011,10.69,-0.025855549
14/03/2011,10.97,-0.023424494
11/03/2011,11.23,0.004462301
10/03/2011,11.18,0.027200226
09/03/2011,10.88,-0.017312505
08/03/2011,11.07,0.092693912
07/03/2011,10.09,0.018000486
04/03/2011,9.91,-0.034708491
03/03/2011,10.26,0.010779134
02/03/2011,10.15,-0.044323247
01/03/2011,10.61,-0.057681892
28/02/2011,11.24,0.010733556
25/02/2011,11.12,-0.000898876
24/02/2011,11.13,0.009932362
23/02/2011,11.02,0.025736715
22/02/2011,10.74,-0.068371946
18/02/2011,11.5,-0.012959145
17/02/2011,11.65,-0.014486832
16/02/2011,11.82,-0.006745388
15/02/2011,11.9,0.006745388
14/02/2011,11.82,-0.006745388
11/02/2011,11.9,0.017804625
10/02/2011,11.69,-0.004268039
09/02/2011,11.74,-0.010169579
08/02/2011,11.86,0.026485957
07/02/2011,11.55,0.013072082
04/02/2011,11.4,-0.011338979
03/02/2011,11.53,0.01573459
02/02/2011,11.35,-0.038033971
01/02/2011,11.79,0.010230268
31/01/2011,11.67,-0.013617232
28/01/2011,11.83,-0.038960584
27/01/2011,12.3,0.02636067
26/01/2011,11.98,0.029650626
25/01/2011,11.63,-0.032983963
24/01/2011,12.02,0.040752668
21/01/2011,11.54,-0.006047535
20/01/2011,11.61,0.013877066
19/01/2011,11.45,-0.021599112
18/01/2011,11.7,-0.08594243
14/01/2011,12.75,0.011041122
13/01/2011,12.61,0.007961825
12/01/2011,12.51,0.012872261
11/01/2011,12.35,-0.020040751
10/01/2011,12.6,-0.031252544
07/01/2011,13,0.006947153
06/01/2011,12.91,-0.005407506
