Date,Close,SNI
06/08/2010,44.82,0.00022314
05/08/2010,44.81,0.008291364
04/08/2010,44.44,0.01199788
03/08/2010,43.91,0.003421926
02/08/2010,43.76,0.026161927
30/07/2010,42.63,0.002583677
29/07/2010,42.52,0.010877383
28/07/2010,42.06,-0.004270469
27/07/2010,42.24,-0.016901811
26/07/2010,42.96,0.046697383
23/07/2010,41,-0.002192716
22/07/2010,41.09,0.016687504
21/07/2010,40.41,-0.022511349
20/07/2010,41.33,0.01388742
19/07/2010,40.76,0.008623929
16/07/2010,40.41,-0.026616148
15/07/2010,41.5,-0.0095924
14/07/2010,41.9,-0.005474249
13/07/2010,42.13,0.01675482
12/07/2010,41.43,-0.004335267
09/07/2010,41.61,-0.010518863
08/07/2010,42.05,0.004051
07/07/2010,41.88,0.025146393
06/07/2010,40.84,-0.002933987
02/07/2010,40.96,0.013023897
01/07/2010,40.43,0.002228551
30/06/2010,40.34,-0.022792311
29/06/2010,41.27,-0.043155108
28/06/2010,43.09,-0.004861683
25/06/2010,43.3,0.02171207
24/06/2010,42.37,-0.032508087
23/06/2010,43.77,-0.002965669
22/06/2010,43.9,-0.02296881
21/06/2010,44.92,-0.008865306
18/06/2010,45.32,-0.004623013
17/06/2010,45.53,0.007716938
16/06/2010,45.18,-0.012974344
15/06/2010,45.77,0.016744167
14/06/2010,45.01,-0.004433614
11/06/2010,45.21,0.005100355
10/06/2010,44.98,0.030472959
09/06/2010,43.63,0.018272742
08/06/2010,42.84,-0.006978395
07/06/2010,43.14,-0.036193776
04/06/2010,44.73,-0.040097386
03/06/2010,46.56,0.006680339
02/06/2010,46.25,0.042625422
01/06/2010,44.32,-0.019218469
28/05/2010,45.18,-0.016463987
27/05/2010,45.93,0.018679809
26/05/2010,45.08,0.02265941
25/05/2010,44.07,0.007973616
24/05/2010,43.72,0.004585061
21/05/2010,43.52,0.007380107
20/05/2010,43.2,-0.048569681
19/05/2010,45.35,-0.019218761
18/05/2010,46.23,-0.002160761
17/05/2010,46.33,0
14/05/2010,46.33,-0.011801446
13/05/2010,46.88,-0.02298467
12/05/2010,47.97,0.02149261
11/05/2010,46.95,0.016103408
10/05/2010,46.2,0.046746799
07/05/2010,44.09,-0.01597514
06/05/2010,44.8,-0.016602484
05/05/2010,45.55,-0.010917139
04/05/2010,46.05,-0.009509473
03/05/2010,46.49,0.025047591
30/04/2010,45.34,0.014663671
29/04/2010,44.68,0.013066192
28/04/2010,44.1,-0.002038737
27/04/2010,44.19,-0.018163971
26/04/2010,45,-0.005982072
23/04/2010,45.27,0.007761432
22/04/2010,44.92,0.013447087
21/04/2010,44.32,0.003390217
20/04/2010,44.17,0.014136122
19/04/2010,43.55,0.003911198
16/04/2010,43.38,-0.011687998
15/04/2010,43.89,-0.005226691
14/04/2010,44.12,0.011856044
13/04/2010,43.6,-0.003891501
12/04/2010,43.77,-0.004786334
09/04/2010,43.98,0.013505985
08/04/2010,43.39,-0.000921447
07/04/2010,43.43,-0.02591054
06/04/2010,44.57,0
05/04/2010,44.57,0.006979652
01/04/2010,44.26,-0.002031374
31/03/2010,44.35,-0.005172619
30/03/2010,44.58,0.011506049
29/03/2010,44.07,0.00500456
26/03/2010,43.85,0.008243692
25/03/2010,43.49,0.005302606
24/03/2010,43.26,0.018665964
23/03/2010,42.46,0.017581826
22/03/2010,41.72,0.011329517
19/03/2010,41.25,-0.000727008
18/03/2010,41.28,-0.004592153
17/03/2010,41.47,-0.006729177
16/03/2010,41.75,0.004320698
15/03/2010,41.57,-0.010052741
12/03/2010,41.99,0.015117264
11/03/2010,41.36,0.006306109
10/03/2010,41.1,0.013965681
09/03/2010,40.53,-0.01006514
08/03/2010,40.94,0.002935423
05/03/2010,40.82,0.034645209
04/03/2010,39.43,0.001522843
03/03/2010,39.37,-0.008347083
02/03/2010,39.7,-0.012764533
01/03/2010,40.21,0.015791781
26/02/2010,39.58,0.001264063
25/02/2010,39.53,-0.002778832
24/02/2010,39.64,-0.013032766
23/02/2010,40.16,0.016570803
