Date,Close,GPS
25/05/2011,18.77,0.002133334
24/05/2011,18.73,-0.028941773
23/05/2011,19.28,0.003116886
20/05/2011,19.22,-0.19207268
19/05/2011,23.29,0.009057642
18/05/2011,23.08,0.003907103
17/05/2011,22.99,0.001741402
16/05/2011,22.95,-0.004347833
13/05/2011,23.05,-0.002166848
12/05/2011,23.1,0.010006609
11/05/2011,22.87,-0.004798264
10/05/2011,22.98,0.018002682
09/05/2011,22.57,-0.001328315
06/05/2011,22.6,-0.014496191
05/05/2011,22.93,-0.008684379
04/05/2011,23.13,0.008684379
03/05/2011,22.93,-0.001307475
02/05/2011,22.96,-0.012121361
29/04/2011,23.24,-0.000860215
28/04/2011,23.26,0.009503311
27/04/2011,23.04,0.010909993
26/04/2011,22.79,0.022632428
25/04/2011,22.28,0.01310161
21/04/2011,21.99,0.004557893
20/04/2011,21.89,0.007796416
19/04/2011,21.72,-0.003217654
18/04/2011,21.79,-0.030729937
15/04/2011,22.47,0.010738358
14/04/2011,22.23,-0.013405026
13/04/2011,22.53,0.016107731
12/04/2011,22.17,0
11/04/2011,22.17,-0.003601985
08/04/2011,22.25,-0.020903585
07/04/2011,22.72,-0.014853921
06/04/2011,23.06,-0.001733103
05/04/2011,23.1,0.024984863
04/04/2011,22.53,-0.004428705
01/04/2011,22.63,-0.001324796
31/03/2011,22.66,0.000883002
30/03/2011,22.64,0.016028838
29/03/2011,22.28,0.004949391
28/03/2011,22.17,-0.017438403
25/03/2011,22.56,0.000886918
24/03/2011,22.54,0.023340377
23/03/2011,22.02,0.00775021
22/03/2011,21.85,-0.002742232
21/03/2011,21.91,0.001827319
18/03/2011,21.87,0.008725658
17/03/2011,21.68,0.006942865
16/03/2011,21.53,-0.008786184
15/03/2011,21.72,-0.003217654
14/03/2011,21.79,-0.008226737
11/03/2011,21.97,0.024886077
10/03/2011,21.43,-0.001398928
09/03/2011,21.46,0.007483664
08/03/2011,21.3,0.0018797
07/03/2011,21.26,-0.015402872
04/03/2011,21.59,-0.008761873
03/03/2011,21.78,-0.01955052
02/03/2011,22.21,0.000450349
01/03/2011,22.2,-0.014755466
28/02/2011,22.53,-0.009717391
25/02/2011,22.75,0.011494379
24/02/2011,22.49,0.0071397
23/02/2011,22.33,-0.016433859
22/02/2011,22.7,-0.015300845
18/02/2011,23.05,0.000868056
17/02/2011,23.03,0.007846596
16/02/2011,22.85,0.003068159
15/02/2011,22.78,0.059226346
14/02/2011,21.47,0.00326569
11/02/2011,21.4,0.008446789
10/02/2011,21.22,0.001414761
09/02/2011,21.19,0.011868167
08/02/2011,20.94,0.029071815
07/02/2011,20.34,0.011869576
04/02/2011,20.1,0.013523873
03/02/2011,19.83,0.041179261
02/02/2011,19.03,-0.0254229
01/02/2011,19.52,0.012890099
31/01/2011,19.27,0.003639203
28/01/2011,19.2,-0.008298803
27/01/2011,19.36,-0.033522692
26/01/2011,20.02,-0.006968669
25/01/2011,20.16,-0.002477088
24/01/2011,20.21,0.005457716
21/01/2011,20.1,-0.005952399
20/01/2011,20.22,0.003964326
19/01/2011,20.14,-0.007420267
18/01/2011,20.29,-0.005896823
14/01/2011,20.41,0.005896823
13/01/2011,20.29,-0.004425874
12/01/2011,20.38,0.002948405
11/01/2011,20.32,-0.010281608
10/01/2011,20.53,0.000974659
07/01/2011,20.51,-0.009221128
06/01/2011,20.7,-0.071309028
05/01/2011,22.23,0.012220111
04/01/2011,21.96,-0.011770168
03/01/2011,22.22,0.003606857
31/12/2010,22.14,-0.014350022
30/12/2010,22.46,0.023880387
29/12/2010,21.93,0.012850108
28/12/2010,21.65,0.006487511
27/12/2010,21.51,0.002327206
23/12/2010,21.46,0.012189556
