Date,Close,CINF
22/06/2010,27.54,-0.005431844
21/06/2010,27.69,-0.021437048
18/06/2010,28.29,0.000353544
17/06/2010,28.28,0.004607486
16/06/2010,28.15,-0.009545768
15/06/2010,28.42,0.015960615
14/06/2010,27.97,0.002864306
11/06/2010,27.89,0.006835788
10/06/2010,27.7,0.038268098
09/06/2010,26.66,-0.002622215
08/06/2010,26.73,0.018501566
07/06/2010,26.24,-0.005700186
04/06/2010,26.39,-0.04010935
03/06/2010,27.47,0.001457195
02/06/2010,27.43,0.028097967
01/06/2010,26.67,-0.01930992
28/05/2010,27.19,-0.002204262
27/05/2010,27.25,0.038912504
26/05/2010,26.21,-0.007222993
25/05/2010,26.4,-0.003403293
24/05/2010,26.49,-0.019069563
21/05/2010,27,0.013798466
20/05/2010,26.63,-0.037948926
19/05/2010,27.66,0.004347833
18/05/2010,27.54,-0.00903675
17/05/2010,27.79,0.01413323
14/05/2010,27.4,-0.011611161
13/05/2010,27.72,-0.003960401
12/05/2010,27.83,0.013384175
11/05/2010,27.46,-0.006171739
10/05/2010,27.63,0.038743086
07/05/2010,26.58,-0.015307374
06/05/2010,26.99,-0.033160262
05/05/2010,27.9,-0.003577821
04/05/2010,28,-0.025040984
03/05/2010,28.71,0.009448889
30/04/2010,28.44,-0.023971966
29/04/2010,29.13,-0.001372213
28/04/2010,29.17,0.009645269
27/04/2010,28.89,-0.038368312
26/04/2010,30.02,-0.006309169
23/04/2010,30.21,0.011988156
22/04/2010,29.85,0.004028203
21/04/2010,29.73,-0.00168039
20/04/2010,29.78,0.007414931
19/04/2010,29.56,0.010542522
16/04/2010,29.25,-0.019299736
15/04/2010,29.82,-0.001340483
14/04/2010,29.86,0.014845077
13/04/2010,29.42,0.007163599
12/04/2010,29.21,-0.002735044
09/04/2010,29.29,-0.001364722
08/04/2010,29.33,0.003415304
07/04/2010,29.23,-0.004778166
06/04/2010,29.37,0.003410645
05/04/2010,29.27,0.006512448
01/04/2010,29.08,0.005863097
31/03/2010,28.91,-0.009295987
30/03/2010,29.18,-0.004445212
29/03/2010,29.31,0.010632925
26/03/2010,29,0.004839277
25/03/2010,28.86,0.002428449
24/03/2010,28.79,-0.005542099
23/03/2010,28.95,0.009370188
22/03/2010,28.68,-0.024454465
19/03/2010,29.39,0.003749791
18/03/2010,29.28,0.005822931
17/03/2010,29.11,0.012443991
16/03/2010,28.75,0.002089137
15/03/2010,28.69,0.006644543
12/03/2010,28.5,0.000350939
11/03/2010,28.49,0.003868477
10/03/2010,28.38,-0.001408451
09/03/2010,28.42,0.003171809
08/03/2010,28.33,0.009576239
05/03/2010,28.06,0.008589888
04/03/2010,27.82,0.005045056
03/03/2010,27.68,-0.001804729
02/03/2010,27.73,0.01270204
01/03/2010,27.38,0.01805835
26/02/2010,26.89,-0.002599816
25/02/2010,26.96,0.001484781
24/02/2010,26.92,0.011958289
23/02/2010,26.6,-0.008982096
22/02/2010,26.84,0.004855285
19/02/2010,26.71,0.001873712
18/02/2010,26.66,0.005642294
17/02/2010,26.51,0.006813047
16/02/2010,26.33,0.013381962
12/02/2010,25.98,0.004243015
11/02/2010,25.87,0.000773395
10/02/2010,25.85,0.002711603
09/02/2010,25.78,0.004665638
08/02/2010,25.66,-0.025015736
05/02/2010,26.31,0.001902226
04/02/2010,26.26,-0.013991531
03/02/2010,26.63,-0.000375446
02/02/2010,26.64,0.012464751
01/02/2010,26.31,-0.003036055
29/01/2010,26.39,0.006081357
28/01/2010,26.23,-0.008352364
27/01/2010,26.45,0.008352364
26/01/2010,26.23,-0.009108222
25/01/2010,26.47,0.006823377
22/01/2010,26.29,-0.020704673
21/01/2010,26.84,-0.007423939
20/01/2010,27.04,-0.011399278
19/01/2010,27.35,0.018078338
15/01/2010,26.86,-0.006309169
14/01/2010,27.03,0.002222223
13/01/2010,26.97,0.008938607
12/01/2010,26.73,-0.00186881
11/01/2010,26.78,0.007496287
08/01/2010,26.58,-0.003380285
07/01/2010,26.67,0.003756578
06/01/2010,26.57,0.002260739
05/01/2010,26.51,0.000377287
04/01/2010,26.5,0.009859769
31/12/2009,26.24,-0.006836335
30/12/2009,26.42,0.003412326
29/12/2009,26.33,0.005713213
28/12/2009,26.18,-0.000381898
24/12/2009,26.19,0.008820767
23/12/2009,25.96,0.003086422
22/12/2009,25.88,0.009316838
21/12/2009,25.64,-0.007770047
18/12/2009,25.84,-0.001160317
17/12/2009,25.87,-0.006933772
16/12/2009,26.05,0.00230592
15/12/2009,25.99,-0.006137342
14/12/2009,26.15,0.012312583
11/12/2009,25.83,0.003490405
10/12/2009,25.74,0.007800352
09/12/2009,25.54,0.005496677
08/12/2009,25.4,0.000393778
07/12/2009,25.39,-0.003930823
04/12/2009,25.49,0.010648888
03/12/2009,25.22,-0.011825128
02/12/2009,25.52,-0.002348338
01/12/2009,25.58,0.002348338
30/11/2009,25.52,0.012618464
27/11/2009,25.2,-0.016919546
25/11/2009,25.63,-0.005059361
24/11/2009,25.76,0.001165275
23/11/2009,25.73,0.011728047
20/11/2009,25.43,-0.003924652
19/11/2009,25.53,-0.010132589
18/11/2009,25.79,-0.004642175
17/11/2009,25.91,-0.003082854
16/11/2009,25.99,-0.004223466
13/11/2009,26.1,0
12/11/2009,26.1,-0.014831989
11/11/2009,26.49,0.0083397
10/11/2009,26.27,-0.004936406
09/11/2009,26.4,0.023765013
06/11/2009,25.78,-0.003484999
05/11/2009,25.87,0.010882346
04/11/2009,25.59,-0.001951982
03/11/2009,25.64,-0.001558847
02/11/2009,25.68,0.012539349
30/10/2009,25.36,-0.012149865
29/10/2009,25.67,0.020067563
28/10/2009,25.16,-0.000794597
27/10/2009,25.18,-0.007123101
26/10/2009,25.36,-0.012928682
23/10/2009,25.69,-0.016216572
22/10/2009,26.11,0.017774811
21/10/2009,25.65,-0.007767029
20/10/2009,25.85,-0.014974363
19/10/2009,26.24,0.018850337
16/10/2009,25.75,-0.015796899
15/10/2009,26.16,0
14/10/2009,26.16,0.015408625
13/10/2009,25.76,-0.002326484
12/10/2009,25.82,-0.006177626
09/10/2009,25.98,0.006177626
08/10/2009,25.82,-0.002707408
07/10/2009,25.89,0
06/10/2009,25.89,0.008923435
05/10/2009,25.66,0.005862827
02/10/2009,25.51,-0.003521819
01/10/2009,25.6,-0.015119497
30/09/2009,25.99,-0.004223466
29/09/2009,26.1,-0.00076599
28/09/2009,26.12,0.033479187
25/09/2009,25.26,-0.004739345
24/09/2009,25.38,0
23/09/2009,25.38,-0.007067167
22/09/2009,25.56,-0.005851392
21/09/2009,25.71,-0.00813485
18/09/2009,25.92,0.01516064
17/09/2009,25.53,-0.021314506
16/09/2009,26.08,0.01156974
15/09/2009,25.78,-0.006187181
14/09/2009,25.94,0.015931948
11/09/2009,25.53,0.002745638
10/09/2009,25.46,0.001179014
09/09/2009,25.43,0.015854474
08/09/2009,25.03,0.005207302
04/09/2009,24.9,0.000401687
