Date,Close,EA
27/03/2012,17.02,0.001175779
26/03/2012,17,0.008269391
23/03/2012,16.86,-0.005913678
22/03/2012,16.96,0.002361276
21/03/2012,16.92,-0.005305052
20/03/2012,17.01,-0.009362269
19/03/2012,17.17,-0.016748876
16/03/2012,17.46,0.043905208
15/03/2012,16.71,0.012646962
14/03/2012,16.5,-0.046189382
13/03/2012,17.28,0.025792755
12/03/2012,16.84,-0.024634677
09/03/2012,17.26,-0.008078521
08/03/2012,17.4,0.052503948
07/03/2012,16.51,0.004248868
06/03/2012,16.44,-0.003036747
05/03/2012,16.49,-0.017433564
02/03/2012,16.78,0.005377963
01/03/2012,16.69,0.021193648
29/02/2012,16.34,-0.022391253
28/02/2012,16.71,-0.005966605
27/02/2012,16.81,-0.007113249
24/02/2012,16.93,-0.015240623
23/02/2012,17.19,0.003496507
22/02/2012,17.13,-0.005240187
21/02/2012,17.22,-0.014413625
17/02/2012,17.47,-0.017026518
16/02/2012,17.77,0.001126126
15/02/2012,17.75,0.005083321
14/02/2012,17.66,0.009672906
13/02/2012,17.49,0.004010318
10/02/2012,17.42,-0.025504358
09/02/2012,17.87,-0.020493655
08/02/2012,18.24,-0.013613061
07/02/2012,18.49,-0.027208934
06/02/2012,19,-0.012552466
03/02/2012,19.24,-0.017006336
02/02/2012,19.57,0.059475563
01/02/2012,18.44,-0.007563515
31/01/2012,18.58,0.030048696
30/01/2012,18.03,-0.006082407
27/01/2012,18.14,0.02681725
26/01/2012,17.66,-0.021289319
25/01/2012,18.04,0.005558658
24/01/2012,17.94,-0.002227172
23/01/2012,17.98,0.002784741
20/01/2012,17.93,0.021991301
19/01/2012,17.54,-0.040228888
18/01/2012,18.26,0.028890898
17/01/2012,17.74,-0.016769538
13/01/2012,18.04,-0.07833564
12/01/2012,19.51,0.006685548
11/01/2012,19.38,-0.00411947
10/01/2012,19.46,0.002057614
09/01/2012,19.42,-0.01279117
06/01/2012,19.67,-0.042792599
05/01/2012,20.53,0.011759077
04/01/2012,20.29,-0.048578919
03/01/2012,21.3,0.033415997
30/12/2011,20.6,-0.012542374
29/12/2011,20.86,0.015459245
28/12/2011,20.54,-0.02262431
27/12/2011,21.01,0.014381839
23/12/2011,20.71,0.019995789
22/12/2011,20.3,0
21/12/2011,20.3,-0.013212818
20/12/2011,20.57,0.035629697
19/12/2011,19.85,-0.018962644
16/12/2011,20.23,-0.033538988
15/12/2011,20.92,0.028116249
14/12/2011,20.34,-0.025244059
13/12/2011,20.86,-0.038556727
12/12/2011,21.68,-0.014197628
09/12/2011,21.99,0.023000094
08/12/2011,21.49,-0.04991962
07/12/2011,22.59,-0.02448745
06/12/2011,23.15,0.018309143
05/12/2011,22.73,-0.011808578
02/12/2011,23,-0.01424587
01/12/2011,23.33,0.006018935
30/11/2011,23.19,0.066869826
29/11/2011,21.69,-0.018273693
28/11/2011,22.09,0.058730762
25/11/2011,20.83,-0.00526695
23/11/2011,20.94,-0.042997277
22/11/2011,21.86,0.010577243
21/11/2011,21.63,-0.016506565
18/11/2011,21.99,-0.014895333
17/11/2011,22.32,-0.032616377
16/11/2011,23.06,-0.032006146
15/11/2011,23.81,0.00252313
14/11/2011,23.75,-0.006295928
11/11/2011,23.9,0.013903742
10/11/2011,23.57,0.023177003
09/11/2011,23.03,-0.051206447
08/11/2011,24.24,-0.01026071
07/11/2011,24.49,-0.028579124
04/11/2011,25.2,0.03308087
03/11/2011,24.38,0.037614129
02/11/2011,23.48,0.044413046
01/11/2011,22.46,-0.038861035
31/10/2011,23.35,-0.031614856
28/10/2011,24.1,-0.016461277
27/10/2011,24.5,0.004499905
26/10/2011,24.39,-0.003274665
25/10/2011,24.47,-0.019025063
24/10/2011,24.94,0.056074045
21/10/2011,23.58,0.007235614
20/10/2011,23.41,-0.008930529
19/10/2011,23.62,-0.036987387
18/10/2011,24.51,0.028135906
17/10/2011,23.83,-0.029359148
14/10/2011,24.54,0.029359148
13/10/2011,23.83,0.004205221
12/10/2011,23.73,0.009314208
11/10/2011,23.51,-0.003397031
10/10/2011,23.59,0.052655191
07/10/2011,22.38,-0.008010724
