Date,Close,ETFC
07/09/2011,11.59,0.035122135
06/09/2011,11.19,-0.018592833
02/09/2011,11.4,-0.058765309
01/09/2011,12.09,-0.022086787
31/08/2011,12.36,0.071249229
30/08/2011,11.51,0.007850019
29/08/2011,11.42,0.053969931
26/08/2011,10.82,0.014897855
25/08/2011,10.66,-0.020427823
24/08/2011,10.88,0.034599057
23/08/2011,10.51,0.039791761
22/08/2011,10.1,-0.030231459
19/08/2011,10.41,-0.042319432
18/08/2011,10.86,-0.077063348
17/08/2011,11.73,0.002560821
16/08/2011,11.7,-0.005965079
15/08/2011,11.77,0.032818144
12/08/2011,11.39,-0.025997998
11/08/2011,11.69,0.092235357
10/08/2011,10.66,-0.102448211
09/08/2011,11.81,0.077435328
08/08/2011,10.93,-0.141391546
05/08/2011,12.59,-0.043518911
04/08/2011,13.15,-0.120904479
03/08/2011,14.84,0.020422766
02/08/2011,14.54,-0.061352571
01/08/2011,15.46,-0.026804413
29/07/2011,15.88,0.011399743
28/07/2011,15.7,0.012820688
27/07/2011,15.5,-0.046637311
26/07/2011,16.24,-0.017094433
25/07/2011,16.52,0.054740033
22/07/2011,15.64,0.012870191
21/07/2011,15.44,0.047754431
20/07/2011,14.72,0.128111325
19/07/2011,12.95,0.036968425
18/07/2011,12.48,-0.033874842
15/07/2011,12.91,-0.003865486
14/07/2011,12.96,-0.017591276
13/07/2011,13.19,-0.004538586
12/07/2011,13.25,0.013678025
11/07/2011,13.07,-0.054349065
08/07/2011,13.8,-0.025752496
07/07/2011,14.16,0.014224991
06/07/2011,13.96,-0.020560809
05/07/2011,14.25,-0.013937508
01/07/2011,14.45,0.046025822
30/06/2011,13.8,-0.001448226
29/06/2011,13.82,0.007262196
28/06/2011,13.72,0.024346463
27/06/2011,13.39,0.000747105
24/06/2011,13.38,-0.012625493
23/06/2011,13.55,-0.011009286
22/06/2011,13.7,-0.021661497
21/06/2011,14,0.015839064
20/06/2011,13.78,0.004363643
17/06/2011,13.72,0.009520394
16/06/2011,13.59,0.004424786
15/06/2011,13.53,-0.038424444
14/06/2011,14.06,0.033264094
13/06/2011,13.6,-0.004402061
10/06/2011,13.66,-0.040880558
09/06/2011,14.23,0.01486753
08/06/2011,14.02,0.000713521
07/06/2011,14.01,-0.000713521
06/06/2011,14.02,-0.032973875
03/06/2011,14.49,-0.018462063
02/06/2011,14.76,-0.015462493
01/06/2011,14.99,-0.053259339
31/05/2011,15.81,0.006345199
27/05/2011,15.71,0.018632084
26/05/2011,15.42,0.00389864
25/05/2011,15.36,0.013106348
24/05/2011,15.16,-0.001318392
23/05/2011,15.18,-0.027292142
20/05/2011,15.6,-0.019048195
19/05/2011,15.9,0.000629129
18/05/2011,15.89,0.015858245
17/05/2011,15.64,-0.012706651
16/05/2011,15.84,-0.013793322
13/05/2011,16.06,-0.014833399
12/05/2011,16.3,-0.001838799
11/05/2011,16.33,-0.004277428
10/05/2011,16.4,0.016600443
09/05/2011,16.13,0.013104712
06/05/2011,15.92,0.003145646
05/05/2011,15.87,-0.010655068
04/05/2011,16.04,-0.023414502
03/05/2011,16.42,0.001828711
02/05/2011,16.39,0.009194058
29/04/2011,16.24,-0.000615574
28/04/2011,16.25,-0.003072199
27/04/2011,16.3,0.009245058
26/04/2011,16.15,-0.039458837
25/04/2011,16.8,0.019838342
21/04/2011,16.47,0.033964364
20/04/2011,15.92,0.011370937
19/04/2011,15.74,0.002544531
18/04/2011,15.7,-0.006981939
15/04/2011,15.81,0.008894595
14/04/2011,15.67,-0.00127551
13/04/2011,15.69,-0.006986373
12/04/2011,15.8,-0.005680041
11/04/2011,15.89,-0.007523546
08/04/2011,16.01,-0.000624415
07/04/2011,16.02,-0.013639393
06/04/2011,16.24,0.017391743
05/04/2011,15.96,0.006916092
04/04/2011,15.85,-0.005662173
01/04/2011,15.94,0.019639529
31/03/2011,15.63,0.011583141
30/03/2011,15.45,0.000647459
29/03/2011,15.44,-0.012870191
28/03/2011,15.64,-0.010178205
25/03/2011,15.8,-0.018809332
24/03/2011,16.1,0.00873368
23/03/2011,15.96,0.020253857
22/03/2011,15.64,0.010929071
21/03/2011,15.47,0.023545888
18/03/2011,15.11,0.016683737
17/03/2011,14.86,0
16/03/2011,14.86,-0.014032973
15/03/2011,15.07,-0.007931304
14/03/2011,15.19,-0.020202707
11/03/2011,15.5,0.00972455
10/03/2011,15.35,-0.027627841
09/03/2011,15.78,-0.002531647
08/03/2011,15.82,0.023665959
07/03/2011,15.45,-0.017960714
04/03/2011,15.73,-0.012634407
03/03/2011,15.93,0.022216083
02/03/2011,15.58,-0.003204104
01/03/2011,15.63,-0.022145796
28/02/2011,15.98,0.00564796
25/02/2011,15.89,0.00252048
24/02/2011,15.85,-0.049240716
23/02/2011,16.65,-0.016086138
22/02/2011,16.92,-0.046761766
18/02/2011,17.73,-0.00842465
17/02/2011,17.88,0
16/02/2011,17.88,0
15/02/2011,17.88,-0.003907345
14/02/2011,17.95,0.003348217
11/02/2011,17.89,0.01180784
10/02/2011,17.68,0.001131862
09/02/2011,17.66,-0.001697313
08/02/2011,17.69,0.007945558
07/02/2011,17.55,0.021890275
04/02/2011,17.17,0.007013471
03/02/2011,17.05,-0.008177616
02/02/2011,17.19,-0.000581564
01/02/2011,17.2,0.037919235
31/01/2011,16.56,0.012762252
28/01/2011,16.35,-0.023573168
27/01/2011,16.74,0.058424237
26/01/2011,15.79,0.016603191
25/01/2011,15.53,-0.014066728
24/01/2011,15.75,-0.010735815
21/01/2011,15.92,-0.008132669
20/01/2011,16.05,-0.001867414
19/01/2011,16.08,-0.028809838
18/01/2011,16.55,-0.009022618
14/01/2011,16.7,0.003599284
13/01/2011,16.64,0.010268891
12/01/2011,16.47,0.006701213
11/01/2011,16.36,-0.005486146
10/01/2011,16.45,0.006709388
07/01/2011,16.34,0.003678729
06/01/2011,16.28,-0.004901971
05/01/2011,16.36,-0.00061106
04/01/2011,16.37,0.005513031
03/01/2011,16.28,0.017348638
31/12/2010,16,0.005012542
30/12/2010,15.92,-0.003135782
29/12/2010,15.97,-0.012445711
28/12/2010,16.17,0.00558141
27/12/2010,16.08,0.007490672
23/12/2010,15.96,-0.004376375
22/12/2010,16.03,0
21/12/2010,16.03,0.031688329
20/12/2010,15.53,0.007108269
17/12/2010,15.42,0.020970624
16/12/2010,15.1,0.003981425
15/12/2010,15.04,-0.037198416
14/12/2010,15.61,-0.019664446
13/12/2010,15.92,-0.003135782
10/12/2010,15.97,-0.001251565
09/12/2010,15.99,0.010688565
08/12/2010,15.82,0.015928976
07/12/2010,15.57,-0.004485749
06/12/2010,15.64,0.003202052
03/12/2010,15.59,-0.003202052
02/12/2010,15.64,0.023286951
01/12/2010,15.28,0.035301701
30/11/2010,14.75,-0.01011813
29/11/2010,14.9,0.004034975
26/11/2010,14.84,-0.010723963
24/11/2010,15,0.020202707
23/11/2010,14.7,-0.022865825
22/11/2010,15.04,-0.007287213
19/11/2010,15.15,0.016639319
18/11/2010,14.9,0.01487519
17/11/2010,14.68,-0.005434796
16/11/2010,14.76,-0.018792499
15/11/2010,15.04,0.00399734
12/11/2010,14.98,-0.023095715
11/11/2010,15.33,0.003266909
10/11/2010,15.28,0.01649658
09/11/2010,15.03,-0.011247224
08/11/2010,15.2,-0.006557401
05/11/2010,15.3,0.023141529
04/11/2010,14.95,0.0395686
03/11/2010,14.37,-0.003473432
02/11/2010,14.42,0.016078641
01/11/2010,14.19,-0.007722046
29/10/2010,14.3,0.004204631
28/10/2010,14.24,0.000702494
27/10/2010,14.23,0.00776018
26/10/2010,14.12,0.00710735
25/10/2010,14.02,-0.001425517
22/10/2010,14.04,-0.007097262
21/10/2010,14.14,-0.042235422
20/10/2010,14.75,0.017784326
19/10/2010,14.49,-0.02049252
18/10/2010,14.79,0.008146685
15/10/2010,14.67,-0.010847564
14/10/2010,14.83,-0.015390066
13/10/2010,15.06,0.019444126
12/10/2010,14.77,-0.002704532
11/10/2010,14.81,0.000675448
08/10/2010,14.8,0.014290818
07/10/2010,14.59,-0.015641257
06/10/2010,14.82,-0.001348618
05/10/2010,14.84,0.025940021
04/10/2010,14.46,-0.02930363
01/10/2010,14.89,0.021725226
30/09/2010,14.57,0.004126553
29/09/2010,14.51,-0.01911321
28/09/2010,14.79,-0.035207888
27/09/2010,15.32,0.003269045
24/09/2010,15.27,0.048299126
23/09/2010,14.55,-0.003430535
22/09/2010,14.6,0.019364367
21/09/2010,14.32,-0.002789402
20/09/2010,14.36,0.025389234
17/09/2010,14,0
16/09/2010,14,-0.016295082
15/09/2010,14.23,-0.002106003
14/09/2010,14.26,-0.011850958
13/09/2010,14.43,0.016771882
10/09/2010,14.19,-0.010515344
09/09/2010,14.34,0.036212689
08/09/2010,13.83,-0.005048694
07/09/2010,13.9,-0.016411357
03/09/2010,14.13,0.03749538
02/09/2010,13.61,0.041250693
01/09/2010,13.06,0.051857651
31/08/2010,12.4,-0.004827041
30/08/2010,12.46,-0.030041785
27/08/2010,12.84,0.021252276
26/08/2010,12.57,-0.029010266
25/08/2010,12.94,0
24/08/2010,12.94,-0.039399035
23/08/2010,13.46,-0.011816977
20/08/2010,13.62,-0.028945581
19/08/2010,14.02,-0.029517252
18/08/2010,14.44,0.019581045
17/08/2010,14.16,0.026477396
16/08/2010,13.79,-0.011535816
13/08/2010,13.95,-0.001432665
12/08/2010,13.97,-0.006421713
11/08/2010,14.06,-0.051293294
10/08/2010,14.8,-0.034531984
09/08/2010,15.32,0.013140794
06/08/2010,15.12,-0.010526413
05/08/2010,15.28,-0.011711259
04/08/2010,15.46,0.041603887
03/08/2010,14.83,-0.01870462
02/08/2010,15.11,0.032282561
30/07/2010,14.63,0.013764842
29/07/2010,14.43,0.004862809
28/07/2010,14.36,0.004187026
27/07/2010,14.3,-0.01457853
26/07/2010,14.51,0.010391503
23/07/2010,14.36,0.072930179
22/07/2010,13.35,0.043634936
