Date,Close,DFS
29/07/2011,25.61,-0.006228124
28/07/2011,25.77,0.010140493
27/07/2011,25.51,-0.022098205
26/07/2011,26.08,-0.003444979
25/07/2011,26.17,0.007671691
22/07/2011,25.97,-0.019447705
21/07/2011,26.48,0.015988159
20/07/2011,26.06,0.009639558
19/07/2011,25.81,0.000387522
18/07/2011,25.8,0.014444912
15/07/2011,25.43,0.000393314
14/07/2011,25.42,-0.027930442
13/07/2011,26.14,-0.01178945
12/07/2011,26.45,-0.009407407
11/07/2011,26.7,-0.015607898
08/07/2011,27.12,-0.01464155
07/07/2011,27.52,0.017595762
06/07/2011,27.04,0.008542299
05/07/2011,26.81,0.009745205
01/07/2011,26.55,-0.007504726
30/06/2011,26.75,0.005247388
29/06/2011,26.61,0.017820377
28/06/2011,26.14,0.036225967
27/06/2011,25.21,0.016800395
24/06/2011,24.79,0.036980385
23/06/2011,23.89,0.012637068
22/06/2011,23.59,-0.018896216
21/06/2011,24.04,0.017625299
20/06/2011,23.62,0.022694187
17/06/2011,23.09,-0.007765354
16/06/2011,23.27,0.013847041
15/06/2011,22.95,-0.009971901
14/06/2011,23.18,0.022688582
13/06/2011,22.66,0.006197452
10/06/2011,22.52,-0.013233541
09/06/2011,22.82,0.007036089
08/06/2011,22.66,-0.005720588
07/06/2011,22.79,0.015922495
06/06/2011,22.43,-0.03375293
03/06/2011,23.2,-0.009011003
02/06/2011,23.41,-0.000853971
01/06/2011,23.43,-0.01734759
31/05/2011,23.84,0.002940561
27/05/2011,23.77,-0.001261299
26/05/2011,23.8,0.01055976
25/05/2011,23.55,0
24/05/2011,23.55,-0.036686065
23/05/2011,24.43,-0.019858809
20/05/2011,24.92,-0.030041785
19/05/2011,25.68,0.013723015
18/05/2011,25.33,0.002767347
17/05/2011,25.26,0.007550205
16/05/2011,25.07,0.033667751
13/05/2011,24.24,0.001651528
12/05/2011,24.2,0.000826788
11/05/2011,24.18,-0.016407259
10/05/2011,24.58,-0.00121976
09/05/2011,24.61,0.013088121
06/05/2011,24.29,0.011594333
05/05/2011,24.01,-0.001664586
04/05/2011,24.05,-0.028690492
03/05/2011,24.75,0.003237558
02/05/2011,24.67,-0.006867327
29/04/2011,24.84,0.006867327
28/04/2011,24.67,0.006914813
27/04/2011,24.5,-0.009748249
26/04/2011,24.74,0.009748249
25/04/2011,24.5,-0.01055633
21/04/2011,24.76,-0.006441246
20/04/2011,24.92,0.022317826
19/04/2011,24.37,0.02156865
18/04/2011,23.85,-0.017868749
15/04/2011,24.28,0.013684642
14/04/2011,23.95,-0.011623211
13/04/2011,24.23,0.007040824
12/04/2011,24.06,-0.002490661
11/04/2011,24.12,0.011257155
08/04/2011,23.85,-0.007934892
07/04/2011,24.04,-0.015683359
06/04/2011,24.42,-0.007343974
05/04/2011,24.6,-0.001624696
04/04/2011,24.64,0.020086759
01/04/2011,24.15,0.001243008
31/03/2011,24.12,-0.035034133
30/03/2011,24.98,0.019810634
29/03/2011,24.49,0.005322428
28/03/2011,24.36,0.014888612
25/03/2011,24,0.005850414
24/03/2011,23.86,0.017759452
23/03/2011,23.44,0.052101956
22/03/2011,22.25,-0.017376245
21/03/2011,22.64,0.0286758
18/03/2011,22,0.017423641
17/03/2011,21.62,0.021033727
16/03/2011,21.17,-0.026108709
15/03/2011,21.73,-0.008705668
14/03/2011,21.92,0.004114292
11/03/2011,21.83,0.00597291
10/03/2011,21.7,-0.008717651
09/03/2011,21.89,-0.01721057
08/03/2011,22.27,0.03332881
07/03/2011,21.54,-0.003244499
