Date,Close,BK
22/02/2012,21.84,-0.014545711
21/02/2012,22.16,0.006791966
17/02/2012,22.01,0.001363947
16/02/2012,21.98,0.034717673
15/02/2012,21.23,0.010416761
14/02/2012,21.01,-0.016521499
13/02/2012,21.36,-0.002805051
10/02/2012,21.42,-0.016667052
09/02/2012,21.78,-0.006407345
08/02/2012,21.92,0.010548137
07/02/2012,21.69,-0.011915815
06/02/2012,21.95,0.000455685
03/02/2012,21.94,0.030073976
02/02/2012,21.29,0.035863274
01/02/2012,20.54,0.020162965
31/01/2012,20.13,0.005479466
30/01/2012,20.02,-0.010434877
27/01/2012,20.23,0.011434378
26/01/2012,20,-0.02810143
25/01/2012,20.57,-0.032052493
24/01/2012,21.24,-0.018657258
23/01/2012,21.64,0.01677579
20/01/2012,21.28,0.017540151
19/01/2012,20.91,0.029606627
18/01/2012,20.3,-0.046676743
17/01/2012,21.27,-0.008427016
13/01/2012,21.45,-0.014348777
12/01/2012,21.76,0.012020487
11/01/2012,21.5,0.009345862
10/01/2012,21.3,0.01991531
09/01/2012,20.88,0.020808881
06/01/2012,20.45,-0.014563364
05/01/2012,20.75,0.008226516
04/01/2012,20.58,0.003407158
03/01/2012,20.51,0.029690454
30/12/2011,19.91,-0.008004045
29/12/2011,20.07,0.024717526
28/12/2011,19.58,-0.020223136
27/12/2011,19.98,-0.004992522
23/12/2011,20.08,0.004992522
22/12/2011,19.98,0.021756487
21/12/2011,19.55,-0.001533351
20/12/2011,19.58,0.051884835
19/12/2011,18.59,-0.028111106
16/12/2011,19.12,0.015814773
15/12/2011,18.82,0.012834401
14/12/2011,18.58,-0.006972407
13/12/2011,18.71,-0.015907016
12/12/2011,19.01,-0.03056441
09/12/2011,19.6,0.027937668
08/12/2011,19.06,-0.049639251
07/12/2011,20.03,0.007014057
06/12/2011,19.89,0.003525564
05/12/2011,19.82,0.027104702
02/12/2011,19.29,0.009898492
01/12/2011,19.1,-0.018672742
30/11/2011,19.46,0.073554722
29/11/2011,18.08,-0.000552944
28/11/2011,18.09,0.02179466
25/11/2011,17.7,-0.005633818
23/11/2011,17.8,-0.012283795
22/11/2011,18.02,-0.021954779
21/11/2011,18.42,-0.026782533
18/11/2011,18.92,-0.001056524
17/11/2011,18.94,-0.036292215
16/11/2011,19.64,-0.037476282
15/11/2011,20.39,-0.007816356
14/11/2011,20.55,-0.045657002
11/11/2011,21.51,0.037418526
10/11/2011,20.72,0.020478531
09/11/2011,20.3,-0.077234676
08/11/2011,21.93,0.03102819
07/11/2011,21.26,0.012781239
04/11/2011,20.99,-0.016068399
03/11/2011,21.33,0.018930996
02/11/2011,20.93,0.034511323
01/11/2011,20.22,-0.051095451
31/10/2011,21.28,-0.051739623
28/10/2011,22.41,0.000892857
27/10/2011,22.39,0.065998571
26/10/2011,20.96,0.010551657
25/10/2011,20.74,-0.02476317
24/10/2011,21.26,0.026693673
21/10/2011,20.7,0.023956169
20/10/2011,20.21,0.033713885
19/10/2011,19.54,-0.011701991
18/10/2011,19.77,0.073446738
17/10/2011,18.37,-0.032139885
14/10/2011,18.97,0.006876515
13/10/2011,18.84,-0.025676024
12/10/2011,19.33,0.022496371
11/10/2011,18.9,0.002649008
10/10/2011,18.85,0.055630482
07/10/2011,17.83,-0.028202035
