Date,Close,HOG
19/03/2012,49.5,0.002224695
16/03/2012,49.39,0.001215559
15/03/2012,49.33,-0.008679033
14/03/2012,49.76,0.008071069
13/03/2012,49.36,0.025650324
12/03/2012,48.11,0.02589891
09/03/2012,46.88,0.019602135
08/03/2012,45.97,0.008081293
07/03/2012,45.6,0.010582109
06/03/2012,45.12,-0.029696505
05/03/2012,46.48,-0.008142321
02/03/2012,46.86,-0.008499839
01/03/2012,47.26,0.014493007
29/02/2012,46.58,-0.004284497
28/02/2012,46.78,-0.006180094
27/02/2012,47.07,0.000637552
24/02/2012,47.04,-0.003819228
23/02/2012,47.22,0.008934329
22/02/2012,46.8,0.022254348
21/02/2012,45.77,-0.006098908
17/02/2012,46.05,0.013334988
16/02/2012,45.44,-0.003953442
15/02/2012,45.62,-0.019106096
14/02/2012,46.5,0.000645369
13/02/2012,46.47,0.008210936
10/02/2012,46.09,-0.010145797
09/02/2012,46.56,0.004304785
08/02/2012,46.36,0.00975406
07/02/2012,45.91,0.012934522
06/02/2012,45.32,-0.01728141
03/02/2012,46.11,0.0319516
02/02/2012,44.66,0.004938282
01/02/2012,44.44,0.005641446
31/01/2012,44.19,0.006356435
30/01/2012,43.91,-0.00974512
27/01/2012,44.34,-0.00472495
26/01/2012,44.55,-0.005372746
25/01/2012,44.79,0.033370478
24/01/2012,43.32,0.034044842
23/01/2012,41.87,-0.002147203
20/01/2012,41.96,-0.002142603
19/01/2012,42.05,0.003812251
18/01/2012,41.89,0.011283279
17/01/2012,41.42,-0.014619793
13/01/2012,42.03,0.030927809
12/01/2012,40.75,0.021330174
11/01/2012,39.89,-0.010969943
10/01/2012,40.33,0.024599634
09/01/2012,39.35,-0.005827965
06/01/2012,39.58,-0.007801726
05/01/2012,39.89,0.005782543
04/01/2012,39.66,0.008355537
03/01/2012,39.33,0.011764842
30/12/2011,38.87,0.003091989
29/12/2011,38.75,0.01429524
28/12/2011,38.2,-0.013262449
27/12/2011,38.71,-0.012323648
23/12/2011,39.19,0.02010377
22/12/2011,38.41,0.013894574
21/12/2011,37.88,0.008217409
20/12/2011,37.57,0.032461601
19/12/2011,36.37,-0.008759979
16/12/2011,36.69,-0.015147706
15/12/2011,37.25,0.019518104
14/12/2011,36.53,-0.002460698
13/12/2011,36.62,-0.039094671
12/12/2011,38.08,-0.014598799
09/12/2011,38.64,0.025689486
08/12/2011,37.66,-0.022319425
07/12/2011,38.51,0.007820686
06/12/2011,38.21,-0.010414049
05/12/2011,38.61,0.021202208
02/12/2011,37.8,0.017614547
01/12/2011,37.14,0.010012261
30/11/2011,36.77,0.053916143
29/11/2011,34.84,-0.018766544
28/11/2011,35.5,0.01991531
25/11/2011,34.8,0.006052764
23/11/2011,34.59,-0.01634445
22/11/2011,35.16,-0.01074975
21/11/2011,35.54,-0.02226024
18/11/2011,36.34,-0.000550206
17/11/2011,36.36,-0.066753476
16/11/2011,38.87,-0.03040518
15/11/2011,40.07,0.01762382
14/11/2011,39.37,-0.00279011
11/11/2011,39.48,0.0477269
10/11/2011,37.64,0.00026571
09/11/2011,37.63,-0.04799261
08/11/2011,39.48,0.014029053
07/11/2011,38.93,-0.001540041
04/11/2011,38.99,-0.008428092
03/11/2011,39.32,0.011767851
02/11/2011,38.86,0.022116161
01/11/2011,38.01,-0.023144968
31/10/2011,38.9,-0.019348872
28/10/2011,39.66,-0.006784798
27/10/2011,39.93,0.039330912
26/10/2011,38.39,0.013109784
25/10/2011,37.89,-0.031435242
24/10/2011,39.1,0.039118417
21/10/2011,37.6,0.064254873
20/10/2011,35.26,0.025565086
19/10/2011,34.37,-0.006380532
18/10/2011,34.59,-0.073012919
17/10/2011,37.21,-0.0175817
14/10/2011,37.87,0.038766631
13/10/2011,36.43,-0.007111627
12/10/2011,36.69,0.030158601
11/10/2011,35.6,0.023303129
10/10/2011,34.78,0.038094263
07/10/2011,33.48,-0.050097837
06/10/2011,35.2,0.013154322
05/10/2011,34.74,0.00809253
04/10/2011,34.46,0.020226397
03/10/2011,33.77,-0.016446773
30/09/2011,34.33,-0.050827121
29/09/2011,36.12,0.011415967
28/09/2011,35.71,-0.013075718
27/09/2011,36.18,0.033158418
26/09/2011,35,0.032228076
23/09/2011,33.89,0.003843316
22/09/2011,33.76,-0.044039561
21/09/2011,35.28,-0.039188007
20/09/2011,36.69,-0.010843153
19/09/2011,37.09,-0.010993541
16/09/2011,37.5,-0.003460672
15/09/2011,37.63,0.0313116
14/09/2011,36.47,0.020219495
13/09/2011,35.74,0.02493047
12/09/2011,34.86,0.006619682
09/09/2011,34.63,-0.045994847
08/09/2011,36.26,-0.009606222
07/09/2011,36.61,0.040696809
06/09/2011,35.15,-0.02389432
02/09/2011,36,-0.043751034
01/09/2011,37.61,-0.027535501
31/08/2011,38.66,0.027801423
30/08/2011,37.6,0.003730353
29/08/2011,37.46,0.061091896
26/08/2011,35.24,0.031419215
25/08/2011,34.15,-0.018279923
24/08/2011,34.78,0.016816865
23/08/2011,34.2,0.063369614
22/08/2011,32.1,-0.000311478
19/08/2011,32.11,-0.048627021
18/08/2011,33.71,-0.094743692
17/08/2011,37.06,-0.009399828
16/08/2011,37.41,-0.020897467
15/08/2011,38.2,0.016097458
12/08/2011,37.59,0.006672919
11/08/2011,37.34,0.0477195
10/08/2011,35.6,-0.047183738
09/08/2011,37.32,0.054230984
08/08/2011,35.35,-0.100568287
05/08/2011,39.09,-0.001533743
04/08/2011,39.15,-0.070507263
03/08/2011,42.01,0.006687391
02/08/2011,41.73,-0.019929485
01/08/2011,42.57,-0.01907922
29/07/2011,43.39,-0.001611975
28/07/2011,43.46,-0.010756483
27/07/2011,43.93,-0.035334624
26/07/2011,45.51,-0.00438501
25/07/2011,45.71,-0.004365866
22/07/2011,45.91,0.005460317
21/07/2011,45.66,0.014782398
20/07/2011,44.99,-0.002663709
19/07/2011,45.11,0.085581554
18/07/2011,41.41,-0.010330422
15/07/2011,41.84,0.00095648
14/07/2011,41.8,-0.008101069
13/07/2011,42.14,0.011936165
12/07/2011,41.64,-0.007893834
11/07/2011,41.97,-0.022848715
08/07/2011,42.94,-0.003487159
07/07/2011,43.09,0.017558686
06/07/2011,42.34,-0.011973379
05/07/2011,42.85,0.017895462
01/07/2011,42.09,0.026970091
30/06/2011,40.97,0.0388205
29/06/2011,39.41,0.007897124
28/06/2011,39.1,0.019628729
27/06/2011,38.34,0.007067167
24/06/2011,38.07,-0.002885248
23/06/2011,38.18,0.016105959
22/06/2011,37.57,-0.009272818
21/06/2011,37.92,0.025101451
20/06/2011,36.98,0.006511146
17/06/2011,36.74,0.017296244
16/06/2011,36.11,0.008063439
15/06/2011,35.82,-0.013035825
14/06/2011,36.29,0.041350287
13/06/2011,34.82,-0.016519886
10/06/2011,35.4,-0.027032439
09/06/2011,36.37,0.012728451
08/06/2011,35.91,-0.018212424
07/06/2011,36.57,-0.00789872
06/06/2011,36.86,0.027225661
03/06/2011,35.87,-0.015765781
02/06/2011,36.44,0.012703844
01/06/2011,35.98,-0.032269685
31/05/2011,37.16,0.008105962
27/05/2011,36.86,0.007351973
26/05/2011,36.59,0.009611498
25/05/2011,36.24,0.000828157
24/05/2011,36.21,-0.004133946
23/05/2011,36.36,-0.005485477
20/05/2011,36.56,-0.016278167
19/05/2011,37.16,-0.001075847
18/05/2011,37.2,0.009996031
17/05/2011,36.83,-0.010533521
16/05/2011,37.22,-0.023892828
13/05/2011,38.12,-0.000262295
12/05/2011,38.13,0.009221512
11/05/2011,37.78,-0.018878379
10/05/2011,38.5,0.024186247
09/05/2011,37.58,-0.005307868
06/05/2011,37.78,0.021132256
05/05/2011,36.99,0.005965311
04/05/2011,36.77,-0.0070461
03/05/2011,37.03,-0.0179317
02/05/2011,37.7,0.011739729
29/04/2011,37.26,0
28/04/2011,37.26,-0.014653253
27/04/2011,37.81,0.001323277
26/04/2011,37.76,0.005576963
25/04/2011,37.55,-0.016114468
21/04/2011,38.16,0.007628605
20/04/2011,37.87,0.006889269
19/04/2011,37.61,-0.054333073
18/04/2011,39.71,-0.020932735
15/04/2011,40.55,0.001974822
14/04/2011,40.47,0.007938518
13/04/2011,40.15,0.017081551
12/04/2011,39.47,0.003553303
11/04/2011,39.33,-0.00583092
08/04/2011,39.56,-0.015799702
07/04/2011,40.19,-0.005706504
06/04/2011,40.42,-0.032374739
05/04/2011,41.75,-0.004063589
04/04/2011,41.92,-0.005471644
01/04/2011,42.15,-0.00803407
31/03/2011,42.49,0.004481668
30/03/2011,42.3,0.022231106
29/03/2011,41.37,0.020266839
28/03/2011,40.54,-0.01030684
25/03/2011,40.96,0.020222637
24/03/2011,40.14,0.000997009
23/03/2011,40.1,0.00500001
22/03/2011,39.9,-0.026463768
21/03/2011,40.97,0.016736792
18/03/2011,40.29,0.001738915
17/03/2011,40.22,0.0022402
16/03/2011,40.13,-0.017782637
15/03/2011,40.85,0.000489716
14/03/2011,40.83,-0.003178875
11/03/2011,40.96,0.021718524
10/03/2011,40.08,-0.023182296
09/03/2011,41.02,-0.014521068
08/03/2011,41.62,0.021124981
07/03/2011,40.75,0.024845999
04/03/2011,39.75,-0.015724772
03/03/2011,40.38,0.011958289
02/03/2011,39.9,0.01566084
01/03/2011,39.28,-0.038456674
28/02/2011,40.82,-0.00122414
25/02/2011,40.87,0.004168205
24/02/2011,40.7,-0.002208861
23/02/2011,40.79,-0.004159027
22/02/2011,40.96,-0.027926707
18/02/2011,42.12,-0.006861496
17/02/2011,42.41,-0.004939443
16/02/2011,42.62,0.002349073
15/02/2011,42.52,-0.003755873
14/02/2011,42.68,-0.010024562
11/02/2011,43.11,0.027276556
10/02/2011,41.95,0.014889804
09/02/2011,41.33,0.005094007
08/02/2011,41.12,-0.003641223
07/02/2011,41.27,0.003884443
04/02/2011,41.11,0.015690442
03/02/2011,40.47,0.007440511
02/02/2011,40.17,-0.008428409
01/02/2011,40.51,0.021457909
31/01/2011,39.65,0.007086843
28/01/2011,39.37,-0.022850963
27/01/2011,40.28,0.023104996
26/01/2011,39.36,-0.001776876
25/01/2011,39.43,0.077488697
24/01/2011,36.49,0.013797128
21/01/2011,35.99,0.001112038
20/01/2011,35.95,-0.000834144
19/01/2011,35.98,-0.020358337
18/01/2011,36.72,-0.00732604
14/01/2011,36.99,0.002165089
13/01/2011,36.91,0.003528298
12/01/2011,36.78,0.013136478
11/01/2011,36.3,-0.005220509
10/01/2011,36.49,-0.00027401
07/01/2011,36.5,0.006045635
06/01/2011,36.28,0.00055142
05/01/2011,36.26,0.039375165
04/01/2011,34.86,-0.002292265
03/01/2011,34.94,0.007757545
31/12/2010,34.67,0.001732102
30/12/2010,34.61,-0.008057598
29/12/2010,34.89,0.007768705
28/12/2010,34.62,0.001734606
27/12/2010,34.56,-0.001734606
23/12/2010,34.62,-0.011202185
22/12/2010,35.01,-0.004844004
21/12/2010,35.18,0.023002739
20/12/2010,34.38,-0.003484324
17/12/2010,34.5,0.007856871
16/12/2010,34.23,0.008802874
15/12/2010,33.93,0.00798939
14/12/2010,33.66,0.007454932
13/12/2010,33.41,-0.008345801
10/12/2010,33.69,0.005357156
09/12/2010,33.51,-0.006247231
08/12/2010,33.72,0.00386273
07/12/2010,33.59,0.00507388
06/12/2010,33.42,0.005099756
03/12/2010,33.25,0.006033201
02/12/2010,33.05,0.024193494
01/12/2010,32.26,0.030849157
30/11/2010,31.28,-0.005737982
29/11/2010,31.46,0.004140793
26/11/2010,31.33,-0.014890185
24/11/2010,31.8,0.020973123
23/11/2010,31.14,-0.014030842
22/11/2010,31.58,-0.010082001
19/11/2010,31.9,0.005028295
18/11/2010,31.74,0.019727016
17/11/2010,31.12,0.011635555
16/11/2010,30.76,-0.022819566
15/11/2010,31.47,-0.00728197
12/11/2010,31.7,-0.019678911
11/11/2010,32.33,0.001547748
10/11/2010,32.28,0.016555118
09/11/2010,31.75,-0.020882791
08/11/2010,32.42,-0.036643009
05/11/2010,33.63,0.006862626
04/11/2010,33.4,0.04563646
03/11/2010,31.91,0.016111547
02/11/2010,31.4,0.02548114
01/11/2010,30.61,-0.00163212
29/10/2010,30.66,0.007858587
28/10/2010,30.42,-0.016949558
27/10/2010,30.94,-0.016984866
26/10/2010,31.47,0
25/10/2010,31.47,0.00477784
22/10/2010,31.32,-0.000638366
21/10/2010,31.34,0.012522238
20/10/2010,30.95,0.021225287
19/10/2010,30.3,-0.069784637
18/10/2010,32.49,0.005865119
15/10/2010,32.3,0.009956523
14/10/2010,31.98,-0.011503314
13/10/2010,32.35,0.018721296
12/10/2010,31.75,0.004102894
11/10/2010,31.62,-0.002211342
