Date,Close,NE
01/12/2011,34.73,0.005775355
30/11/2011,34.53,0.011651748
29/11/2011,34.13,0.007647096
28/11/2011,33.87,0.042521105
25/11/2011,32.46,-0.007366516
23/11/2011,32.7,-0.054163788
22/11/2011,34.52,-0.005488964
21/11/2011,34.71,-0.010318234
18/11/2011,35.07,-0.001709402
17/11/2011,35.13,-0.043176181
16/11/2011,36.68,-0.016225342
15/11/2011,37.28,0.004570515
14/11/2011,37.11,-0.012851583
11/11/2011,37.59,0.022055762
10/11/2011,36.77,0.023388052
09/11/2011,35.92,-0.067283914
08/11/2011,38.42,0.013627045
07/11/2011,37.9,0.002906595
04/11/2011,37.79,-0.007119345
03/11/2011,38.06,0.058148054
02/11/2011,35.91,0.014021542
01/11/2011,35.41,-0.014856615
31/10/2011,35.94,-0.043822497
28/10/2011,37.55,0.010978822
27/10/2011,37.14,0.039824018
26/10/2011,35.69,0.021238233
25/10/2011,34.94,-0.015618662
24/10/2011,35.49,0.021071395
21/10/2011,34.75,0.038127785
20/10/2011,33.45,0.051529338
19/10/2011,31.77,-0.019635975
18/10/2011,32.4,0.037419867
17/10/2011,31.21,-0.008613867
14/10/2011,31.48,0.025741447
13/10/2011,30.68,0.003591841
12/10/2011,30.57,0.002292452
11/10/2011,30.5,-0.011734163
10/10/2011,30.86,0.043038751
07/10/2011,29.56,-0.014775286
06/10/2011,30,0.038394388
05/10/2011,28.87,-0.003802943
04/10/2011,28.98,0.013898764
03/10/2011,28.58,-0.026585374
30/09/2011,29.35,-0.033833406
29/09/2011,30.36,0.005284028
28/09/2011,30.2,-0.054450557
27/09/2011,31.89,-0.009052661
26/09/2011,32.18,0.029645817
23/09/2011,31.24,0.021353124
22/09/2011,30.58,-0.088509056
21/09/2011,33.41,-0.032104068
20/09/2011,34.5,-0.004338402
19/09/2011,34.65,-0.020566278
16/09/2011,35.37,0.011945535
15/09/2011,34.95,0.015571249
14/09/2011,34.41,0.011398633
13/09/2011,34.02,0.004123717
12/09/2011,33.88,0.001181335
09/09/2011,33.84,-0.024807926
08/09/2011,34.69,0.000288309
07/09/2011,34.68,0.070786372
06/09/2011,32.31,-0.010774308
02/09/2011,32.66,-0.035196895
01/09/2011,33.83,0.002071313
31/08/2011,33.76,0.008925974
30/08/2011,33.46,0.026345203
29/08/2011,32.59,0.025168332
26/08/2011,31.78,0.051989108
25/08/2011,30.17,0.009658693
24/08/2011,29.88,-0.002006019
23/08/2011,29.94,0.023657744
22/08/2011,29.24,-0.014261702
19/08/2011,29.66,-0.012397545
18/08/2011,30.03,-0.056640279
17/08/2011,31.78,0.007263572
16/08/2011,31.55,-0.024112645
15/08/2011,32.32,0.032068136
12/08/2011,31.3,0.010599104
11/08/2011,30.97,0.04625866
10/08/2011,29.57,-0.020419119
09/08/2011,30.18,0.086469323
08/08/2011,27.68,-0.117461854
05/08/2011,31.13,-0.015934053
04/08/2011,31.63,-0.104379953
03/08/2011,35.11,-0.015543622
02/08/2011,35.66,-0.03309734
01/08/2011,36.86,-0.00027126
29/07/2011,36.87,0.002987915
28/07/2011,36.76,-0.005425949
27/07/2011,36.96,-0.020089064
26/07/2011,37.71,-0.000265146
25/07/2011,37.72,-0.009236113
22/07/2011,38.07,0.009501259
21/07/2011,37.71,0.002123707
20/07/2011,37.63,0.007736466
19/07/2011,37.34,0.016471278
18/07/2011,36.73,-0.017809429
15/07/2011,37.39,0.03538747
14/07/2011,36.09,-0.009102256
13/07/2011,36.42,0.007717789
12/07/2011,36.14,-0.015648912
11/07/2011,36.71,-0.017015941
08/07/2011,37.34,-0.009329669
07/07/2011,37.69,-0.017359721
06/07/2011,38.35,-0.03459666
05/07/2011,39.7,0.000755953
01/07/2011,39.67,0.006575643
30/06/2011,39.41,0.014054147
29/06/2011,38.86,0.004642773
28/06/2011,38.68,0.025397359
27/06/2011,37.71,0
24/06/2011,37.71,-0.010288971
23/06/2011,38.1,-0.018463663
22/06/2011,38.81,0.006203173
21/06/2011,38.57,0.027867208
20/06/2011,37.51,-0.002396486
17/06/2011,37.6,-0.001594473
16/06/2011,37.66,-0.003181339
15/06/2011,37.78,-0.013147705
14/06/2011,38.28,0.006026482
13/06/2011,38.05,-0.015128092
10/06/2011,38.63,-0.024799942
09/06/2011,39.6,0.000505178
08/06/2011,39.58,0.003289893
07/06/2011,39.45,-0.001772826
06/06/2011,39.52,-0.031139644
03/06/2011,40.77,0.008621805
02/06/2011,40.42,-0.002717729
01/06/2011,40.53,-0.032527139
31/05/2011,41.87,0.007672059
27/05/2011,41.55,-0.004322773
26/05/2011,41.73,0.001438849
25/05/2011,41.67,0.00674214
24/05/2011,41.39,0.018286502
23/05/2011,40.64,-0.008819263
20/05/2011,41,-0.000487686
19/05/2011,41.02,0.013498794
18/05/2011,40.47,0.019713676
17/05/2011,39.68,0.000756334
16/05/2011,39.65,0.001514387
13/05/2011,39.59,0.000505306
12/05/2011,39.57,-0.005795657
11/05/2011,39.8,-0.036268931
10/05/2011,41.27,0.011208694
09/05/2011,40.81,0.033639649
06/05/2011,39.46,-0.004551209
05/05/2011,39.64,-0.017256899
04/05/2011,40.33,-0.017938803
03/05/2011,41.06,-0.024062759
02/05/2011,42.06,-0.022335477
29/04/2011,43.01,0.022811101
28/04/2011,42.04,-0.005692615
27/04/2011,42.28,0.004503978
26/04/2011,42.09,0.000475285
25/04/2011,42.07,-0.02000302
21/04/2011,42.92,-0.011812529
20/04/2011,43.43,0.019530963
19/04/2011,42.59,0.012046916
18/04/2011,42.08,-0.016264354
15/04/2011,42.77,0.000935673
14/04/2011,42.73,-0.014405454
13/04/2011,43.35,0.002772005
12/04/2011,43.23,-0.044783603
11/04/2011,45.21,-0.008589415
08/04/2011,45.6,0.01368977
07/04/2011,44.98,-0.000444543
06/04/2011,45,-0.023065273
05/04/2011,46.05,-0.001085187
04/04/2011,46.1,0.017726692
01/04/2011,45.29,-0.007259959
31/03/2011,45.62,-0.010900479
30/03/2011,46.12,0.014193928
29/03/2011,45.47,0.015514496
28/03/2011,44.77,-0.008230499
25/03/2011,45.14,0.007560632
24/03/2011,44.8,-0.000446329
23/03/2011,44.82,-0.013958352
22/03/2011,45.45,0.002202644
21/03/2011,45.35,0.045564941
18/03/2011,43.33,-0.006441246
17/03/2011,43.61,0.025547139
16/03/2011,42.51,-0.035358969
15/03/2011,44.04,-0.002494615
14/03/2011,44.15,0.001133145
11/03/2011,44.1,0.030155352
10/03/2011,42.79,-0.029020922
09/03/2011,44.05,-0.003173167
08/03/2011,44.19,-0.010803616
07/03/2011,44.67,-0.003798463
04/03/2011,44.84,-0.017245619
03/03/2011,45.62,0.015463087
02/03/2011,44.92,0.029138143
01/03/2011,43.63,-0.024452203
28/02/2011,44.71,0.011698671
25/02/2011,44.19,0.014588816
24/02/2011,43.55,0.021116923
23/02/2011,42.64,0.024211959
22/02/2011,41.62,-0.010754077
18/02/2011,42.07,0.017746269
17/02/2011,41.33,0.033959956
16/02/2011,39.95,0.017932038
15/02/2011,39.24,-0.024170361
14/02/2011,40.2,0.032615709
11/02/2011,38.91,0.011632547
10/02/2011,38.46,0.029018127
09/02/2011,37.36,-0.013030367
