Date,Close,PVH
31/05/2011,65.97,-0.009204139
27/05/2011,66.58,0.005874838
26/05/2011,66.19,0.0444861
25/05/2011,63.31,-0.025266472
24/05/2011,64.93,-0.001077503
23/05/2011,65,-0.011776537
20/05/2011,65.77,-0.049390923
19/05/2011,69.1,0.015752951
18/05/2011,68.02,0.010790142
17/05/2011,67.29,-0.01372614
16/05/2011,68.22,-0.023612309
13/05/2011,69.85,-0.007701122
12/05/2011,70.39,0.016472477
11/05/2011,69.24,-0.010201971
10/05/2011,69.95,0.013094654
09/05/2011,69.04,0.022114103
06/05/2011,67.53,-0.030479939
05/05/2011,69.62,0.026489687
04/05/2011,67.8,0.002067032
03/05/2011,67.66,-0.025391704
02/05/2011,69.4,-0.014448431
29/04/2011,70.41,-0.015921435
28/04/2011,71.54,0
27/04/2011,71.54,0.033834073
26/04/2011,69.16,-0.00389639
25/04/2011,69.43,0.007953191
21/04/2011,68.88,0.001016777
20/04/2011,68.81,0.037762686
19/04/2011,66.26,0.004537899
18/04/2011,65.96,-0.006648559
15/04/2011,66.4,-0.00315766
14/04/2011,66.61,0.007232215
13/04/2011,66.13,0.004243073
12/04/2011,65.85,0.012992158
11/04/2011,65,0.014254967
08/04/2011,64.08,-0.013793322
07/04/2011,64.97,-0.004147153
06/04/2011,65.24,-0.012944672
05/04/2011,66.09,0.010036581
04/04/2011,65.43,-0.011397434
01/04/2011,66.18,0.017529601
31/03/2011,65.03,0.007873449
30/03/2011,64.52,-0.010484216
29/03/2011,65.2,0.08028558
28/03/2011,60.17,-0.003815216
25/03/2011,60.4,0.022096647
24/03/2011,59.08,0.029545261
23/03/2011,57.36,0.014575726
22/03/2011,56.53,-0.01090792
21/03/2011,57.15,0.007552508
18/03/2011,56.72,-0.046672267
17/03/2011,59.43,-0.008711732
16/03/2011,59.95,-0.007147043
15/03/2011,60.38,-0.011035276
14/03/2011,61.05,-0.026349217
11/03/2011,62.68,0.020144102
10/03/2011,61.43,-0.022375179
09/03/2011,62.82,0.027107178
08/03/2011,61.14,0.011018942
07/03/2011,60.47,-0.013795587
04/03/2011,61.31,-0.000326158
03/03/2011,61.33,0.035685473
02/03/2011,59.18,0.001691189
01/03/2011,59.08,-0.015618757
28/02/2011,60.01,-0.004157319
25/02/2011,60.26,0.013028412
24/02/2011,59.48,0.010478379
23/02/2011,58.86,-0.006772799
22/02/2011,59.26,0.010346967
18/02/2011,58.65,-0.004762724
17/02/2011,58.93,-0.020158586
16/02/2011,60.13,-0.016657431
15/02/2011,61.14,-0.01106062
14/02/2011,61.82,-0.003229977
11/02/2011,62.02,-0.00177205
10/02/2011,62.13,-0.004816965
09/02/2011,62.43,-0.012574778
08/02/2011,63.22,0.007143454
07/02/2011,62.77,0.019464943
04/02/2011,61.56,0.04366201
03/02/2011,58.93,0.019534549
02/02/2011,57.79,-0.018345992
01/02/2011,58.86,0.008359684
31/01/2011,58.37,0.005497351
28/01/2011,58.05,-0.026350866
27/01/2011,59.6,0.000335627
26/01/2011,59.58,0.017268078
25/01/2011,58.56,-0.000682827
24/01/2011,58.6,0.030670341
21/01/2011,56.83,-0.022101309
20/01/2011,58.1,-0.009762859
19/01/2011,58.67,-0.015559252
18/01/2011,59.59,-0.015816529
14/01/2011,60.54,0.00330907
13/01/2011,60.34,0.00099486
12/01/2011,60.28,0.005656312
11/01/2011,59.94,-0.030397477
10/01/2011,61.79,0.047560947
07/01/2011,58.92,-0.036822152
06/01/2011,61.13,-0.024720541
05/01/2011,62.66,0.017548547
04/01/2011,61.57,-0.027078479
03/01/2011,63.26,0.003959774
31/12/2010,63.01,-0.013086509
30/12/2010,63.84,0.004867718
29/12/2010,63.53,-0.001258455
28/12/2010,63.61,-0.020385052
27/12/2010,64.92,-0.010267503
23/12/2010,65.59,-0.005473634
22/12/2010,65.95,-0.02159976
21/12/2010,67.39,0.006699943
20/12/2010,66.94,-0.009663347
17/12/2010,67.59,0.014004996
16/12/2010,66.65,0.01526978
15/12/2010,65.64,-0.012866294
14/12/2010,66.49,-0.024366084
13/12/2010,68.13,-0.015294159
10/12/2010,69.18,0
09/12/2010,69.18,0.009148398
08/12/2010,68.55,-0.003640339
07/12/2010,68.8,-0.008394897
06/12/2010,69.38,-0.008896601
03/12/2010,70,-0.017418836
02/12/2010,71.23,0.017133162
01/12/2010,70.02,0.031628924
30/11/2010,67.84,-0.000294768
29/11/2010,67.86,0.004726744
26/11/2010,67.54,0.000148071
24/11/2010,67.53,0.042038243
23/11/2010,64.75,-0.008458336
22/11/2010,65.3,0.019952715
19/11/2010,64.01,0.018288386
18/11/2010,62.85,0.021063565
17/11/2010,61.54,0.033711057
16/11/2010,59.5,-0.009700695
15/11/2010,60.08,0.009364617
12/11/2010,59.52,-0.048694153
11/11/2010,62.49,-0.010506305
10/11/2010,63.15,-0.036995204
09/11/2010,65.53,0.007966949
08/11/2010,65.01,0.010670479
05/11/2010,64.32,0.019149855
04/11/2010,63.1,0.027962612
03/11/2010,61.36,-0.007145207
02/11/2010,61.8,0.003241494
01/11/2010,61.6,0.004229712
29/10/2010,61.34,0.006214247
28/10/2010,60.96,-0.00833134
27/10/2010,61.47,-0.024109172
26/10/2010,62.97,0.005414026
25/10/2010,62.63,0.01447436
22/10/2010,61.73,0.012224095
21/10/2010,60.98,0.0050966
20/10/2010,60.67,0.010771502
19/10/2010,60.02,-0.040008601
18/10/2010,62.47,-0.007177637
15/10/2010,62.92,-0.008388116
14/10/2010,63.45,0.007593772
13/10/2010,62.97,-0.001111023
12/10/2010,63.04,0.007643349
11/10/2010,62.56,-0.008753139
08/10/2010,63.11,0.005242684
07/10/2010,62.78,0.013631836
06/10/2010,61.93,-0.007720804
05/10/2010,62.41,0.030421215
04/10/2010,60.54,0.009126422
01/10/2010,59.99,-0.002829798
30/09/2010,60.16,0.014398374
29/09/2010,59.3,0.004224763
28/09/2010,59.05,0.005433873
27/09/2010,58.73,-0.001021103
24/09/2010,58.79,0.029868427
23/09/2010,57.06,-0.019610173
22/09/2010,58.19,-0.015517406
21/09/2010,59.1,-0.015446916
