Date,Close,BTU
13/04/2011,65.18,0.012971152
12/04/2011,64.34,-0.03196724
11/04/2011,66.43,-0.024975284
08/04/2011,68.11,0.000881316
07/04/2011,68.05,-0.02194696
06/04/2011,69.56,-0.037665783
05/04/2011,72.23,-0.000553633
04/04/2011,72.27,-0.006069821
01/04/2011,72.71,0.010368518
31/03/2011,71.96,-0.004437057
30/03/2011,72.28,0.007080904
29/03/2011,71.77,0.012619349
28/03/2011,70.87,-0.024530847
25/03/2011,72.63,0.001929438
24/03/2011,72.49,-0.000827358
23/03/2011,72.55,0.026962589
22/03/2011,70.62,-0.004380085
21/03/2011,70.93,0.010202724
18/03/2011,70.21,0.001282691
17/03/2011,70.12,0.03556511
16/03/2011,67.67,0.038257678
15/03/2011,65.13,-0.00214724
14/03/2011,65.27,0.03317803
11/03/2011,63.14,0.024854963
10/03/2011,61.59,-0.059563918
09/03/2011,65.37,-0.035761022
08/03/2011,67.75,-0.007792438
07/03/2011,68.28,-0.015549249
04/03/2011,69.35,0.000432682
03/03/2011,69.32,0.049836586
02/03/2011,65.95,0.011897639
01/03/2011,65.17,-0.004898219
28/02/2011,65.49,0.002905423
25/02/2011,65.3,0.033637553
24/02/2011,63.14,-0.00521287
23/02/2011,63.47,0.008544356
22/02/2011,62.93,-0.032671917
18/02/2011,65.02,-0.015565704
17/02/2011,66.04,-0.002872913
16/02/2011,66.23,0.013070095
15/02/2011,65.37,-0.008075004
14/02/2011,65.9,0.047546628
11/02/2011,62.84,0.012651302
10/02/2011,62.05,0.009716676
09/02/2011,61.45,-0.020297089
08/02/2011,62.71,-0.005248521
07/02/2011,63.04,-0.00695545
04/02/2011,63.48,-0.020426375
03/02/2011,64.79,0.006658948
02/02/2011,64.36,-0.008663421
01/02/2011,64.92,0.023376474
31/01/2011,63.42,0.037431082
28/01/2011,61.09,-0.020896525
27/01/2011,62.38,-0.012109772
26/01/2011,63.14,0.042711118
25/01/2011,60.5,0.020202707
24/01/2011,59.29,0.0190709
21/01/2011,58.17,-0.019408168
20/01/2011,59.31,-0.010899747
19/01/2011,59.96,-0.031842506
18/01/2011,61.9,-0.001775483
14/01/2011,62.01,-0.02924092
13/01/2011,63.85,0.011657347
12/01/2011,63.11,-0.003637806
11/01/2011,63.34,0.028829671
10/01/2011,61.54,-0.008575411
07/01/2011,62.07,0.00760091
06/01/2011,61.6,-0.019133955
05/01/2011,62.79,-0.000636841
04/01/2011,62.83,-0.026542587
03/01/2011,64.52,0.008404719
31/12/2010,63.98,-0.003588427
30/12/2010,64.21,0.011906768
29/12/2010,63.45,0.004739345
28/12/2010,63.15,-0.000633212
27/12/2010,63.19,-0.00646741
23/12/2010,63.6,0.000314515
22/12/2010,63.58,-0.002513354
21/12/2010,63.74,0.028323293
20/12/2010,61.96,0.023349906
17/12/2010,60.53,-0.003134023
16/12/2010,60.72,0.003795071
15/12/2010,60.49,-0.015257453
14/12/2010,61.42,-0.006976584
13/12/2010,61.85,-0.002099654
10/12/2010,61.98,0.005825259
09/12/2010,61.62,0.015207553
08/12/2010,60.69,-0.012770311
07/12/2010,61.47,-0.026963598
06/12/2010,63.15,-0.002056475
03/12/2010,63.28,0.008888947
02/12/2010,62.72,0.029775662
