Date,Close,ITW
24/08/2012,59.68,0.013495481
23/08/2012,58.88,0.002040123
22/08/2012,58.76,-0.005431106
21/08/2012,59.08,-0.003379523
20/08/2012,59.28,-0.012072581
17/08/2012,60,0.005515181
16/08/2012,59.67,0.035306814
15/08/2012,57.6,0.006968669
14/08/2012,57.2,-0.007142265
13/08/2012,57.61,0.005221035
10/08/2012,57.31,0.008938803
09/08/2012,56.8,-0.00140746
08/08/2012,56.88,0.006349228
07/08/2012,56.52,0.016951071
06/08/2012,55.57,-0.000899362
03/08/2012,55.62,0.035502356
02/08/2012,53.68,-0.005758352
01/08/2012,53.99,-0.00646176
31/07/2012,54.34,-0.004406911
30/07/2012,54.58,-0.012562751
27/07/2012,55.27,0.031427745
26/07/2012,53.56,0.016187065
25/07/2012,52.7,0.007810307
24/07/2012,52.29,-0.024184062
23/07/2012,53.57,0.005240514
20/07/2012,53.29,-0.006546362
19/07/2012,53.64,0.016920877
18/07/2012,52.74,0.043400845
17/07/2012,50.5,0.000990589
16/07/2012,50.45,-0.005928871
13/07/2012,50.75,0.014088932
12/07/2012,50.04,-0.004983565
11/07/2012,50.29,-0.018519048
10/07/2012,51.23,-0.020671073
09/07/2012,52.3,0.004599472
06/07/2012,52.06,-0.012408291
05/07/2012,52.71,0.003611141
03/07/2012,52.52,0.00879715
02/07/2012,52.06,-0.015817386
29/06/2012,52.89,0.037565816
28/06/2012,50.94,-0.012679386
27/06/2012,51.59,-0.005798238
26/06/2012,51.89,-0.007105167
25/06/2012,52.26,-0.026622926
22/06/2012,53.67,0.008983777
21/06/2012,53.19,-0.032189239
20/06/2012,54.93,-0.008880892
19/06/2012,55.42,0.018025067
18/06/2012,54.43,-0.000918189
15/06/2012,54.48,0.00736923
14/06/2012,54.08,-0.008103175
13/06/2012,54.52,-0.017454989
12/06/2012,55.48,0.00832584
11/06/2012,55.02,-0.017833491
08/06/2012,56.01,0.002681686
07/06/2012,55.86,0.0102565
06/06/2012,55.29,0.020095671
05/06/2012,54.19,-0.004051571
04/06/2012,54.41,-0.008054226
01/06/2012,54.85,-0.023424494
31/05/2012,56.15,0.00267499
30/05/2012,56,-0.021202208
