Date,Close,MPC
23/05/2012,35.42,0.000847338
22/05/2012,35.39,-0.015977915
21/05/2012,35.96,0.029347479
18/05/2012,34.92,0.00143287
17/05/2012,34.87,-0.011405884
16/05/2012,35.27,-0.00085022
15/05/2012,35.3,-0.014623433
14/05/2012,35.82,-0.038071146
11/05/2012,37.21,-0.026257973
10/05/2012,38.2,-0.000261746
09/05/2012,38.21,-0.008080325
08/05/2012,38.52,-0.029165536
07/05/2012,39.66,-0.002015114
04/05/2012,39.74,-0.015480958
03/05/2012,40.36,-0.027613239
02/05/2012,41.49,0.006771489
01/05/2012,41.21,-0.009659578
30/04/2012,41.61,0.007720183
27/04/2012,41.29,0.015621504
26/04/2012,40.65,0.013373156
25/04/2012,40.11,-0.00373274
24/04/2012,40.26,0.006478966
23/04/2012,40,0.00250313
20/04/2012,39.9,0.004018087
19/04/2012,39.74,-0.003015078
18/04/2012,39.86,-0.003256108
17/04/2012,39.99,-0.0005
16/04/2012,40.01,-0.039451398
13/04/2012,41.62,-0.003358123
12/04/2012,41.76,0.006004582
11/04/2012,41.51,-0.007679423
10/04/2012,41.83,-0.014948671
09/04/2012,42.46,0.00780238
05/04/2012,42.13,-0.010859408
04/04/2012,42.59,0.004471122
03/04/2012,42.4,-0.024232313
02/04/2012,43.44,0.001843318
30/03/2012,43.36,0.002771364
29/03/2012,43.24,-0.007373305
28/03/2012,43.56,-0.010050336
27/03/2012,44,-0.027128667
26/03/2012,45.21,0.027128667
23/03/2012,44,0.014421676
22/03/2012,43.37,-0.007122374
21/03/2012,43.68,-0.002515149
20/03/2012,43.79,-0.017206673
19/03/2012,44.55,0.008113635
16/03/2012,44.19,0.006584199
15/03/2012,43.9,-0.000227764
14/03/2012,43.91,-0.002956227
13/03/2012,44.04,0.00592122
12/03/2012,43.78,-0.002737228
09/03/2012,43.9,0.005940159
08/03/2012,43.64,0.025294306
07/03/2012,42.55,0.01324836
06/03/2012,41.99,-0.017937701
05/03/2012,42.75,0.01342302
02/03/2012,42.18,-0.01272102
01/03/2012,42.72,0.027769673
29/02/2012,41.55,-0.002883924
28/02/2012,41.67,-0.022307522
27/02/2012,42.61,-0.005850023
24/02/2012,42.86,-0.019180253
23/02/2012,43.69,0.00389864
22/02/2012,43.52,-0.006641499
21/02/2012,43.81,0.008481426
17/02/2012,43.44,-0.014852324
16/02/2012,44.09,0.008884897
15/02/2012,43.7,-0.007295974
14/02/2012,44.02,0.012343014
13/02/2012,43.48,-0.013705103
10/02/2012,44.08,-0.017094433
09/02/2012,44.84,-0.002450163
08/02/2012,44.95,0.023180964
07/02/2012,43.92,-0.011320021
06/02/2012,44.42,0.009954833
