Date,Close,SCG
20/05/2011,41.49,-0.008400385
19/05/2011,41.84,0.002153368
18/05/2011,41.75,-0.002153368
17/05/2011,41.84,0.001913876
16/05/2011,41.76,-0.004062618
13/05/2011,41.93,-0.001906124
12/05/2011,42.01,0.005729307
11/05/2011,41.77,-0.003584662
10/05/2011,41.92,0.013932486
09/05/2011,41.34,0.002906979
06/05/2011,41.22,0.005107636
05/05/2011,41.01,-0.008498291
04/05/2011,41.36,-0.005785937
03/05/2011,41.6,-0.000480654
02/05/2011,41.62,0.002405582
29/04/2011,41.52,0.001204965
28/04/2011,41.47,0.021448543
27/04/2011,40.59,0.005930336
26/04/2011,40.35,0.017752685
25/04/2011,39.64,0.002020203
21/04/2011,39.56,-0.001515535
20/04/2011,39.62,0.013723214
19/04/2011,39.08,0.005645383
18/04/2011,38.86,-0.008711303
15/04/2011,39.2,0.005628053
14/04/2011,38.98,0.002568714
13/04/2011,38.88,0.006709703
12/04/2011,38.62,-0.008251723
11/04/2011,38.94,-0.007164821
08/04/2011,39.22,-0.006354069
07/04/2011,39.47,-0.00631395
06/04/2011,39.72,0.005554167
05/04/2011,39.5,-0.004546611
04/04/2011,39.68,-0.000251984
01/04/2011,39.69,0.008095162
31/03/2011,39.37,0
30/03/2011,39.37,0.006881638
29/03/2011,39.1,0.00487118
28/03/2011,38.91,-0.003847638
25/03/2011,39.06,0.000256049
24/03/2011,39.05,0.003848626
23/03/2011,38.9,-0.002823773
22/03/2011,39.01,0.000256377
21/03/2011,39,0.012903405
18/03/2011,38.5,0.005730675
17/03/2011,38.28,0.005238357
16/03/2011,38.08,-0.016925284
15/03/2011,38.73,-0.007972268
14/03/2011,39.04,-0.025541912
11/03/2011,40.05,0.000749344
10/03/2011,40.02,-0.016603033
09/03/2011,40.69,0.003693221
08/03/2011,40.54,0.006185842
07/03/2011,40.29,0.002236304
04/03/2011,40.2,-0.006941029
03/03/2011,40.48,0.008933062
02/03/2011,40.12,-0.003235041
01/03/2011,40.25,-0.005698021
28/02/2011,40.48,0.002968829
25/02/2011,40.36,0.005465852
24/02/2011,40.14,-0.000498132
23/02/2011,40.16,-0.003231824
22/02/2011,40.29,-0.003468784
18/02/2011,40.43,-0.003456794
17/02/2011,40.57,0.007670457
16/02/2011,40.26,-0.001985112
15/02/2011,40.34,0.004970189
14/02/2011,40.14,-0.013117377
11/02/2011,40.67,-0.041893464
10/02/2011,42.41,-0.0042353
09/02/2011,42.59,-0.003515766
