Date,Close,FIS
13/12/2011,25.23,-0.007109035
12/12/2011,25.41,-0.012126102
09/12/2011,25.72,0.020821809
08/12/2011,25.19,-0.030109801
07/12/2011,25.96,0.027730736
06/12/2011,25.25,-0.013375494
05/12/2011,25.59,0.026932321
02/12/2011,24.91,0.012116465
01/12/2011,24.61,0.021356048
30/11/2011,24.09,0.055474973
29/11/2011,22.79,-0.018692133
28/11/2011,23.22,0.027949418
25/11/2011,22.58,-0.008818399
23/11/2011,22.78,-0.002192503
22/11/2011,22.83,-0.023377688
21/11/2011,23.37,-0.013177661
18/11/2011,23.68,0.002113719
17/11/2011,23.63,-0.034930786
16/11/2011,24.47,-0.017018239
15/11/2011,24.89,-0.004409708
14/11/2011,25,-0.030723173
11/11/2011,25.78,0.027129637
10/11/2011,25.09,0.008807103
09/11/2011,24.87,-0.044049591
08/11/2011,25.99,0.012778489
07/11/2011,25.66,0.016899597
04/11/2011,25.23,-0.01103677
03/11/2011,25.51,0.036730676
02/11/2011,24.59,-0.008503797
01/11/2011,24.8,-0.054152107
31/10/2011,26.18,-0.033799688
28/10/2011,27.08,-0.008457487
27/10/2011,27.31,0.03730384
26/10/2011,26.31,0.0153201
25/10/2011,25.91,-0.019870734
24/10/2011,26.43,0.024900731
21/10/2011,25.78,0.012883255
20/10/2011,25.45,-0.004704046
19/10/2011,25.57,-0.028909317
18/10/2011,26.32,0.027346206
17/10/2011,25.61,-0.018952414
14/10/2011,26.1,0.013889112
13/10/2011,25.74,-0.003877477
12/10/2011,25.84,0.011677828
11/10/2011,25.54,0.00235202
10/10/2011,25.48,0.027453485
07/10/2011,24.79,-0.016006744
06/10/2011,25.19,0.034736934
05/10/2011,24.33,-0.005737721
04/10/2011,24.47,0.042577383
03/10/2011,23.45,-0.036428562
30/09/2011,24.32,-0.019141289
29/09/2011,24.79,0.004852416
28/09/2011,24.67,-0.015285897
27/09/2011,25.05,0.020161973
26/09/2011,24.55,0.018500014
23/09/2011,24.1,-0.002486533
22/09/2011,24.16,-0.029365895
21/09/2011,24.88,-0.044801205
20/09/2011,26.02,0
19/09/2011,26.02,-0.018656547
16/09/2011,26.51,0.01252626
15/09/2011,26.18,0.016561133
14/09/2011,25.75,0.00779731
13/09/2011,25.55,0.001566784
12/09/2011,25.51,0.005503159
09/09/2011,25.37,-0.042444643
08/09/2011,26.47,-0.013135862
07/09/2011,26.82,0.041101676
06/09/2011,25.74,-0.041101676
02/09/2011,26.82,-0.037685089
01/09/2011,27.85,-0.01177954
31/08/2011,28.18,0.00284293
30/08/2011,28.1,0.001424502
29/08/2011,28.06,0.024897552
26/08/2011,27.37,0.014722386
25/08/2011,26.97,-0.022003088
24/08/2011,27.57,-0.015476285
23/08/2011,28,0.036367644
22/08/2011,27,0.012672551
19/08/2011,26.66,-0.00970519
18/08/2011,26.92,-0.034681337
17/08/2011,27.87,-0.007150549
16/08/2011,28.07,-0.006392067
15/08/2011,28.25,0.006035878
12/08/2011,28.08,0.007865611
11/08/2011,27.86,0.041405438
10/08/2011,26.73,-0.04391485
09/08/2011,27.93,0.045037815
08/08/2011,26.7,-0.080561156
05/08/2011,28.94,0.026967139
04/08/2011,28.17,-0.028693361
03/08/2011,28.99,0.025857485
02/08/2011,28.25,-0.038199089
01/08/2011,29.35,-0.02257128
29/07/2011,30.02,-0.020768836
28/07/2011,30.65,0.02176867
