Date,Close,HRB
14/07/2010,14.46,-0.00826451
13/07/2010,14.58,0.014508026
12/07/2010,14.37,-0.015878829
09/07/2010,14.6,0.026372104
08/07/2010,14.22,-0.08554523
07/07/2010,15.49,0.012341826
06/07/2010,15.3,0.003929278
02/07/2010,15.24,-0.018850087
01/07/2010,15.53,-0.01024993
30/06/2010,15.69,-0.001273886
29/06/2010,15.71,-0.033795457
28/06/2010,16.25,0.04403227
25/06/2010,15.55,0.038680666
24/06/2010,14.96,-0.027037585
23/06/2010,15.37,0.006527438
22/06/2010,15.27,-0.027770593
21/06/2010,15.7,-0.006349228
18/06/2010,15.8,-0.008194184
17/06/2010,15.93,0.003773589
16/06/2010,15.87,-0.007532992
15/06/2010,15.99,0.015758284
14/06/2010,15.74,-0.007594973
11/06/2010,15.86,-0.000630318
10/06/2010,15.87,0.045110741
09/06/2010,15.17,-0.023453844
08/06/2010,15.53,-0.001287001
07/06/2010,15.55,-0.011509078
04/06/2010,15.73,-0.03743419
03/06/2010,16.33,0.011703244
02/06/2010,16.14,0.019393789
01/06/2010,15.83,-0.01566939
28/05/2010,16.08,-0.009901071
27/05/2010,16.24,0.024307834
26/05/2010,15.85,-0.00252048
25/05/2010,15.89,-0.010641728
24/05/2010,16.06,-0.019118683
21/05/2010,16.37,0.019118683
20/05/2010,16.06,-0.0468313
19/05/2010,16.83,0.00476475
18/05/2010,16.75,-0.017165263
17/05/2010,17.04,0.004116442
14/05/2010,16.97,-0.017523813
13/05/2010,17.27,-0.006924436
12/05/2010,17.39,0.002879357
11/05/2010,17.34,-0.037355787
10/05/2010,18,0.046625841
07/05/2010,17.18,-0.01272429
06/05/2010,17.4,-0.052614261
05/05/2010,18.34,-0.010846093
04/05/2010,18.54,-0.020289003
03/05/2010,18.92,0.032772205
30/04/2010,18.31,-0.032243524
29/04/2010,18.91,0.030606416
28/04/2010,18.34,0.014831362
27/04/2010,18.07,0.017304367
26/04/2010,17.76,-0.017304367
23/04/2010,18.07,0.022384818
22/04/2010,17.67,-0.002825659
21/04/2010,17.72,-0.021770327
20/04/2010,18.11,0.006092514
19/04/2010,18,0.003338901
16/04/2010,17.94,0.006711435
15/04/2010,17.82,-0.010050336
14/04/2010,18,-0.015435808
13/04/2010,18.28,-0.008714652
12/04/2010,18.44,0.005983156
09/04/2010,18.33,0.001638002
08/04/2010,18.3,0.010989122
07/04/2010,18.1,0.004984779
06/04/2010,18.01,-0.007192285
05/04/2010,18.14,0.00497376
01/04/2010,18.05,0.013947227
31/03/2010,17.8,-0.003924872
30/03/2010,17.87,0.005049099
29/03/2010,17.78,0.005640173
26/03/2010,17.68,0.018265348
25/03/2010,17.36,-0.005743841
24/03/2010,17.46,-0.00912207
23/03/2010,17.62,0.028203308
22/03/2010,17.13,0.012926149
19/03/2010,16.91,-0.004719773
18/03/2010,16.99,0.007088039
17/03/2010,16.87,-0.004140793
