Date,Close,MRK
25/11/2011,33.16,-0.000904295
23/11/2011,33.19,-0.018507991
22/11/2011,33.81,-0.009713101
21/11/2011,34.14,-0.023448751
18/11/2011,34.95,0.003152317
17/11/2011,34.84,-0.007150038
16/11/2011,35.09,-0.018074482
15/11/2011,35.73,0.001680673
14/11/2011,35.67,-0.008375258
11/11/2011,35.97,0.028194707
10/11/2011,34.97,0.03432565
09/11/2011,33.79,-0.01992448
08/11/2011,34.47,0.004361106
07/11/2011,34.32,0.008779688
04/11/2011,34.02,-0.014879924
03/11/2011,34.53,0.009895308
02/11/2011,34.19,0.003809528
01/11/2011,34.06,-0.012835649
31/10/2011,34.5,-0.017526666
28/10/2011,35.11,0.023049133
27/10/2011,34.31,0.0226981
26/10/2011,33.54,0.018962193
25/10/2011,32.91,-0.018663998
24/10/2011,33.53,0.005382788
21/10/2011,33.35,0.016629257
20/10/2011,32.8,0.007958414
19/10/2011,32.54,-0.007653489
18/10/2011,32.79,0.014746811
17/10/2011,32.31,-0.020524537
14/10/2011,32.98,0.008526239
13/10/2011,32.7,0.003983459
12/10/2011,32.57,0.019845613
11/10/2011,31.93,-0.013068014
10/10/2011,32.35,0.023140495
07/10/2011,31.61,0.006028893
06/10/2011,31.42,-0.001272265
05/10/2011,31.46,0.003502631
04/10/2011,31.35,-0.006993035
03/10/2011,31.57,-0.035167775
30/09/2011,32.7,0.00122399
29/09/2011,32.66,0.022291945
28/09/2011,31.94,-0.006242218
27/09/2011,32.14,0.016627834
26/09/2011,31.61,0.017874718
23/09/2011,31.05,-0.002573176
22/09/2011,31.13,-0.022865398
21/09/2011,31.85,-0.020202707
20/09/2011,32.5,0.007722046
19/09/2011,32.25,-0.013245227
16/09/2011,32.68,0.00583092
15/09/2011,32.49,0.011453461
14/09/2011,32.12,0.011901174
13/09/2011,31.74,-0.008158188
12/09/2011,32,0.005012542
09/09/2011,31.84,-0.029095212
08/09/2011,32.78,-0.005476132
07/09/2011,32.96,0.021776662
06/09/2011,32.25,-0.003714025
02/09/2011,32.37,-0.01624059
01/09/2011,32.9,-0.006060625
31/08/2011,33.1,0.012158204
30/08/2011,32.7,0.007366516
29/08/2011,32.46,0.01677579
26/08/2011,31.92,0.001881468
25/08/2011,31.86,-0.011546391
24/08/2011,32.23,0.009038553
23/08/2011,31.94,0.019921607
22/08/2011,31.31,0.00159821
19/08/2011,31.26,0.006418507
18/08/2011,31.06,-0.036045635
17/08/2011,32.2,0.003110422
16/08/2011,32.1,-0.000934143
15/08/2011,32.13,0.024894936
12/08/2011,31.34,0.004477142
11/08/2011,31.2,0.045574187
10/08/2011,29.81,-0.046215007
09/08/2011,31.22,0.041863536
08/08/2011,29.94,-0.05743671
05/08/2011,31.71,0.006327133
04/08/2011,31.51,-0.037070122
03/08/2011,32.7,-0.00609758
02/08/2011,32.9,-0.01628013
01/08/2011,33.44,-0.020423975
29/07/2011,34.13,-0.023169296
28/07/2011,34.93,-0.007415893
27/07/2011,35.19,-0.016906573
26/07/2011,35.79,-0.00279018
25/07/2011,35.89,-0.005557113
22/07/2011,36.09,-0.002490661
21/07/2011,36.18,0.01644178
20/07/2011,35.59,-0.005603825
19/07/2011,35.79,0.008417558
18/07/2011,35.49,-0.012321634
15/07/2011,35.93,-0.010520584
14/07/2011,36.31,0.007741261
13/07/2011,36.03,0.011163945
12/07/2011,35.63,-0.001402328
11/07/2011,35.68,-0.012256421
08/07/2011,36.12,0.010856057
07/07/2011,35.73,0.005613262
06/07/2011,35.53,0.001126443
05/07/2011,35.49,-0.003094671
01/07/2011,35.6,0.008746
30/06/2011,35.29,0.005398507
29/06/2011,35.1,0.005427809
28/06/2011,34.91,0.01094481
27/06/2011,34.53,-0.000579039
24/06/2011,34.55,-0.012083001
23/06/2011,34.97,-0.014196718
22/06/2011,35.47,-0.008701809
21/06/2011,35.78,-0.000279447
20/06/2011,35.79,0.01123923
