Date,Close,JPM
15/09/2011,33.81,0.030328101
14/09/2011,32.8,0.009496166
13/09/2011,32.49,0.002156833
12/09/2011,32.42,0.010542733
09/09/2011,32.08,-0.043611119
08/09/2011,33.51,-0.038348033
07/09/2011,34.82,0.040439146
06/09/2011,33.44,-0.03496757
02/09/2011,34.63,-0.047097383
01/09/2011,36.3,-0.034121913
31/08/2011,37.56,0.013401433
30/08/2011,37.06,-0.015529094
29/08/2011,37.64,0.038731991
26/08/2011,36.21,0.013624568
25/08/2011,35.72,-0.003074775
24/08/2011,35.83,0.029743022
23/08/2011,34.78,0.040187253
22/08/2011,33.41,-0.027746762
19/08/2011,34.35,-0.024159933
18/08/2011,35.19,-0.038466281
17/08/2011,36.57,0.014876307
16/08/2011,36.03,-0.023317474
15/08/2011,36.88,0.02665359
12/08/2011,35.91,-0.02148843
11/08/2011,36.69,0.065320148
10/08/2011,34.37,-0.057384684
09/08/2011,36.4,0.066445099
08/08/2011,34.06,-0.098880375
05/08/2011,37.6,-0.008474627
04/08/2011,37.92,-0.050897647
03/08/2011,39.9,0.001504891
02/08/2011,39.84,-0.014947961
01/08/2011,40.44,-0.000247249
29/07/2011,40.45,-0.005669928
28/07/2011,40.68,0.000245851
27/07/2011,40.67,-0.018755878
26/07/2011,41.44,-0.006014694
25/07/2011,41.69,-0.011921934
22/07/2011,42.19,-0.002367425
21/07/2011,42.29,0.031954671
20/07/2011,40.96,0.014013751
19/07/2011,40.39,0.013961832
18/07/2011,39.83,-0.003758932
15/07/2011,39.98,-0.009212066
14/07/2011,40.35,0.018257353
13/07/2011,39.62,0.005822064
12/07/2011,39.39,-0.001014971
11/07/2011,39.43,-0.032683463
08/07/2011,40.74,-0.014136233
07/07/2011,41.32,0.018564285
06/07/2011,40.56,-0.011521147
05/07/2011,41.03,-0.013315776
01/07/2011,41.58,0.015511702
30/06/2011,40.94,0.012040937
29/06/2011,40.45,0.022753826
28/06/2011,39.54,-0.008562127
27/06/2011,39.88,0.00982747
24/06/2011,39.49,-0.014580449
23/06/2011,40.07,-0.015354437
22/06/2011,40.69,-0.00539217
21/06/2011,40.91,0.010566507
20/06/2011,40.48,-0.007874056
17/06/2011,40.8,0.010842886
16/06/2011,40.36,-0.007897376
15/06/2011,40.68,-0.022603952
14/06/2011,41.61,-0.001440922
13/06/2011,41.67,0.01499061
10/06/2011,41.05,0.001706693
09/06/2011,40.98,0.014501913
08/06/2011,40.39,-0.008137143
07/06/2011,40.72,0.004676932
06/06/2011,40.53,-0.025336313
03/06/2011,41.57,-0.00096177
02/06/2011,41.61,-0.003598421
01/06/2011,41.76,-0.034827049
31/05/2011,43.24,0.010461562
27/05/2011,42.79,0.007977518
26/05/2011,42.45,0.004249298
25/05/2011,42.27,-0.001654651
24/05/2011,42.34,-0.004947589
23/05/2011,42.55,-0.013538956
20/05/2011,43.13,-0.019970823
19/05/2011,44,-0.001816531
18/05/2011,44.08,0.006144063
17/05/2011,43.81,0.021456585
16/05/2011,42.88,-0.006276901
13/05/2011,43.15,-0.021550582
12/05/2011,44.09,-0.003170293
11/05/2011,44.23,-0.020808447
10/05/2011,45.16,0.004438534
09/05/2011,44.96,-0.001777778
06/05/2011,45.04,-0.002882166
05/05/2011,45.17,-0.007279176
04/05/2011,45.5,-0.009188426
03/05/2011,45.92,0.016246241
02/05/2011,45.18,-0.009910884
