Date,Close,FLS
17/02/2012,118.56,0.005667175
16/02/2012,117.89,0.011174254
15/02/2012,116.58,-0.004962789
14/02/2012,117.16,-0.002216729
13/02/2012,117.42,0.017786266
10/02/2012,115.35,-8.66889E-05
09/02/2012,115.36,0.011859225
08/02/2012,114,-0.005336612
07/02/2012,114.61,-0.002962191
06/02/2012,114.95,0.004533969
03/02/2012,114.43,0.021732304
02/02/2012,111.97,-0.004900005
01/02/2012,112.52,0.021106356
31/01/2012,110.17,0.012972957
30/01/2012,108.75,-0.003396524
27/01/2012,109.12,0.003672424
26/01/2012,108.72,-0.00036785
25/01/2012,108.76,0.009701189
24/01/2012,107.71,0.004652902
23/01/2012,107.21,0.000279864
20/01/2012,107.18,-0.01030315
19/01/2012,108.29,0.014135825
18/01/2012,106.77,0.009220991
17/01/2012,105.79,0.001797626
13/01/2012,105.6,0.001895735
12/01/2012,105.4,0.005422646
11/01/2012,104.83,-0.004188488
10/01/2012,105.27,0.015315701
09/01/2012,103.67,0.011447544
06/01/2012,102.49,-0.007484847
05/01/2012,103.26,-0.013084658
04/01/2012,104.62,0.026048435
03/01/2012,101.93,0.025939343
30/12/2011,99.32,-0.004821223
29/12/2011,99.8,0.025369194
28/12/2011,97.3,-0.035835275
27/12/2011,100.85,-0.010161386
23/12/2011,101.88,0.01174916
22/12/2011,100.69,0.001888762
21/12/2011,100.5,-0.00307983
20/12/2011,100.81,0.044316504
19/12/2011,96.44,-0.011341497
16/12/2011,97.54,0.010926817
15/12/2011,96.48,0.001452132
14/12/2011,96.34,-0.027741172
13/12/2011,99.05,-0.019594749
12/12/2011,101.01,-0.024448705
09/12/2011,103.51,0.036700464
08/12/2011,99.78,-0.03660385
07/12/2011,103.5,-0.011527505
06/12/2011,104.7,0.002103452
05/12/2011,104.48,0.023924818
02/12/2011,102.01,0.004027313
01/12/2011,101.6,-0.011449946
30/11/2011,102.77,0.068041129
29/11/2011,96.01,0.004384141
28/11/2011,95.59,0.059148047
25/11/2011,90.1,0.004003564
23/11/2011,89.74,-0.043608392
22/11/2011,93.74,0.002349675
21/11/2011,93.52,-0.036020065
18/11/2011,96.95,0.018530616
17/11/2011,95.17,-0.028894466
16/11/2011,97.96,-0.005395788
15/11/2011,98.49,0.011436865
14/11/2011,97.37,-0.020332102
11/11/2011,99.37,0.036796362
10/11/2011,95.78,0.009335569
09/11/2011,94.89,-0.05225184
08/11/2011,99.98,0.012176251
07/11/2011,98.77,-0.010374268
04/11/2011,99.8,0.00754341
03/11/2011,99.05,0.051373002
02/11/2011,94.09,0.042222344
01/11/2011,90.2,-0.027231165
31/10/2011,92.69,-0.045656551
28/10/2011,97.02,0.052802532
27/10/2011,92.03,0.054139664
26/10/2011,87.18,0.004829261
25/10/2011,86.76,-0.029863133
24/10/2011,89.39,0.057796931
21/10/2011,84.37,0.034608868
20/10/2011,81.5,-0.018478522
19/10/2011,83.02,-0.012330317
18/10/2011,84.05,0.038198036
17/10/2011,80.9,-0.040099855
14/10/2011,84.21,0.007748742
13/10/2011,83.56,-0.025987761
12/10/2011,85.76,0.04324934
11/10/2011,82.13,-0.008486957
10/10/2011,82.83,0.045698245
07/10/2011,79.13,-0.010934565
06/10/2011,80,0.031619674
05/10/2011,77.51,0.053529801
04/10/2011,73.47,0.048381918
03/10/2011,70,-0.055569851
30/09/2011,74,-0.060306606
29/09/2011,78.6,0.008945747
28/09/2011,77.9,-0.038405727
27/09/2011,80.95,0.043166722
26/09/2011,77.53,0.037988402
23/09/2011,74.64,-0.00680956
22/09/2011,75.15,-0.061665135
21/09/2011,79.93,-0.061735271
20/09/2011,85.02,-0.023251454
19/09/2011,87.02,-0.019685451
16/09/2011,88.75,-0.009866657
15/09/2011,89.63,0.014270707
14/09/2011,88.36,0.018850161
13/09/2011,86.71,0.024516754
12/09/2011,84.61,-0.012216762
09/09/2011,85.65,-0.043075146
08/09/2011,89.42,-0.011121111
07/09/2011,90.42,0.027810718
06/09/2011,87.94,-0.013216798
02/09/2011,89.11,-0.020328387
01/09/2011,90.94,-0.036705329
31/08/2011,94.34,0.016027696
30/08/2011,92.84,0.02111758
29/08/2011,90.9,0.049962468
26/08/2011,86.47,0.032439088
25/08/2011,83.71,-0.038204787
24/08/2011,86.97,0.015877948
23/08/2011,85.6,0.045774855
22/08/2011,81.77,0.009955223
19/08/2011,80.96,-0.034477802
18/08/2011,83.8,-0.077137813
17/08/2011,90.52,0.00576115
16/08/2011,90,-0.023933517
