Date,Close,WY
05/06/2012,19.37,0.012467694
04/06/2012,19.13,0.001046025
01/06/2012,19.11,-0.04101036
31/05/2012,19.91,0.007562426
30/05/2012,19.76,-0.027453683
29/05/2012,20.31,0.026947738
25/05/2012,19.77,-0.007056481
24/05/2012,19.91,0.009081798
23/05/2012,19.73,0.013265501
22/05/2012,19.47,0.010844413
21/05/2012,19.26,0.026303463
18/05/2012,18.76,0.003738322
17/05/2012,18.69,-0.023791765
16/05/2012,19.14,-0.011428696
15/05/2012,19.36,-0.003609182
14/05/2012,19.43,-0.032407899
11/05/2012,20.07,0.002994014
10/05/2012,20.01,-0.002994014
09/05/2012,20.07,0.010015106
08/05/2012,19.87,-0.017461157
07/05/2012,20.22,0.01194044
04/05/2012,19.98,-0.019822255
03/05/2012,20.38,-0.012192299
02/05/2012,20.63,0.011211426
01/05/2012,20.4,0.001962709
30/04/2012,20.36,-0.023781757
27/04/2012,20.85,-0.001437815
26/04/2012,20.88,0.00672756
25/04/2012,20.74,0.010664182
24/04/2012,20.52,0.024668246
23/04/2012,20.02,-0.046837829
20/04/2012,20.98,0.011023356
19/04/2012,20.75,-0.000963391
18/04/2012,20.77,-0.016710821
17/04/2012,21.12,0.020086759
16/04/2012,20.7,-0.001930503
13/04/2012,20.74,-0.015786025
12/04/2012,21.07,0.026450208
11/04/2012,20.52,0.00733679
10/04/2012,20.37,-0.032362158
09/04/2012,21.04,-0.022092555
05/04/2012,21.51,-0.004175371
04/04/2012,21.6,-0.011507607
03/04/2012,21.85,-0.01408794
02/04/2012,22.16,0.0108894
30/03/2012,21.92,0.001369551
29/03/2012,21.89,-0.00592122
28/03/2012,22.02,-0.001361471
27/03/2012,22.05,0.006369448
26/03/2012,21.91,0.001827319
23/03/2012,21.87,0.002747254
22/03/2012,21.81,-0.015920282
21/03/2012,22.16,-0.005400553
20/03/2012,22.28,0
19/03/2012,22.28,0.01219252
16/03/2012,22.01,-0.007243128
15/03/2012,22.17,0.014081541
14/03/2012,21.86,-0.009560738
13/03/2012,22.07,0.030828298
12/03/2012,21.4,-0.003731348
09/03/2012,21.48,0.022123755
08/03/2012,21.01,0.012934312
07/03/2012,20.74,0.008230499
06/03/2012,20.57,-0.03111043
05/03/2012,21.22,0.002831526
02/03/2012,21.16,-0.006124872
01/03/2012,21.29,0.018966903
29/02/2012,20.89,-0.005251862
28/02/2012,21,-0.015592095
27/02/2012,21.33,0.012739026
24/02/2012,21.06,0.008104931
23/02/2012,20.89,0.0086539
22/02/2012,20.71,-0.001447527
21/02/2012,20.74,0.004348883
17/02/2012,20.65,0.003881616
16/02/2012,20.57,0.035126045
15/02/2012,19.86,-0.006024115
14/02/2012,19.98,-0.028129168
13/02/2012,20.55,0.026129167
10/02/2012,20.02,-0.016840418
09/02/2012,20.36,-0.009775249
08/02/2012,20.56,0.008793413
07/02/2012,20.38,-0.015579672
06/02/2012,20.7,-0.028573372
03/02/2012,21.3,0.055999185
02/02/2012,20.14,0.002983592
01/02/2012,20.08,0.002992521
31/01/2012,20.02,-0.013889112
30/01/2012,20.3,-0.008339514
27/01/2012,20.47,-0.007301079
26/01/2012,20.62,0.0166263
25/01/2012,20.28,0.016907414
24/01/2012,19.94,-0.014438887
23/01/2012,20.23,-0.020548668
20/01/2012,20.65,-0.017283195
19/01/2012,21.01,0.021651074
