Date,Close,ICE
27/09/2010,105.07,0.005152683
24/09/2010,104.53,0.033660765
23/09/2010,101.07,-0.01745827
22/09/2010,102.85,-0.006203374
21/09/2010,103.49,-0.013818471
20/09/2010,104.93,-0.000285864
17/09/2010,104.96,-0.01193309
16/09/2010,106.22,-0.00881063
15/09/2010,107.16,0.006741599
14/09/2010,106.44,-0.007487867
13/09/2010,107.24,0.016168805
10/09/2010,105.52,0.010766623
09/09/2010,104.39,0.002877976
08/09/2010,104.09,0.008102678
07/09/2010,103.25,0.008950347
03/09/2010,102.33,0.016553733
02/09/2010,100.65,0.01239644
01/09/2010,99.41,0.03949839
31/08/2010,95.56,0.012001407
30/08/2010,94.42,-0.030457089
27/08/2010,97.34,0.017200714
26/08/2010,95.68,0.000522712
25/08/2010,95.63,0.018043222
24/08/2010,93.92,-0.026892377
23/08/2010,96.48,-0.005890577
20/08/2010,97.05,-0.003805219
19/08/2010,97.42,-0.023033843
18/08/2010,99.69,-0.00220441
17/08/2010,99.91,0.017161738
16/08/2010,98.21,0.017979629
13/08/2010,96.46,-0.04112881
12/08/2010,100.51,-0.014911647
11/08/2010,102.02,-0.040625935
10/08/2010,106.25,-0.021323961
09/08/2010,108.54,0.011210568
06/08/2010,107.33,-0.015072642
05/08/2010,108.96,-0.012313742
04/08/2010,110.31,0.026641296
03/08/2010,107.41,-0.011386376
02/08/2010,108.64,0.028191917
30/07/2010,105.62,-0.008015508
29/07/2010,106.47,-0.00168919
28/07/2010,106.65,-0.005143804
27/07/2010,107.2,-0.007434978
26/07/2010,108,-0.00332779
23/07/2010,108.36,0.017126256
22/07/2010,106.52,0.020294675
21/07/2010,104.38,-0.029824785
20/07/2010,107.54,0.044202415
19/07/2010,102.89,0.013207647
16/07/2010,101.54,-0.038542463
15/07/2010,105.53,-0.00349998
14/07/2010,105.9,-0.019635975
13/07/2010,108,0.012953911
12/07/2010,106.61,-0.00028136
09/07/2010,106.64,-0.006263166
08/07/2010,107.31,0.004951199
07/07/2010,106.78,0.027245503
06/07/2010,103.91,-0.022081415
02/07/2010,106.23,-0.058501555
01/07/2010,112.63,-0.00354516
30/06/2010,113.03,-0.007491992
29/06/2010,113.88,-0.035539362
28/06/2010,118,-0.003046203
25/06/2010,118.36,0.032981347
24/06/2010,114.52,-0.025859052
23/06/2010,117.52,-0.015954418
22/06/2010,119.41,-0.017186691
21/06/2010,121.48,-0.005663877
18/06/2010,122.17,-0.001308794
17/06/2010,122.33,-0.036992223
16/06/2010,126.94,0.029499721
15/06/2010,123.25,0.002681076
14/06/2010,122.92,-0.003978408
11/06/2010,123.41,0.036640785
10/06/2010,118.97,0.035854108
09/06/2010,114.78,-0.011176205
08/06/2010,116.07,-0.007724034
07/06/2010,116.97,-0.007919316
04/06/2010,117.9,-0.027770269
03/06/2010,121.22,-0.001483802
02/06/2010,121.4,0.04696728
01/06/2010,115.83,-0.002586654
28/05/2010,116.13,-0.010450669
27/05/2010,117.35,0.036888539
26/05/2010,113.1,-0.007048487
25/05/2010,113.9,-0.00245528
24/05/2010,114.18,-0.00793828
21/05/2010,115.09,0.04960725
20/05/2010,109.52,-0.040266691
19/05/2010,114.02,-0.005858965
18/05/2010,114.69,-0.0399113
17/05/2010,119.36,0.009850637
14/05/2010,118.19,-0.031071593
13/05/2010,121.92,-0.005398786
12/05/2010,122.58,0.017695207
11/05/2010,120.43,-0.0242814
10/05/2010,123.39,0.07320443
07/05/2010,114.68,-0.020370116
06/05/2010,117.04,-0.016103408
05/05/2010,118.94,0.047433258
04/05/2010,113.43,-0.029790731
03/05/2010,116.86,0.001970106
30/04/2010,116.63,-0.018603212
29/04/2010,118.82,0.020147747
28/04/2010,116.45,0.005424735
27/04/2010,115.82,-0.037785096
26/04/2010,120.28,0.016936768
23/04/2010,118.26,0.012080113
22/04/2010,116.84,0.043467995
21/04/2010,111.87,-0.004904375
20/04/2010,112.42,0.026865404
19/04/2010,109.44,0.017792587
16/04/2010,107.51,-0.037785112
15/04/2010,111.65,0.008725823
14/04/2010,110.68,0.016029487
13/04/2010,108.92,0.003126439
