Date,Close,NU
23/07/2009,22.86,0.025699243
22/07/2009,22.28,-0.000448732
21/07/2009,22.29,0.009918927
20/07/2009,22.07,-0.000905797
17/07/2009,22.09,-0.00541762
16/07/2009,22.21,0.006323418
15/07/2009,22.07,0.024307549
14/07/2009,21.54,-0.000464145
13/07/2009,21.55,0.007919911
10/07/2009,21.38,-0.006062038
09/07/2009,21.51,-0.011095814
08/07/2009,21.75,-0.014152256
07/07/2009,22.06,-0.019749295
06/07/2009,22.5,0.007136516
02/07/2009,22.34,-0.028245479
01/07/2009,22.98,0.029589264
30/06/2009,22.31,-0.00402595
29/06/2009,22.4,0.012578782
26/06/2009,22.12,-0.00135532
25/06/2009,22.15,0.018223739
24/06/2009,21.75,0.008774011
23/06/2009,21.56,-0.025190249
22/06/2009,22.11,0.006352108
19/06/2009,21.97,-0.018042889
18/06/2009,22.37,0.032253534
17/06/2009,21.66,-0.002305742
16/06/2009,21.71,-0.010538471
15/06/2009,21.94,-0.008170722
12/06/2009,22.12,0.023326006
11/06/2009,21.61,0.021043564
10/06/2009,21.16,0.013320844
09/06/2009,20.88,-0.011428696
08/06/2009,21.12,-0.005194817
05/06/2009,21.23,0.008989888
04/06/2009,21.04,-0.00142484
03/06/2009,21.07,-0.016941582
02/06/2009,21.43,-0.011137006
01/06/2009,21.67,0.041456714
29/05/2009,20.79,0.006756782
28/05/2009,20.65,0.002424244
27/05/2009,20.6,-0.010142565
26/05/2009,20.81,0.027772796
22/05/2009,20.24,0.000988631
21/05/2009,20.22,0.011440065
20/05/2009,19.99,-0.037314098
19/05/2009,20.75,0.006284768
18/05/2009,20.62,0.001941748
15/05/2009,20.58,-0.021630259
14/05/2009,21.03,-0.006635095
13/05/2009,21.17,-0.00987082
12/05/2009,21.38,0.009398565
11/05/2009,21.18,-0.000943842
08/05/2009,21.2,-0.002826191
07/05/2009,21.26,-0.010294897
