Date,Close,TJX
02/05/2012,42.53,0.011350323
01/05/2012,42.05,0.008118478
30/04/2012,41.71,-0.017821548
27/04/2012,42.46,0.016384078
26/04/2012,41.77,0.013254803
25/04/2012,41.22,0.023813572
24/04/2012,40.25,-0.00470939
23/04/2012,40.44,-0.014240358
20/04/2012,41.02,-0.00170503
19/04/2012,41.09,-0.007032889
18/04/2012,41.38,0.000725251
17/04/2012,41.35,0.028454213
16/04/2012,40.19,0.00924891
13/04/2012,39.82,0.001507917
12/04/2012,39.76,0.004537442
11/04/2012,39.58,0.023259835
10/04/2012,38.67,-0.034065317
09/04/2012,40.01,-0.006973876
05/04/2012,40.29,0.023353227
04/04/2012,39.36,-0.006331539
03/04/2012,39.61,-0.00654255
02/04/2012,39.87,0.004021116
30/03/2012,39.71,0.012416224
29/03/2012,39.22,-0.006607394
28/03/2012,39.48,-0.001265663
27/03/2012,39.53,0.004309805
26/03/2012,39.36,0.018720896
23/03/2012,38.63,-0.006965074
22/03/2012,38.9,-0.000257036
21/03/2012,38.91,0.01137257
20/03/2012,38.47,0.009664435
19/03/2012,38.1,0.004999353
16/03/2012,37.91,-0.007358772
15/03/2012,38.19,0.002621921
14/03/2012,38.09,0.001050696
13/03/2012,38.05,-0.000525486
12/03/2012,38.07,-0.001312508
09/03/2012,38.12,0.010018539
08/03/2012,37.74,0.015487626
07/03/2012,37.16,0.009463367
06/03/2012,36.81,-0.015901157
05/03/2012,37.4,0.008592964
02/03/2012,37.08,-0.000269651
01/03/2012,37.09,0.013025964
29/02/2012,36.61,-0.00951482
28/02/2012,36.96,0.005970167
27/02/2012,36.74,0.021180822
24/02/2012,35.97,0.001112657
23/02/2012,35.93,0.022517135
22/02/2012,35.13,-0.002558637
21/02/2012,35.22,0.009987242
17/02/2012,34.87,0.018524408
16/02/2012,34.23,0.005566149
15/02/2012,34.04,-0.013133123
14/02/2012,34.49,0.002322207
13/02/2012,34.41,0.001454123
10/02/2012,34.36,-0.006093157
09/02/2012,34.57,0.004348463
08/02/2012,34.42,-0.005215891
07/02/2012,34.6,0.008125407
06/02/2012,34.32,-0.006100237
03/02/2012,34.53,-0.679442344
02/02/2012,68.12,-0.002492487
01/02/2012,68.29,0.002198931
31/01/2012,68.14,0.01017783
30/01/2012,67.45,0.001186768
27/01/2012,67.37,-0.008572326
26/01/2012,67.95,-0.000147156
25/01/2012,67.96,0.01035359
24/01/2012,67.26,0.01001129
23/01/2012,66.59,0.000150184
20/01/2012,66.58,-0.005093644
19/01/2012,66.92,0.001046573
