Date,Close,RHI
03/09/2010,24.03,0.044243711
02/09/2010,22.99,0.015782879
01/09/2010,22.63,0.0475095
31/08/2010,21.58,-0.007846798
30/08/2010,21.75,-0.027212564
27/08/2010,22.35,0.021253344
26/08/2010,21.88,-0.005469476
25/08/2010,22,0.019738993
24/08/2010,21.57,-0.019284344
23/08/2010,21.99,-0.03704954
20/08/2010,22.82,-0.015652493
19/08/2010,23.18,-0.034763992
18/08/2010,24,-0.001249219
17/08/2010,24.03,0.016785959
16/08/2010,23.63,-0.003801483
13/08/2010,23.72,-0.00294675
12/08/2010,23.79,0.003790276
11/08/2010,23.7,-0.057392798
10/08/2010,25.1,-0.023623146
09/08/2010,25.7,0.014896395
06/08/2010,25.32,-0.025732414
05/08/2010,25.98,-0.016036999
04/08/2010,26.4,0.026483989
03/08/2010,25.71,-0.005817352
02/08/2010,25.86,0.026647345
30/07/2010,25.18,0.000397219
29/07/2010,25.17,-0.017720487
28/07/2010,25.62,-0.019328008
27/07/2010,26.12,-0.009146405
26/07/2010,26.36,0.012982237
23/07/2010,26.02,0.013542478
22/07/2010,25.67,0.055258252
21/07/2010,24.29,-0.0126817
20/07/2010,24.6,0.021780191
19/07/2010,24.07,0.001247142
16/07/2010,24.04,-0.037555434
15/07/2010,24.96,-0.010362787
14/07/2010,25.22,-0.023899277
13/07/2010,25.83,0.032660782
12/07/2010,25,-0.015085637
09/07/2010,25.38,0.025135973
08/07/2010,24.75,0.006079046
07/07/2010,24.6,0.047023433
06/07/2010,23.47,0.006411648
02/07/2010,23.32,-0.00768906
01/07/2010,23.5,-0.002125399
30/06/2010,23.55,-0.009719071
29/06/2010,23.78,-0.045621225
28/06/2010,24.89,-0.012377878
25/06/2010,25.2,0.00876849
24/06/2010,24.98,0.0004004
23/06/2010,24.97,0.012492607
22/06/2010,24.66,-0.015292048
21/06/2010,25.04,0.012861914
18/06/2010,24.72,0.008531435
17/06/2010,24.51,0.004088313
16/06/2010,24.41,-0.004088313
15/06/2010,24.51,0.025202739
14/06/2010,23.9,-0.009991757
11/06/2010,24.14,-0.002895555
10/06/2010,24.21,0.052576754
09/06/2010,22.97,-0.000435256
08/06/2010,22.98,0.005235614
07/06/2010,22.86,-0.032281693
04/06/2010,23.61,-0.066759687
03/06/2010,25.24,0.008354932
02/06/2010,25.03,0.013271862
01/06/2010,24.7,-0.023605817
28/05/2010,25.29,-0.01257384
27/05/2010,25.61,0.025708357
26/05/2010,24.96,0.005221944
25/05/2010,24.83,-0.024270139
24/05/2010,25.44,0.007892701
21/05/2010,25.24,0.016377438
20/05/2010,24.83,-0.065469421
19/05/2010,26.51,-0.012371292
18/05/2010,26.84,-0.009640416
17/05/2010,27.1,0.019750968
14/05/2010,26.57,-0.03331174
13/05/2010,27.47,-0.007254294
12/05/2010,27.67,0.015295273
11/05/2010,27.25,-0.001833181
10/05/2010,27.3,0.065858073
07/05/2010,25.56,-0.031956521
06/05/2010,26.39,-0.0221107
05/05/2010,26.98,-0.003330253
04/05/2010,27.07,-0.0334212
03/05/2010,27.99,0.022034484
30/04/2010,27.38,-0.019172228
29/04/2010,27.91,-0.01033693
28/04/2010,28.2,-0.107485915
27/04/2010,31.4,-0.015484588
26/04/2010,31.89,-0.008430963
23/04/2010,32.16,0.007490672
22/04/2010,31.92,0.027956077
21/04/2010,31.04,0.011014041
20/04/2010,30.7,0.005880448
19/04/2010,30.52,-0.004576667
16/04/2010,30.66,-0.020339684
15/04/2010,31.29,0
14/04/2010,31.29,0.003842464
13/04/2010,31.17,0.001605394
12/04/2010,31.12,0.000321388
09/04/2010,31.11,0.007744472
08/04/2010,30.87,-0.004847319
07/04/2010,31.02,-0.015990107
06/04/2010,31.52,0.010845401
05/04/2010,31.18,0.02205018
01/04/2010,30.5,0.00229772
31/03/2010,30.43,-0.019203194
30/03/2010,31.02,-0.004182087
29/03/2010,31.15,0.007734489
26/03/2010,30.91,0.005189762
25/03/2010,30.75,-0.003570853
24/03/2010,30.86,-0.023063162
23/03/2010,31.58,0.005397695
22/03/2010,31.41,0.007991093
19/03/2010,31.16,-0.007672672
