Date,Close,PBI
29/04/2011,24.56,-0.063876657
28/04/2011,26.18,0.000764234
27/04/2011,26.16,0.01114753
26/04/2011,25.87,0.008540425
25/04/2011,25.65,0.00038994
21/04/2011,25.64,-0.00038994
20/04/2011,25.65,0.017699577
19/04/2011,25.2,-0.006329135
18/04/2011,25.36,-0.005897403
15/04/2011,25.51,0.015008181
14/04/2011,25.13,0.007188529
13/04/2011,24.95,-0.001601923
12/04/2011,24.99,-0.007574284
11/04/2011,25.18,0.000794597
08/04/2011,25.16,-0.014990419
07/04/2011,25.54,-0.00351769
06/04/2011,25.63,-0.001169819
05/04/2011,25.66,0.001169819
04/04/2011,25.63,-0.000390092
01/04/2011,25.64,-0.001948179
31/03/2011,25.69,0.005464494
30/03/2011,25.55,0.012603554
29/03/2011,25.23,0.001983734
28/03/2011,25.18,0
25/03/2011,25.18,0.022084816
24/03/2011,24.63,0.013900469
23/03/2011,24.29,-0.001234314
22/03/2011,24.32,-0.009820046
21/03/2011,24.56,0.006126219
18/03/2011,24.41,0.022789468
17/03/2011,23.86,0.005463346
16/03/2011,23.73,-0.01547177
15/03/2011,24.1,-0.015644617
14/03/2011,24.48,-0.008136741
11/03/2011,24.68,0.004874096
10/03/2011,24.56,-0.016956401
09/03/2011,24.98,0.001602564
08/03/2011,24.94,0.016576082
07/03/2011,24.53,-0.005285639
04/03/2011,24.66,-0.012492607
03/03/2011,24.97,0.012492607
02/03/2011,24.66,-0.00404695
01/03/2011,24.76,-0.016820581
28/02/2011,25.18,0.010780699
25/02/2011,24.91,0.006847962
24/02/2011,24.74,-0.002018979
23/02/2011,24.79,-0.01441755
22/02/2011,25.15,-0.023576731
18/02/2011,25.75,-0.008122265
17/02/2011,25.96,0.009287992
16/02/2011,25.72,0.001556421
15/02/2011,25.68,-0.015072749
14/02/2011,26.07,0.007314758
11/02/2011,25.88,0.016754727
10/02/2011,25.45,0.014246383
09/02/2011,25.09,-0.003183449
08/02/2011,25.17,0.016423361
07/02/2011,24.76,0.026602756
04/02/2011,24.11,0.001245072
03/02/2011,24.08,-0.007034997
02/02/2011,24.25,-0.000412286
01/02/2011,24.26,-0.000824063
31/01/2011,24.28,0.009102256
28/01/2011,24.06,-0.016079505
27/01/2011,24.45,0.013174336
26/01/2011,24.13,0.00373677
25/01/2011,24.04,0.002082033
24/01/2011,23.99,0.000834028
21/01/2011,23.97,0.007537724
20/01/2011,23.79,-0.006285376
19/01/2011,23.94,-0.001252348
18/01/2011,23.97,0.001670147
14/01/2011,23.93,-0.002920928
13/01/2011,24,0.00543139
12/01/2011,23.87,0.003777549
11/01/2011,23.78,-0.004196397
10/01/2011,23.88,0.004196397
07/01/2011,23.78,-0.016680954
06/01/2011,24.18,-0.006595242
05/01/2011,24.34,0.002056345
04/01/2011,24.29,0.002886005
03/01/2011,24.22,0.001652893
31/12/2010,24.18,-0.010695289
30/12/2010,24.44,-0.004083305
29/12/2010,24.54,-0.004878058
28/12/2010,24.66,0.003656311
27/12/2010,24.57,0.001221747
23/12/2010,24.54,-0.004472461
22/12/2010,24.65,0.002843796
21/12/2010,24.58,-0.000406752
20/12/2010,24.59,0.002035417
17/12/2010,24.54,0.003265309
16/12/2010,24.46,0.010686497
15/12/2010,24.2,0.013730193
14/12/2010,23.87,0.003357116
13/12/2010,23.79,0.016529302
10/12/2010,23.4,0.009014871
09/12/2010,23.19,0.005621636
08/12/2010,23.06,0.001301801
07/12/2010,23.03,0.014873415
06/12/2010,22.69,0.000881834
03/12/2010,22.67,-0.003962145
02/12/2010,22.76,0.018625816
01/12/2010,22.34,0.018067339
30/11/2010,21.94,-0.018067339
29/11/2010,22.34,-0.004911821
26/11/2010,22.45,-0.007101672
24/11/2010,22.61,0.011118638
23/11/2010,22.36,-0.008904778
22/11/2010,22.56,0.000443361
19/11/2010,22.55,0.002219757
