Date,Close,DHI
31/08/2011,10.52,-0.007575794
30/08/2011,10.6,0.026770241
29/08/2011,10.32,0.064021859
26/08/2011,9.68,0.007257678
25/08/2011,9.61,0.016789481
24/08/2011,9.45,0.055479152
23/08/2011,8.94,-0.001117943
22/08/2011,8.95,0
19/08/2011,8.95,-0.019912162
18/08/2011,9.13,-0.064675423
17/08/2011,9.74,-0.014271394
16/08/2011,9.88,-0.005047966
15/08/2011,9.93,0.042165629
12/08/2011,9.52,0.004210533
11/08/2011,9.48,0.032157112
10/08/2011,9.18,-0.043693684
09/08/2011,9.59,0.003133162
08/08/2011,9.56,-0.086139309
05/08/2011,10.42,-0.005741643
04/08/2011,10.48,-0.071787944
03/08/2011,11.26,-0.011479155
02/08/2011,11.39,-0.031117463
01/08/2011,11.75,-0.011003073
29/07/2011,11.88,-0.001682086
28/07/2011,11.9,0.025533302
27/07/2011,11.6,-0.021322769
26/07/2011,11.85,-0.010075652
25/07/2011,11.97,-0.009147673
22/07/2011,12.08,-0.00413053
21/07/2011,12.13,0.023353855
20/07/2011,11.85,-0.006728369
19/07/2011,11.93,0.055138858
18/07/2011,11.29,-0.016689013
15/07/2011,11.48,0.002616661
14/07/2011,11.45,-0.011289742
13/07/2011,11.58,-0.000863185
12/07/2011,11.59,-0.004304785
11/07/2011,11.64,-0.02879115
08/07/2011,11.98,0.004182357
07/07/2011,11.93,0.021178259
06/07/2011,11.68,0.004290011
05/07/2011,11.63,-0.004290011
01/07/2011,11.68,0.013793322
30/06/2011,11.52,0.013106348
29/06/2011,11.37,-0.032874933
28/06/2011,11.75,0.009405798
27/06/2011,11.64,0.019081238
24/06/2011,11.42,-0.016500591
23/06/2011,11.61,0.006047535
22/06/2011,11.54,0.013961832
21/06/2011,11.38,0.01326866
20/06/2011,11.23,0.012544967
17/06/2011,11.09,0.01179152
16/06/2011,10.96,0.015632502
15/06/2011,10.79,-0.031024386
14/06/2011,11.13,0.020881376
13/06/2011,10.9,0.012927235
10/06/2011,10.76,-0.010171146
09/06/2011,10.87,0.010171146
08/06/2011,10.76,-0.031109554
07/06/2011,11.1,-0.019625964
06/06/2011,11.32,-0.023571585
03/06/2011,11.59,-0.01030052
02/06/2011,11.71,-0.025296458
01/06/2011,12.01,-0.014055626
31/05/2011,12.18,0.01655667
27/05/2011,11.98,0.014291962
26/05/2011,11.81,0.027469538
25/05/2011,11.49,0.001742161
24/05/2011,11.47,-0.017286515
23/05/2011,11.67,-0.011078085
20/05/2011,11.8,0.003395589
19/05/2011,11.76,0.009397762
18/05/2011,11.65,0.016443469
17/05/2011,11.46,-0.018158735
16/05/2011,11.67,0.01990546
13/05/2011,11.44,-0.013026671
12/05/2011,11.59,-0.009446184
11/05/2011,11.7,-0.014425367
10/05/2011,11.87,0.005067578
09/05/2011,11.81,-0.010109606
06/05/2011,11.93,-0.010008424
05/05/2011,12.05,0.004991691
04/05/2011,11.99,0.005855307
03/05/2011,11.92,-0.014161003
02/05/2011,12.09,-0.028538423
29/04/2011,12.44,0.027711635
28/04/2011,12.1,0.005801923
27/04/2011,12.03,-0.015670424
26/04/2011,12.22,0.008216973
25/04/2011,12.12,0.010784012
21/04/2011,11.99,-0.014900938
20/04/2011,12.17,0.030027277
19/04/2011,11.81,0.011925184
18/04/2011,11.67,0.012069112
15/04/2011,11.53,0.01046217
14/04/2011,11.41,-0.006116227
