Date,Close,FTR
28/12/2011,4.81,-0.036738826
27/12/2011,4.99,-0.025718529
23/12/2011,5.12,0.003913899
22/12/2011,5.1,-0.001958864
21/12/2011,5.11,0.027779564
20/12/2011,4.97,0.028573372
19/12/2011,4.83,-0.018462063
16/12/2011,4.92,0.012270093
15/12/2011,4.86,-0.002055499
14/12/2011,4.87,-0.024341973
13/12/2011,4.99,-0.027669749
12/12/2011,5.13,-0.00583092
09/12/2011,5.16,-0.001936109
08/12/2011,5.17,-0.039815686
07/12/2011,5.38,-0.071715309
06/12/2011,5.78,0.001731602
05/12/2011,5.77,0.038874153
02/12/2011,5.55,-0.016086138
01/12/2011,5.64,-0.01408474
30/11/2011,5.72,0.044690189
29/11/2011,5.47,-0.003649639
28/11/2011,5.49,0.018382871
25/11/2011,5.39,0.007448824
23/11/2011,5.35,-0.025831695
22/11/2011,5.49,0.03711001
21/11/2011,5.29,-0.001888575
18/11/2011,5.3,-0.003766483
17/11/2011,5.32,-0.001877935
16/11/2011,5.33,-0.025927378
15/11/2011,5.47,-0.016319492
14/11/2011,5.56,-0.02311214
11/11/2011,5.69,0.012378584
10/11/2011,5.62,-0.012378584
09/11/2011,5.69,-0.017422043
08/11/2011,5.79,-0.008598505
07/11/2011,5.84,0.031306905
04/11/2011,5.66,-0.012291639
03/11/2011,5.73,-0.078833761
02/11/2011,6.2,0.02614528
01/11/2011,6.04,-0.035776173
31/10/2011,6.26,-0.003189795
28/10/2011,6.28,0.011209085
27/10/2011,6.21,0.029413885
26/10/2011,6.03,0.013355791
25/10/2011,5.95,-0.01169604
24/10/2011,6.02,-0.018107491
21/10/2011,6.13,0.009836145
20/10/2011,6.07,0.014938037
19/10/2011,5.98,-0.005004181
18/10/2011,6.01,0.010033529
17/10/2011,5.95,-0.003355708
14/10/2011,5.97,-0.005012542
13/10/2011,6,-0.004987542
12/10/2011,6.03,0.02179466
11/10/2011,5.9,-0.023451661
10/10/2011,6.04,0.02684725
07/10/2011,5.88,-0.006779687
06/10/2011,5.92,0.008481815
05/10/2011,5.87,0.041745192
04/10/2011,5.63,-0.00531445
03/10/2011,5.66,-0.076502881
30/09/2011,6.11,-0.01944956
29/09/2011,6.23,0.016181583
28/09/2011,6.13,-0.030524458
27/09/2011,6.32,-0.007880261
26/09/2011,6.37,0.014229489
23/09/2011,6.28,0.001593626
22/09/2011,6.27,-0.015823115
21/09/2011,6.37,-0.062377632
20/09/2011,6.78,-0.031933047
19/09/2011,7,-0.015592095
16/09/2011,7.11,0.011315538
15/09/2011,7.03,-0.01272102
14/09/2011,7.12,0.011299555
13/09/2011,7.04,0.014306396
12/09/2011,6.94,0.017442303
09/09/2011,6.82,-0.010211613
08/09/2011,6.89,-0.010108389
07/09/2011,6.96,-0.032511697
06/09/2011,7.19,-0.008310297
02/09/2011,7.25,-0.009608859
01/09/2011,7.32,-0.02295847
31/08/2011,7.49,0.001336006
30/08/2011,7.48,0.010752792
29/08/2011,7.4,0.024625047
26/08/2011,7.22,0.001386002
25/08/2011,7.21,-0.012405397
24/08/2011,7.3,0.019364367
23/08/2011,7.16,0.022599832
22/08/2011,7,0.004294924
19/08/2011,6.97,-0.02829043
18/08/2011,7.17,-0.019337619
17/08/2011,7.31,0.026335548
16/08/2011,7.12,-0.009783446
15/08/2011,7.19,0.033949512
12/08/2011,6.95,-0.012866511
11/08/2011,7.04,0.052490183
10/08/2011,6.68,-0.028046119
09/08/2011,6.87,0.075564637
08/08/2011,6.37,-0.05942342
05/08/2011,6.76,0.014903406
04/08/2011,6.66,-0.076571687
03/08/2011,7.19,-0.024726534
02/08/2011,7.37,-0.012137708
01/08/2011,7.46,-0.004013383
29/07/2011,7.49,0.002673798
28/07/2011,7.47,-0.005340467
27/07/2011,7.51,-0.02108115
26/07/2011,7.67,0.001304632
25/07/2011,7.66,-0.024501548
22/07/2011,7.85,0.006389798
21/07/2011,7.8,0.011605546
20/07/2011,7.71,-0.007751977
19/07/2011,7.77,0.024756965
18/07/2011,7.58,-0.017004988
15/07/2011,7.71,-0.014166367
14/07/2011,7.82,-0.013968481
13/07/2011,7.93,-0.002518893
12/07/2011,7.95,-0.006269613
11/07/2011,8,-0.024692613
08/07/2011,8.2,0.002442004
07/07/2011,8.18,0.004901971
06/07/2011,8.14,0.003692312
05/07/2011,8.11,-0.011036286
01/07/2011,8.2,0.015980672
30/06/2011,8.07,0.007462721
29/06/2011,8.01,0.007518832
28/06/2011,7.95,0.010113866
27/06/2011,7.87,0
24/06/2011,7.87,-0.015132697
23/06/2011,7.99,-0.004993768
22/06/2011,8.03,-0.003729029
21/06/2011,8.06,0.016260521
20/06/2011,7.93,0.007594973
17/06/2011,7.87,0.001271456
16/06/2011,7.86,0.005102052
15/06/2011,7.82,-0.005102052
14/06/2011,7.86,0.005102052
13/06/2011,7.82,-0.010178205
10/06/2011,7.9,-0.015075662
09/06/2011,8.02,0.012547216
08/06/2011,7.92,-0.016280886
07/06/2011,8.05,-0.038981793
06/06/2011,8.37,-0.017762456
03/06/2011,8.52,-0.018605188
02/06/2011,8.68,-0.002301497
01/06/2011,8.7,-0.017094433
31/05/2011,8.85,0.004530019
27/05/2011,8.81,0.004550634
26/05/2011,8.77,0.009163867
25/05/2011,8.69,-0.004592431
24/05/2011,8.73,0.004592431
23/05/2011,8.69,-0.013714501
20/05/2011,8.81,-0.007914117
19/05/2011,8.88,0.010186845
18/05/2011,8.79,-0.004540303
17/05/2011,8.83,0.015982075
16/05/2011,8.69,0.003458217
13/05/2011,8.66,-0.002306806
12/05/2011,8.68,0.010422793
11/05/2011,8.59,-0.017311454
10/05/2011,8.74,0.024320828
09/05/2011,8.53,0.011792589
06/05/2011,8.43,0.007142888
05/05/2011,8.37,0.015653541
04/05/2011,8.24,-0.014458083
03/05/2011,8.36,0.015672412
02/05/2011,8.23,-0.004848494
29/04/2011,8.27,0.009720611
28/04/2011,8.19,0.007352974
27/04/2011,8.13,-0.004907985
26/04/2011,8.17,0.019778148
25/04/2011,8.01,-0.003738322
21/04/2011,8.04,0.00874459
20/04/2011,7.97,0.005031457
19/04/2011,7.93,-0.005031457
18/04/2011,7.97,-0.012468989
15/04/2011,8.07,0.001239926
14/04/2011,8.06,-0.002478316
13/04/2011,8.08,0.011201113
12/04/2011,7.99,-0.002500001
11/04/2011,8.01,0.002500001
08/04/2011,7.99,-0.008722797
07/04/2011,8.06,-0.001239926
06/04/2011,8.07,0.001239926
05/04/2011,8.06,-0.004950505
04/04/2011,8.1,0
01/04/2011,8.1,-0.014706147
31/03/2011,8.22,0.037179003
30/03/2011,7.92,0.005063302
29/03/2011,7.88,-0.033690023
28/03/2011,8.15,0.007389196
25/03/2011,8.09,-0.006161449
24/03/2011,8.14,0.013605652
23/03/2011,8.03,-0.004968954
22/03/2011,8.07,0.001239926
21/03/2011,8.06,-0.008647367
18/03/2011,8.13,0.01113184
17/03/2011,8.04,0.011257155
16/03/2011,7.95,0.002518893
15/03/2011,7.93,0.007594973
14/03/2011,7.87,-0.006333143
11/03/2011,7.92,-0.003780723
10/03/2011,7.95,-0.016219944
09/03/2011,8.08,0.021264091
08/03/2011,7.91,-0.003785493
07/03/2011,7.94,-0.023647648
04/03/2011,8.13,-0.008573231
03/03/2011,8.2,-0.007290433
02/03/2011,8.26,-0.016807118
01/03/2011,8.4,-0.010657294
28/02/2011,8.49,0.008279172
25/02/2011,8.42,0.015559859
24/02/2011,8.29,-0.027366372
23/02/2011,8.52,-0.076787143
22/02/2011,9.2,-0.027868899
18/02/2011,9.46,0.003176286
17/02/2011,9.43,-0.002118645
16/02/2011,9.45,-0.002114166
15/02/2011,9.47,-0.008412247
14/02/2011,9.55,0.004197278
11/02/2011,9.51,0.006329135
10/02/2011,9.45,0.003179653
09/02/2011,9.42,-0.001061008
08/02/2011,9.43,0.003186407
07/02/2011,9.4,0.001064396
04/02/2011,9.39,0.00106553
03/02/2011,9.38,0.005344748
02/02/2011,9.33,0.003220615
01/02/2011,9.3,0.014077114
31/01/2011,9.17,0.010965022
28/01/2011,9.07,-0.00659343
27/01/2011,9.13,-0.002188185
26/01/2011,9.15,-0.002183407
25/01/2011,9.17,-0.005437751
24/01/2011,9.22,0.004347833
21/01/2011,9.18,0.002181026
20/01/2011,9.16,-0.005443672
19/01/2011,9.21,-0.017223246
18/01/2011,9.37,-0.002132197
14/01/2011,9.39,-0.004250803
13/01/2011,9.43,0
12/01/2011,9.43,0.005316334
11/01/2011,9.38,-0.013764114
10/01/2011,9.51,-0.008377012
07/01/2011,9.59,0.004179734
06/01/2011,9.55,-0.017644464
05/01/2011,9.72,0.010341354
04/01/2011,9.62,-0.015472201
03/01/2011,9.77,0.00410257
31/12/2010,9.73,0.007220248
30/12/2010,9.66,0
29/12/2010,9.66,0.00207254
28/12/2010,9.64,0.006243517
27/12/2010,9.58,0.008385793
23/12/2010,9.5,0.001053186
22/12/2010,9.49,0.004223871
21/12/2010,9.45,0.007434978
20/12/2010,9.38,0.013956211
17/12/2010,9.25,-0.019272545
16/12/2010,9.43,0.010661082
15/12/2010,9.33,-0.001071237
14/12/2010,9.34,0.001071237
13/12/2010,9.33,-0.004278081
10/12/2010,9.37,-0.001066667
09/12/2010,9.38,0.022642477
08/12/2010,9.17,0.006564575
07/12/2010,9.11,-0.038756196
06/12/2010,9.47,0.001056524
03/12/2010,9.46,0.00742709
02/12/2010,9.39,0.008556202
01/12/2010,9.31,0.022814678
30/11/2010,9.1,-0.002195391
29/11/2010,9.12,0.002195391
26/11/2010,9.1,0.002200221
24/11/2010,9.08,0.005521825
23/11/2010,9.03,-0.014293811
22/11/2010,9.16,-0.001091108
19/11/2010,9.17,0.007662873
18/11/2010,9.1,0.005509656
17/11/2010,9.05,0.014468811
16/11/2010,8.92,-0.019978467
15/11/2010,9.1,0.011049836
12/11/2010,9,-0.016529302
11/11/2010,9.15,-0.018408749
10/11/2010,9.32,0.018408749
09/11/2010,9.15,0.003284075
08/11/2010,9.12,0.013245227
05/11/2010,9,-0.002219757
04/11/2010,9.02,0.004444452
03/11/2010,8.98,0.020248161
02/11/2010,8.8,0.016036999
01/11/2010,8.66,-0.013761685
29/10/2010,8.78,0.009153382
28/10/2010,8.7,0
27/10/2010,8.7,-0.002296212
26/10/2010,8.72,0.002296212
25/10/2010,8.7,-0.010291686
22/10/2010,8.79,0.001138304
21/10/2010,8.78,-0.002275314
20/10/2010,8.8,0.014882931
19/10/2010,8.67,0.005783706
18/10/2010,8.62,0.009324077
15/10/2010,8.54,-0.036785757
14/10/2010,8.86,0.02746168
13/10/2010,8.62,-0.00115942
12/10/2010,8.63,0.003482302
11/10/2010,8.6,0.024721683
08/10/2010,8.39,0.002386636
07/10/2010,8.37,-0.003577821
06/10/2010,8.4,0.001191185
05/10/2010,8.39,0.02534837
04/10/2010,8.18,0
01/10/2010,8.18,0.001223242
30/09/2010,8.17,0
29/09/2010,8.17,0
28/09/2010,8.17,-0.008531435
27/09/2010,8.24,0.020846862
24/09/2010,8.07,0.002481391
23/09/2010,8.05,-0.00619197
22/09/2010,8.1,0.001235331
21/09/2010,8.09,-0.01106342
20/09/2010,8.18,0.027263151
17/09/2010,7.96,0.010101096
16/09/2010,7.88,0.00508907
15/09/2010,7.84,0.019318051
14/09/2010,7.69,0.001301236
13/09/2010,7.68,-0.005194817
10/09/2010,7.72,0.00780238
09/09/2010,7.66,0.01446442
08/09/2010,7.55,-0.01446442
07/09/2010,7.66,-0.035901292
03/09/2010,7.94,0.00631714
02/09/2010,7.89,0.0063573
01/09/2010,7.84,0.014129972
31/08/2010,7.73,0.003888534
30/08/2010,7.7,0
27/08/2010,7.7,0.005208345
26/08/2010,7.66,0.01446442
25/08/2010,7.55,-0.006600684
24/08/2010,7.6,-0.013072082
23/08/2010,7.7,-0.002594035
20/08/2010,7.72,-0.009026496
19/08/2010,7.79,-0.008945747
18/08/2010,7.86,0.028389003
17/08/2010,7.64,0.005249356
16/08/2010,7.6,0
13/08/2010,7.6,0
12/08/2010,7.6,-0.005249356
11/08/2010,7.64,-0.020726131
10/08/2010,7.8,0.009014871
09/08/2010,7.73,0.010403215
06/08/2010,7.65,0.011834458
05/08/2010,7.56,-0.00790518
04/08/2010,7.62,-0.006540246
03/08/2010,7.67,-0.005201572
02/08/2010,7.71,0.009120584
30/07/2010,7.64,-0.007822726
29/07/2010,7.7,0
28/07/2010,7.7,-0.005181359
27/07/2010,7.74,0.020888488
26/07/2010,7.58,0.019987341
23/07/2010,7.43,0.012187016
22/07/2010,7.34,0.001363327
21/07/2010,7.33,-0.021593282
20/07/2010,7.49,0.020229955
19/07/2010,7.34,-0.006788892
16/07/2010,7.39,0.006788892
15/07/2010,7.34,0.002728515
14/07/2010,7.32,0.017919156
13/07/2010,7.19,-0.001389854
12/07/2010,7.2,-0.026046709
09/07/2010,7.39,-0.014775286
08/07/2010,7.5,0.044997366
07/07/2010,7.17,0.019718949
06/07/2010,7.03,-0.044513607
02/07/2010,7.35,-0.04522047
01/07/2010,7.69,0.07841854
30/06/2010,7.11,-0.012578782
29/06/2010,7.2,-0.038151766
28/06/2010,7.48,-0.009314771
25/06/2010,7.55,-0.006600684
24/06/2010,7.6,0.00395518
23/06/2010,7.57,-0.015727716
22/06/2010,7.69,-0.021865823
21/06/2010,7.86,0.003824096
18/06/2010,7.83,-0.013950765
17/06/2010,7.94,0.002522069
