Date,Close,CF
18/04/2012,186.27,-0.00257359
17/04/2012,186.75,0.02148758
16/04/2012,182.78,-0.018806613
13/04/2012,186.25,-0.014074978
12/04/2012,188.89,0.037982664
11/04/2012,181.85,0.015572927
10/04/2012,179.04,-0.020455133
09/04/2012,182.74,-0.02111725
05/04/2012,186.64,-0.002461606
04/04/2012,187.1,-0.006286983
03/04/2012,188.28,0.002605899
02/04/2012,187.79,0.027752564
30/03/2012,182.65,0.017396545
29/03/2012,179.5,-0.019966468
28/03/2012,183.12,-0.023797157
27/03/2012,187.53,-0.002662692
26/03/2012,188.03,-0.003874842
23/03/2012,188.76,0.034055015
22/03/2012,182.44,-0.019540353
21/03/2012,186.04,0.011080296
20/03/2012,183.99,0.004466725
19/03/2012,183.17,-0.005661728
16/03/2012,184.21,0.016750994
15/03/2012,181.15,-0.001930236
14/03/2012,181.5,0.006799927
13/03/2012,180.27,0.001498876
12/03/2012,180,0.007080564
09/03/2012,178.73,-0.023609866
08/03/2012,183,0.039911662
07/03/2012,175.84,0.039853306
06/03/2012,168.97,-0.05195
05/03/2012,177.98,-0.056099682
02/03/2012,188.25,-0.00519234
01/03/2012,189.23,0.017216533
29/02/2012,186,-0.029454402
28/02/2012,191.56,0.012766466
27/02/2012,189.13,0.028151238
24/02/2012,183.88,-0.018535013
23/02/2012,187.32,0.00685668
22/02/2012,186.04,0.00939684
21/02/2012,184.3,0.030073313
17/02/2012,178.84,0.016632752
16/02/2012,175.89,-0.018532088
15/02/2012,179.18,0.007169292
14/02/2012,177.9,-0.02448694
13/02/2012,182.31,0.011918698
10/02/2012,180.15,-0.030504169
09/02/2012,185.73,-0.020147787
08/02/2012,189.51,0.005343787
07/02/2012,188.5,0.005745919
06/02/2012,187.42,0.003581264
03/02/2012,186.75,0.024117142
02/02/2012,182.3,-0.008248934
01/02/2012,183.81,0.035608291
31/01/2012,177.38,0.001805666
30/01/2012,177.06,-0.014187817
27/01/2012,179.59,0.031333861
26/01/2012,174.05,-0.039485854
25/01/2012,181.06,0.049243155
24/01/2012,172.36,-0.006477006
23/01/2012,173.48,-0.011519742
20/01/2012,175.49,0.024866427
19/01/2012,171.18,0.020002437
18/01/2012,167.79,-0.028726973
17/01/2012,172.68,0.000753121
13/01/2012,172.55,0.036953797
12/01/2012,166.29,-0.005218185
11/01/2012,167.16,0.005699388
10/01/2012,166.21,0.039329016
09/01/2012,159.8,0.011391293
06/01/2012,157.99,-0.010514814
05/01/2012,159.66,0.010514814
04/01/2012,157.99,0.026813665
03/01/2012,153.81,0.059122273
30/12/2011,144.98,0.006851949
29/12/2011,143.99,0.01215778
28/12/2011,142.25,-0.024718331
27/12/2011,145.81,0.01144998
23/12/2011,144.15,0.009829631
22/12/2011,142.74,0.032105829
21/12/2011,138.23,0.002172654
20/12/2011,137.93,0.06021236
19/12/2011,129.87,-0.000153988
16/12/2011,129.89,-0.002076524
15/12/2011,130.16,0.001460808
14/12/2011,129.97,-0.035894896
13/12/2011,134.72,-0.033790203
12/12/2011,139.35,-0.015734902
09/12/2011,141.56,-0.002610323
08/12/2011,141.93,-0.034894506
07/12/2011,146.97,0.001021138
06/12/2011,146.82,0.041937928
05/12/2011,140.79,0.000426257
02/12/2011,140.73,-0.043453362
01/12/2011,146.98,0.050083693
30/11/2011,139.8,-0.027932413
29/11/2011,143.76,-0.015735314
28/11/2011,146.04,0.044025445
25/11/2011,139.75,-0.035498368
23/11/2011,144.8,-0.042058798
22/11/2011,151.02,0.011119734
21/11/2011,149.35,-0.015480494
18/11/2011,151.68,0.023277804
17/11/2011,148.19,-0.119378811
16/11/2011,166.98,-0.015037877
15/11/2011,169.51,-0.00857618
14/11/2011,170.97,-0.009604544
11/11/2011,172.62,0.020365872
10/11/2011,169.14,0.018257174
09/11/2011,166.08,-0.060397916
08/11/2011,176.42,0.013697281
07/11/2011,174.02,0.001149954
04/11/2011,173.82,-0.00287241
03/11/2011,174.32,0.029161336
02/11/2011,169.31,0.065156908
01/11/2011,158.63,-0.022687168
31/10/2011,162.27,-0.047360013
28/10/2011,170.14,0.012598126
27/10/2011,168.01,0.038837476
26/10/2011,161.61,0.023224104
25/10/2011,157.9,-0.007822397
24/10/2011,159.14,0.036735429
21/10/2011,153.4,0.040509679
20/10/2011,147.31,0.026064812
19/10/2011,143.52,-0.034851026
18/10/2011,148.61,0.022937878
17/10/2011,145.24,-0.035575538
14/10/2011,150.5,0.019999324
13/10/2011,147.52,0.01999245
12/10/2011,144.6,-0.015167924
11/10/2011,146.81,0.04471497
10/10/2011,140.39,0.041299944
07/10/2011,134.71,-0.057900474
06/10/2011,142.74,0.066623735
05/10/2011,133.54,0.073313366
04/10/2011,124.1,0.02546245
03/10/2011,120.98,-0.019724828
