Date,Close,TWC
07/02/2011,69.5,0.005048694
04/02/2011,69.15,-0.004185012
03/02/2011,69.44,0.001585357
02/02/2011,69.33,0.008691928
01/02/2011,68.73,0.01318121
31/01/2011,67.83,0.010522513
28/01/2011,67.12,-0.031241083
27/01/2011,69.25,0.017039661
26/01/2011,68.08,0.00264745
25/01/2011,67.9,0.002949855
24/01/2011,67.7,0.006223164
21/01/2011,67.28,0.002828014
20/01/2011,67.09,0.011091241
19/01/2011,66.35,0.007260658
18/01/2011,65.87,0.003954979
14/01/2011,65.61,0.007189324
13/01/2011,65.14,0.003537105
12/01/2011,64.91,-0.018318326
11/01/2011,66.11,-0.002266376
10/01/2011,66.26,-0.0073679
07/01/2011,66.75,0.003151027
06/01/2011,66.54,-0.012099632
05/01/2011,67.35,-0.000445335
04/01/2011,67.38,0.002823811
03/01/2011,67.19,0.017415243
31/12/2010,66.03,-0.001210837
30/12/2010,66.11,0.000605235
29/12/2010,66.07,0.000151366
28/12/2010,66.06,0.001363327
27/12/2010,65.97,0.009136656
23/12/2010,65.37,-0.002139365
22/12/2010,65.51,-0.004872859
21/12/2010,65.83,0.00869637
20/12/2010,65.26,-0.000612745
17/12/2010,65.3,0.011087271
16/12/2010,64.58,0.001394592
15/12/2010,64.49,-0.006953594
14/12/2010,64.94,0.004785067
13/12/2010,64.63,-0.011231751
10/12/2010,65.36,-0.011409571
09/12/2010,66.11,0.008659378
08/12/2010,65.54,0.008581113
07/12/2010,64.98,-0.017240491
06/12/2010,66.11,0.000453892
03/12/2010,66.08,0.019714859
02/12/2010,64.79,0.012268187
01/12/2010,64,0.039195713
30/11/2010,61.54,-0.000487369
29/11/2010,61.57,0.004558041
26/11/2010,61.29,-0.012001441
24/11/2010,62.03,0.011512085
23/11/2010,61.32,-0.01681799
22/11/2010,62.36,-0.005277901
19/11/2010,62.69,-0.000956633
18/11/2010,62.75,0.012185496
17/11/2010,61.99,-0.001289699
16/11/2010,62.07,-0.00802315
15/11/2010,62.57,-0.002075518
12/11/2010,62.7,0.011065785
11/11/2010,62.01,-0.004023503
10/11/2010,62.26,0.005637447
09/11/2010,61.91,-0.002258794
08/11/2010,62.05,0
05/11/2010,62.05,-0.004502339
04/11/2010,62.33,0.043781072
03/11/2010,59.66,0.020661192
02/11/2010,58.44,0.014130857
01/11/2010,57.62,-0.004329386
29/10/2010,57.87,-0.009972572
28/10/2010,58.45,0.011009917
27/10/2010,57.81,0.003118506
26/10/2010,57.63,-0.004328636
25/10/2010,57.88,0.00850183
22/10/2010,57.39,-0.002610286
21/10/2010,57.54,-0.00104221
20/10/2010,57.6,0.006094925
19/10/2010,57.25,-0.005921299
18/10/2010,57.59,0.017339956
15/10/2010,56.6,0.007448164
14/10/2010,56.18,-0.000533855
13/10/2010,56.21,0.002672131
12/10/2010,56.06,-0.001782214
11/10/2010,56.16,0.011641575
08/10/2010,55.51,0.008502991
07/10/2010,55.04,-0.01066243
06/10/2010,55.63,-0.007164637
05/10/2010,56.03,0.018554076
04/10/2010,55,0.006201005
01/10/2010,54.66,0.012333336
30/09/2010,53.99,-0.007932889
29/09/2010,54.42,-0.005680272
28/09/2010,54.73,0.028917678
27/09/2010,53.17,0.001129093
24/09/2010,53.11,0.027875039
23/09/2010,51.65,0.010510023
22/09/2010,51.11,-0.029875981
21/09/2010,52.66,-0.002465625
20/09/2010,52.79,0.035280768
17/09/2010,50.96,0
16/09/2010,50.96,-0.028437935
15/09/2010,52.43,-0.050940381
14/09/2010,55.17,-0.023290196
13/09/2010,56.47,0.012832113
10/09/2010,55.75,0.014999829
09/09/2010,54.92,0.0001821
08/09/2010,54.91,0.018008572
07/09/2010,53.93,-0.033011113
03/09/2010,55.74,0.018834313
02/09/2010,54.7,0.013250102
01/09/2010,53.98,0.0456735
31/08/2010,51.57,-0.004836067
30/08/2010,51.82,0.002898833
27/08/2010,51.67,0.013836331
26/08/2010,50.96,-0.013836331
25/08/2010,51.67,0.00368396
24/08/2010,51.48,-0.027776903
23/08/2010,52.93,-0.01611729
20/08/2010,53.79,-0.004821968
19/08/2010,54.05,-0.037582711
18/08/2010,56.12,0.01056884
17/08/2010,55.53,0.015791235
16/08/2010,54.66,0.005871577
13/08/2010,54.34,-0.013344499
12/08/2010,55.07,0.003273921
11/08/2010,54.89,-0.031207698
10/08/2010,56.63,0
09/08/2010,56.63,0.014585815
06/08/2010,55.81,-0.045020301
05/08/2010,58.38,-0.010903004
04/08/2010,59.02,0.00902057
03/08/2010,58.49,-0.009867382
02/08/2010,59.07,0.032693896
30/07/2010,57.17,0.026947208
29/07/2010,55.65,-0.006091026
28/07/2010,55.99,0.007169774
27/07/2010,55.59,-0.026800788
26/07/2010,57.1,0.000700771
23/07/2010,57.06,0.035316672
22/07/2010,55.08,0.030040036
21/07/2010,53.45,-0.033845423
20/07/2010,55.29,-0.007567604
19/07/2010,55.71,0.029325478
16/07/2010,54.1,-0.035766724
15/07/2010,56.07,-0.002137895
14/07/2010,56.19,-0.009916851
13/07/2010,56.75,0.027692703
12/07/2010,55.2,-0.007040376
09/07/2010,55.59,0.003784811
08/07/2010,55.38,0.01253764
07/07/2010,54.69,0.03991578
06/07/2010,52.55,0.008024499
02/07/2010,52.13,-0.005356814
01/07/2010,52.41,0.006316415
30/06/2010,52.08,-0.029327615
29/06/2010,53.63,-0.022493574
28/06/2010,54.85,0.011921278
25/06/2010,54.2,0.010572295
24/06/2010,53.63,-0.014439348
23/06/2010,54.41,0.004236124
22/06/2010,54.18,-0.015021349
21/06/2010,55,-0.002904868
18/06/2010,55.16,-0.005784543
17/06/2010,55.48,-0.001440922
16/06/2010,55.56,0.00813233
15/06/2010,55.11,0.007833176
14/06/2010,54.68,0.020508802
11/06/2010,53.57,0.00580363
10/06/2010,53.26,0.031663908
09/06/2010,51.6,-0.011369233
08/06/2010,52.19,-0.004397292
07/06/2010,52.42,-0.027285539
04/06/2010,53.87,-0.038420747
03/06/2010,55.98,0.020939393
02/06/2010,54.82,0.009715043
01/06/2010,54.29,-0.008071957
28/05/2010,54.73,-0.006919183
27/05/2010,55.11,0.040360902
26/05/2010,52.93,0.015997294
25/05/2010,52.09,0.027836347
24/05/2010,50.66,-0.004136714
21/05/2010,50.87,0.038882654
20/05/2010,48.93,-0.045153495
19/05/2010,51.19,-0.006231763
18/05/2010,51.51,-0.018465614
17/05/2010,52.47,0.016719905
14/05/2010,51.6,-0.01213537
13/05/2010,52.23,0.020699066
12/05/2010,51.16,0.021935471
