Date,Close,C
18/12/2009,3.4,0.060624622
17/12/2009,3.2,-0.075223421
16/12/2009,3.45,-0.031386314
15/12/2009,3.56,-0.038572275
14/12/2009,3.7,-0.065382759
11/12/2009,3.95,0.020461072
10/12/2009,3.87,0.002587324
09/12/2009,3.86,-0.012870191
08/12/2009,3.91,-0.030229002
07/12/2009,4.03,-0.007416598
04/12/2009,4.06,0.002466092
03/12/2009,4.05,-0.012270093
02/12/2009,4.1,0
01/12/2009,4.1,-0.002436055
30/11/2009,4.11,0.012240055
27/11/2009,4.06,-0.026733062
25/11/2009,4.17,-0.009546612
24/11/2009,4.21,-0.016490362
23/11/2009,4.28,0.018868484
20/11/2009,4.2,-0.014184635
19/11/2009,4.26,-0.007017573
18/11/2009,4.29,0.011723464
17/11/2009,4.24,0.014252023
16/11/2009,4.18,0.031594365
13/11/2009,4.05,-0.002466092
12/11/2009,4.06,-0.024332101
11/11/2009,4.16,-0.004796172
10/11/2009,4.18,-0.002389487
09/11/2009,4.19,0.03151776
06/11/2009,4.06,0
05/11/2009,4.06,0.022416879
04/11/2009,3.97,-0.017478597
03/11/2009,4.04,0.012453461
02/11/2009,3.99,-0.024753739
30/10/2009,4.09,-0.052392934
29/10/2009,4.31,0.054840916
28/10/2009,4.08,-0.045516839
27/10/2009,4.27,0
26/10/2009,4.27,-0.043534939
23/10/2009,4.46,0
22/10/2009,4.46,0.00900907
21/10/2009,4.42,-0.002259888
20/10/2009,4.43,-0.024527428
19/10/2009,4.54,-0.010953012
16/10/2009,4.59,-0.034264594
15/10/2009,4.75,-0.051293294
14/10/2009,5,0.034591445
13/10/2009,4.83,0.012500163
12/10/2009,4.77,0.029789437
09/10/2009,4.63,-0.004310352
08/10/2009,4.65,0.002152853
07/10/2009,4.64,-0.006444705
06/10/2009,4.67,0
05/10/2009,4.67,0.032647078
02/10/2009,4.52,-0.002209946
01/10/2009,4.53,-0.066192781
30/09/2009,4.84,0.029352212
29/09/2009,4.7,0.028049304
28/09/2009,4.57,0.042464481
