Date,Close,HIG
09/07/2012,16.82,-0.011232752
06/07/2012,17.01,-0.014590279
05/07/2012,17.26,-0.030244816
03/07/2012,17.79,0.019296853
02/07/2012,17.45,-0.010262348
29/06/2012,17.63,0.038744366
28/06/2012,16.96,0.001179941
27/06/2012,16.94,0.024500777
26/06/2012,16.53,0.010949014
25/06/2012,16.35,-0.040161226
22/06/2012,17.02,0.015990865
21/06/2012,16.75,-0.035770451
20/06/2012,17.36,0.005197817
19/06/2012,17.27,0.034760495
18/06/2012,16.68,-0.019591009
15/06/2012,17.01,0.007671917
14/06/2012,16.88,0.007134394
13/06/2012,16.76,-0.013629841
12/06/2012,16.99,0.017815198
11/06/2012,16.69,-0.028353937
08/06/2012,17.17,-0.006964625
07/06/2012,17.29,0.007547206
06/06/2012,17.16,0.052029671
05/06/2012,16.29,0.011732151
04/06/2012,16.1,-0.00495664
01/06/2012,16.18,-0.038792743
31/05/2012,16.82,-0.006518542
30/05/2012,16.93,-0.046170924
29/05/2012,17.73,0.022819016
25/05/2012,17.33,0.005206838
24/05/2012,17.24,-0.00115942
23/05/2012,17.26,0.009313222
22/05/2012,17.1,-0.005249356
21/05/2012,17.19,0.007005283
18/05/2012,17.07,-0.013383965
17/05/2012,17.3,-0.054006374
16/05/2012,18.26,-0.034449047
15/05/2012,18.9,-0.010002716
14/05/2012,19.09,-0.032975682
11/05/2012,19.73,-0.001013171
10/05/2012,19.75,0.001520142
09/05/2012,19.72,0.001014713
08/05/2012,19.7,0.001524003
07/05/2012,19.67,0.000508518
04/05/2012,19.66,-0.01364002
03/05/2012,19.93,-0.024778275
02/05/2012,20.43,-0.020829041
01/05/2012,20.86,0.014972509
30/04/2012,20.55,-0.010648697
27/04/2012,20.77,-0.000481348
26/04/2012,20.78,0.001444739
25/04/2012,20.75,0.018483016
24/04/2012,20.37,0.011355343
23/04/2012,20.14,0.004977611
20/04/2012,20.04,-0.001495887
19/04/2012,20.07,0.00049838
18/04/2012,20.06,-0.023646422
17/04/2012,20.54,0.021654389
16/04/2012,20.1,-0.002484473
13/04/2012,20.15,-0.020629415
12/04/2012,20.57,0.03060456
11/04/2012,19.95,0.007547206
10/04/2012,19.8,-0.029852963
09/04/2012,20.4,-0.030890487
05/04/2012,21.04,-0.007575794
04/04/2012,21.2,-0.02146606
03/04/2012,21.66,-0.013299898
02/04/2012,21.95,0.040442416
30/03/2012,21.08,0.002374734
29/03/2012,21.03,-0.01510175
28/03/2012,21.35,-0.007001195
27/03/2012,21.5,-0.02344396
26/03/2012,22.01,0.027638793
23/03/2012,21.41,0.00515103
22/03/2012,21.3,-0.033244059
21/03/2012,22.02,0.014178147
20/03/2012,21.71,0.000460723
19/03/2012,21.7,-0.00597291
16/03/2012,21.83,0.006433846
15/03/2012,21.69,0.041898338
14/03/2012,20.8,-0.002880463
13/03/2012,20.86,0.039604296
12/03/2012,20.05,-0.000997009
09/03/2012,20.07,0.007501911
08/03/2012,19.92,0.021822739
07/03/2012,19.49,0.007209094
06/03/2012,19.35,-0.03951882
05/03/2012,20.13,-0.014303573
02/03/2012,20.42,-0.011684651
01/03/2012,20.66,-0.002417212
29/02/2012,20.71,0.003870348
28/02/2012,20.63,0.006809365
27/02/2012,20.49,0.000488162
24/02/2012,20.48,-0.005842276
23/02/2012,20.6,0.024073872
22/02/2012,20.11,-0.041398656
21/02/2012,20.96,-0.032389595
17/02/2012,21.65,0.021476082
16/02/2012,21.19,0.044387412
15/02/2012,20.27,0.0229551
14/02/2012,19.81,-0.02097979
13/02/2012,20.23,0.016446919
10/02/2012,19.9,-0.025795081
09/02/2012,20.42,-0.007804918
08/02/2012,20.58,0.073584823
07/02/2012,19.12,-0.010923386
06/02/2012,19.33,-0.002067184
03/02/2012,19.37,0.044874248
02/02/2012,18.52,0.016880335
01/02/2012,18.21,0.038627808
31/01/2012,17.52,0.003430535
30/01/2012,17.46,-0.006280352
27/01/2012,17.57,0.000569314
26/01/2012,17.56,-0.035798006
25/01/2012,18.2,-0.021739987
24/01/2012,18.6,-0.001611604
23/01/2012,18.63,0.005382144
20/01/2012,18.53,0.010306573
19/01/2012,18.34,0.012620195
18/01/2012,18.11,0.025728489
17/01/2012,17.65,-0.009585639
13/01/2012,17.82,-0.021649472
12/01/2012,18.21,0.017728996
11/01/2012,17.89,0.013506114
10/01/2012,17.65,0.055926046
09/01/2012,16.69,0.019359346
06/01/2012,16.37,-0.019958328
05/01/2012,16.7,0.00841857
04/01/2012,16.56,-0.014983798
03/01/2012,16.81,0.033881039
30/12/2011,16.25,-0.008578484
29/12/2011,16.39,0.019717213
28/12/2011,16.07,-0.017273718
27/12/2011,16.35,-0.027150989
23/12/2011,16.8,0.010772097
22/12/2011,16.62,0.021898685
21/12/2011,16.26,0.021760262
20/12/2011,15.91,0.06156787
19/12/2011,14.96,-0.045729718
16/12/2011,15.66,-0.019602272
15/12/2011,15.97,-0.015533086
14/12/2011,16.22,0.006184312
13/12/2011,16.12,-0.024511031
12/12/2011,16.52,-0.057057521
09/12/2011,17.49,0.016719905
08/12/2011,17.2,-0.085217133
07/12/2011,18.73,0.011275287
06/12/2011,18.52,0.001080497
05/12/2011,18.5,0.032411516
02/12/2011,17.91,0.002235887
01/12/2011,17.87,0.006174592
30/11/2011,17.76,0.080277345
29/11/2011,16.39,-0.003045997
28/11/2011,16.44,0.061461346
25/11/2011,15.46,-0.012853647
23/11/2011,15.66,-0.043729641
22/11/2011,16.36,-0.017570885
21/11/2011,16.65,-0.036560676
18/11/2011,17.27,0.003480282
17/11/2011,17.21,-0.021839949
16/11/2011,17.59,-0.006234081
15/11/2011,17.7,0.009650941
14/11/2011,17.53,-0.00341686
11/11/2011,17.59,0.028252095
10/11/2011,17.1,0.003514942
09/11/2011,17.04,-0.052026594
08/11/2011,17.95,0.004466786
07/11/2011,17.87,0.002240897
04/11/2011,17.83,-0.003918281
03/11/2011,17.9,-0.059111812
02/11/2011,18.99,0.041941631
01/11/2011,18.21,-0.055540167
31/10/2011,19.25,-0.051137438
28/10/2011,20.26,-0.000493462
27/10/2011,20.27,0.0892114
26/10/2011,18.54,0.032340445
25/10/2011,17.95,-0.066799195
24/10/2011,19.19,0
21/10/2011,19.19,0.021064497
20/10/2011,18.79,0.023150428
19/10/2011,18.36,-0.021552558
18/10/2011,18.76,0.054778206
17/10/2011,17.76,-0.039199057
14/10/2011,18.47,0.028000731
13/10/2011,17.96,-0.026917308
12/10/2011,18.45,0.030263658
11/10/2011,17.9,0.006164211
10/10/2011,17.79,0.047778871
07/10/2011,16.96,-0.040444565
06/10/2011,17.66,0.041034361
05/10/2011,16.95,0.065207378
04/10/2011,15.88,0.062357861
03/10/2011,14.92,-0.078598068
30/09/2011,16.14,-0.058362425
29/09/2011,17.11,0.078388126
28/09/2011,15.82,-0.046318869
27/09/2011,16.57,-0.000603318
26/09/2011,16.58,0.03124297
23/09/2011,16.07,0.004990653
22/09/2011,15.99,-0.035630305
21/09/2011,16.57,-0.078881456
20/09/2011,17.93,-0.021518072
19/09/2011,18.32,-0.033282729
16/09/2011,18.94,0.001056524
15/09/2011,18.92,0.039897475
14/09/2011,18.18,0.046729582
13/09/2011,17.35,0.00984659
12/09/2011,17.18,0.031936481
09/09/2011,16.64,-0.038897066
08/09/2011,17.3,-0.03017593
07/09/2011,17.83,0.064875089
06/09/2011,16.71,-0.030644708
02/09/2011,17.23,-0.060249009
01/09/2011,18.3,-0.044879326
31/08/2011,19.14,-0.00625002
30/08/2011,19.26,-0.008273056
29/08/2011,19.42,0.121975643
26/08/2011,17.19,0.014059986
25/08/2011,16.95,-0.029644717
24/08/2011,17.46,0.034968598
23/08/2011,16.86,-0.010619569
22/08/2011,17.04,-0.039130424
19/08/2011,17.72,-0.029471135
18/08/2011,18.25,-0.101517524
17/08/2011,20.2,-0.002472189
16/08/2011,20.25,-0.021978907
15/08/2011,20.7,0.040922644
12/08/2011,19.87,-0.015976376
11/08/2011,20.19,0.106516872
10/08/2011,18.15,-0.115883467
09/08/2011,20.38,0.144384977
08/08/2011,17.64,-0.153664653
05/08/2011,20.57,-0.017827502
04/08/2011,20.94,-0.064717588
03/08/2011,22.34,0.019892157
02/08/2011,21.9,-0.049007579
01/08/2011,23,-0.018096142
29/07/2011,23.42,0.001709402
28/07/2011,23.38,0.012914514
27/07/2011,23.08,-0.022703909
26/07/2011,23.61,-0.002960459
25/07/2011,23.68,-0.00799163
22/07/2011,23.87,-0.012489754
21/07/2011,24.17,0.011233736
20/07/2011,23.9,0.00671707
19/07/2011,23.74,0.011438379
18/07/2011,23.47,-0.038040114
15/07/2011,24.38,-0.020301144
14/07/2011,24.88,-0.028528084
13/07/2011,25.6,0.001563722
12/07/2011,25.56,0.018160783
11/07/2011,25.1,-0.045559758
08/07/2011,26.27,-0.028519757
07/07/2011,27.03,0.01942534
06/07/2011,26.51,0
05/07/2011,26.51,-0.020164985
01/07/2011,27.05,0.025460005
30/06/2011,26.37,0.013745921
29/06/2011,26.01,0.023731905
28/06/2011,25.4,0.025923685
27/06/2011,24.75,0.001212856
24/06/2011,24.72,0.015080783
23/06/2011,24.35,-0.011027271
22/06/2011,24.62,-0.011710209
21/06/2011,24.91,0.02602831
20/06/2011,24.27,-0.006980115
17/06/2011,24.44,0.013594442
16/06/2011,24.11,0.012521032
15/06/2011,23.81,-0.049170084
14/06/2011,25.01,0.021419287
13/06/2011,24.48,0.009027554
10/06/2011,24.26,-0.015947997
09/06/2011,24.65,0.009374432
08/06/2011,24.42,-0.013826979
07/06/2011,24.76,-0.006039881
06/06/2011,24.91,-0.02066025
03/06/2011,25.43,-0.015994099
02/06/2011,25.84,0.007770047
01/06/2011,25.64,-0.038635519
31/05/2011,26.65,0.004512982
27/05/2011,26.53,0.005670021
26/05/2011,26.38,0
25/05/2011,26.38,-0.001136579
24/05/2011,26.41,-0.004910303
23/05/2011,26.54,-0.020511627
20/05/2011,27.09,-0.014657646
19/05/2011,27.49,-0.001454017
18/05/2011,27.53,0.004733306
17/05/2011,27.4,-0.009082715
16/05/2011,27.65,0.002897503
13/05/2011,27.57,-0.013688975
12/05/2011,27.95,0.014051753
11/05/2011,27.56,-0.001450327
10/05/2011,27.6,0.024203602
09/05/2011,26.94,-0.019846296
06/05/2011,27.48,0.013924739
05/05/2011,27.1,-0.034454904
04/05/2011,28.05,-0.018718541
03/05/2011,28.58,-0.008362418
02/05/2011,28.82,-0.005191221
29/04/2011,28.97,0.001381693
28/04/2011,28.93,0.032674609
27/04/2011,28,0.017654935
26/04/2011,27.51,0.012804272
25/04/2011,27.16,-0.013894191
21/04/2011,27.54,0.013158085
