Date,Close,CME
22/06/2011,281.33,-0.005246937
21/06/2011,282.81,0.013850292
20/06/2011,278.92,0.003735637
17/06/2011,277.88,0.010345544
16/06/2011,275.02,0.01413477
15/06/2011,271.16,-0.013261725
14/06/2011,274.78,0.010095184
13/06/2011,272.02,0.013881657
10/06/2011,268.27,0.007558219
09/06/2011,266.25,0.015175602
08/06/2011,262.24,-0.014161003
07/06/2011,265.98,-0.000601368
06/06/2011,266.14,-0.0220369
03/06/2011,272.07,-0.023466387
02/06/2011,278.53,0.002372395
01/06/2011,277.87,-0.027998919
31/05/2011,285.76,0.009175505
27/05/2011,283.15,-0.003384695
26/05/2011,284.11,-0.007643796
25/05/2011,286.29,-0.013185937
24/05/2011,290.09,-0.017936015
23/05/2011,295.34,-0.010140059
20/05/2011,298.35,-0.003579976
19/05/2011,299.42,0.007307377
18/05/2011,297.24,0.006751308
17/05/2011,295.24,-0.010746815
16/05/2011,298.43,0.013731891
13/05/2011,294.36,-0.011081194
12/05/2011,297.64,0.002017893
11/05/2011,297.04,-0.005874176
10/05/2011,298.79,0.012731731
09/05/2011,295.01,0.011660548
06/05/2011,291.59,0.019252006
05/05/2011,286.03,-0.004186588
04/05/2011,287.23,-0.01551115
03/05/2011,291.72,-0.01840897
02/05/2011,297.14,0.004621283
29/04/2011,295.77,-0.027610036
28/04/2011,304.05,-0.019025234
27/04/2011,309.89,-0.002706972
26/04/2011,310.73,0.011262619
25/04/2011,307.25,-0.008071487
21/04/2011,309.74,-0.000710021
20/04/2011,309.96,0.02601624
19/04/2011,302,-0.006271683
18/04/2011,303.9,-0.00949737
15/04/2011,306.8,0.004148096
14/04/2011,305.53,0.002950048
13/04/2011,304.63,0.009764221
12/04/2011,301.67,-0.007693997
11/04/2011,304,-0.004463707
08/04/2011,305.36,-0.001864909
07/04/2011,305.93,-0.008689622
06/04/2011,308.6,0.012160484
05/04/2011,304.87,-0.000786911
04/04/2011,305.11,0.002756902
01/04/2011,304.27,0.008979625
31/03/2011,301.55,-0.005621708
30/03/2011,303.25,0.017396949
29/03/2011,298.02,0.008491762
28/03/2011,295.5,-0.001217533
25/03/2011,295.86,-0.008246845
24/03/2011,298.31,-0.001741636
23/03/2011,298.83,0.026826535
22/03/2011,290.92,0.003339821
21/03/2011,289.95,0.014451219
18/03/2011,285.79,-0.004886742
17/03/2011,287.19,0.024319236
