Date,Close,TAP
01/10/2010,47.78,0.01178961
30/09/2010,47.22,-0.001058313
29/09/2010,47.27,0.001058313
28/09/2010,47.22,0.011501724
27/09/2010,46.68,-0.004488626
24/09/2010,46.89,0.022429234
23/09/2010,45.85,-0.002613811
22/09/2010,45.97,0.00983722
21/09/2010,45.52,-0.008966709
20/09/2010,45.93,0.009406172
17/09/2010,45.5,0.007057815
16/09/2010,45.18,0.001107297
15/09/2010,45.13,0.010468967
14/09/2010,44.66,0.006740084
13/09/2010,44.36,0.006331998
10/09/2010,44.08,-0.007233305
09/09/2010,44.4,-0.008075414
08/09/2010,44.76,0.008525966
07/09/2010,44.38,-0.004720701
03/09/2010,44.59,-0.003581826
02/09/2010,44.75,0.000447027
01/09/2010,44.73,0.026505119
31/08/2010,43.56,0.004832595
30/08/2010,43.35,-0.010555399
27/08/2010,43.81,-0.006824412
26/08/2010,44.11,-0.011495675
25/08/2010,44.62,-0.010700058
24/08/2010,45.1,-0.014309545
23/08/2010,45.75,-0.00370896
20/08/2010,45.92,-0.002609832
19/08/2010,46.04,-0.010801574
18/08/2010,46.54,0.002797205
17/08/2010,46.41,0.016292312
16/08/2010,45.66,0.000876424
13/08/2010,45.62,-0.003282638
12/08/2010,45.77,0.003282638
11/08/2010,45.62,-0.012200587
10/08/2010,46.18,0.00368804
09/08/2010,46.01,0.007198199
06/08/2010,45.68,-0.02315369
05/08/2010,46.75,-0.007246409
04/08/2010,47.09,0.007032528
03/08/2010,46.76,0.01638674
02/08/2010,46,0.021756709
30/07/2010,45.01,0.003338158
29/07/2010,44.86,-0.013286289
28/07/2010,45.46,-0.023694185
27/07/2010,46.55,0.001504891
26/07/2010,46.48,0.005176888
23/07/2010,46.24,0.007162266
22/07/2010,45.91,0.022467905
21/07/2010,44.89,0.001114455
20/07/2010,44.84,0.007386715
19/07/2010,44.51,0.0122063
16/07/2010,43.97,-0.017136834
15/07/2010,44.73,0.004032264
14/07/2010,44.55,-0.005819175
13/07/2010,44.81,0.010544125
12/07/2010,44.34,0.004067802
09/07/2010,44.16,0.004766778
08/07/2010,43.95,0.010061827
07/07/2010,43.51,0.022781087
06/07/2010,42.53,0.008263534
02/07/2010,42.18,-0.012018526
01/07/2010,42.69,0.00776018
30/06/2010,42.36,-0.010800762
29/06/2010,42.82,-0.018281199
28/06/2010,43.61,0.004827041
25/06/2010,43.4,-0.011227063
24/06/2010,43.89,-0.006132898
23/06/2010,44.16,0.000679579
22/06/2010,44.13,0.003177488
21/06/2010,43.99,-0.012649819
18/06/2010,44.55,0.004499445
17/06/2010,44.35,-0.000450857
16/06/2010,44.37,0.000676361
15/06/2010,44.34,0.007470323
14/06/2010,44.01,0.007526549
11/06/2010,43.68,-0.005707127
10/06/2010,43.93,0.01791504
09/06/2010,43.15,0.004645769
08/06/2010,42.95,0.017142606
07/06/2010,42.22,0.013832799
04/06/2010,41.64,-0.011223998
03/06/2010,42.11,0.009784113
02/06/2010,41.7,0.02994017
01/06/2010,40.47,-0.013986242
28/05/2010,41.04,0.01102547
27/05/2010,40.59,0.01089929
26/05/2010,40.15,-0.014833399
25/05/2010,40.75,-0.018960218
24/05/2010,41.53,-0.008631077
21/05/2010,41.89,0.013458506
20/05/2010,41.33,-0.04216636
19/05/2010,43.11,-0.011302162
