Date,Close,SJM
13/10/2011,75.19,0.009890484
12/10/2011,74.45,0.00619781
11/10/2011,73.99,0.006780606
10/10/2011,73.49,0.008884088
07/10/2011,72.84,0.006058955
06/10/2011,72.4,0.019103976
05/10/2011,71.03,-0.005755614
04/10/2011,71.44,0.000560067
03/10/2011,71.4,-0.020653586
30/09/2011,72.89,-0.013761373
29/09/2011,73.9,0.002574353
28/09/2011,73.71,-0.01881523
27/09/2011,75.11,0.002799815
26/09/2011,74.9,0.008850802
23/09/2011,74.24,0.018077285
22/09/2011,72.91,-0.003012875
21/09/2011,73.13,-0.008442316
20/09/2011,73.75,-0.000542226
19/09/2011,73.79,0.002578195
16/09/2011,73.6,-0.000407526
15/09/2011,73.63,0.016846252
14/09/2011,72.4,0.010413145
13/09/2011,71.65,0.011087055
12/09/2011,70.86,0.00141223
09/09/2011,70.76,-0.016260521
08/09/2011,71.92,-0.004716336
07/09/2011,72.26,0.025083638
06/09/2011,70.47,-0.011428696
02/09/2011,71.28,-0.007964829
01/09/2011,71.85,-0.003334726
31/08/2011,72.09,0.015799
30/08/2011,70.96,0.002963801
29/08/2011,70.75,0.022151674
26/08/2011,69.2,0.022210147
25/08/2011,67.68,-0.015249562
24/08/2011,68.72,-0.00565916
23/08/2011,69.11,0.019727388
22/08/2011,67.76,-0.000885086
19/08/2011,67.82,-0.031923779
18/08/2011,70.02,-0.076146127
17/08/2011,75.56,0.008906672
16/08/2011,74.89,-0.013528058
15/08/2011,75.91,0.014329554
12/08/2011,74.83,0.008724302
11/08/2011,74.18,0.03177479
10/08/2011,71.86,0.002926627
09/08/2011,71.65,0.016464173
08/08/2011,70.48,-0.047113174
05/08/2011,73.88,0.007063327
04/08/2011,73.36,-0.03258753
03/08/2011,75.79,0.005689728
02/08/2011,75.36,-0.02813033
01/08/2011,77.51,-0.005275699
29/07/2011,77.92,-0.007543346
28/07/2011,78.51,-0.001781624
27/07/2011,78.65,-0.002666499
26/07/2011,78.86,-0.007579622
25/07/2011,79.46,-0.006772884
22/07/2011,80,0.004133531
21/07/2011,79.67,0.014921875
20/07/2011,78.49,-0.000891436
19/07/2011,78.56,0.024482604
18/07/2011,76.66,0.004707122
15/07/2011,76.3,0.004466052
14/07/2011,75.96,-0.006299233
13/07/2011,76.44,-0.000784621
12/07/2011,76.5,0.004848336
11/07/2011,76.13,-0.00157501
08/07/2011,76.25,-0.010826428
07/07/2011,77.08,0.010170905
06/07/2011,76.3,-0.003009883
05/07/2011,76.53,-0.004302764
01/07/2011,76.86,0.005479466
30/06/2011,76.44,0.001964251
29/06/2011,76.29,0.004334982
28/06/2011,75.96,0.006339165
