Date,Close,PM
05/01/2012,78.21,-0.003063963
04/01/2012,78.45,-0.001782986
03/01/2012,78.59,0.00140065
30/12/2011,78.48,-0.00786906
29/12/2011,79.1,0.00748687
28/12/2011,78.51,-0.00406763
27/12/2011,78.83,0.001015357
23/12/2011,78.75,0.011494379
22/12/2011,77.85,-0.004229962
21/12/2011,78.18,0.019112152
20/12/2011,76.7,0.006540246
19/12/2011,76.2,0.00790518
16/12/2011,75.6,-0.004223871
15/12/2011,75.92,0.014060452
14/12/2011,74.86,-0.008645395
13/12/2011,75.51,0.004778982
12/12/2011,75.15,-0.005705582
09/12/2011,75.58,0.013587528
08/12/2011,74.56,-0.013587528
07/12/2011,75.58,0
06/12/2011,75.58,-0.003829651
05/12/2011,75.87,0.005286123
02/12/2011,75.47,-0.002910825
01/12/2011,75.69,-0.007240208
30/11/2011,76.24,0.023624191
29/11/2011,74.46,0.01857051
28/11/2011,73.09,0.024654988
25/11/2011,71.31,0.004075043
23/11/2011,71.02,-0.013843471
22/11/2011,72.01,0.000138879
21/11/2011,72,-0.015025439
18/11/2011,73.09,0.013914945
17/11/2011,72.08,0.006402249
16/11/2011,71.62,0.001397234
15/11/2011,71.52,0.004343873
14/11/2011,71.21,-0.006020319
11/11/2011,71.64,0.0089737
10/11/2011,71,0.019627995
09/11/2011,69.62,-0.022440936
08/11/2011,71.2,0.009880109
07/11/2011,70.5,0.004121959
04/11/2011,70.21,-0.008226997
03/11/2011,70.79,0.013081375
02/11/2011,69.87,0.016014192
01/11/2011,68.76,-0.016014192
31/10/2011,69.87,-0.031695026
28/10/2011,72.12,0.001665279
27/10/2011,72,0.016807118
26/10/2011,70.8,0.028074029
25/10/2011,68.84,-0.00925397
24/10/2011,69.48,-0.007456301
21/10/2011,70,0.026197316
20/10/2011,68.19,0.032188742
19/10/2011,66.03,-0.004231531
18/10/2011,66.31,-0.010948741
17/10/2011,67.04,-0.005355562
14/10/2011,67.4,0.014195233
13/10/2011,66.45,0.00210907
12/10/2011,66.31,0.015348679
11/10/2011,65.3,-0.011419995
10/10/2011,66.05,0.014026758
07/10/2011,65.13,0.008480507
06/10/2011,64.58,0.020177427
05/10/2011,63.29,0.007772265
04/10/2011,62.8,0.016699168
03/10/2011,61.76,-0.009988805
30/09/2011,62.38,-0.02579461
29/09/2011,64.01,0.009890967
28/09/2011,63.38,-0.020767395
27/09/2011,64.71,0.002010984
26/09/2011,64.58,0.011994847
23/09/2011,63.81,-0.017861778
22/09/2011,64.96,-0.027931385
21/09/2011,66.8,-0.021913817
20/09/2011,68.28,0.005433599
19/09/2011,67.91,-0.017081954
16/09/2011,69.08,0.01150191
15/09/2011,68.29,0.0103033
14/09/2011,67.59,0.02425995
13/09/2011,65.97,-0.000757633
12/09/2011,66.02,0.001819285
09/09/2011,65.9,-0.039424964
08/09/2011,68.55,-0.00596322
07/09/2011,68.96,0.01681695
06/09/2011,67.81,-0.006321226
02/09/2011,68.24,-0.015414003
01/09/2011,69.3,-0.000288559
31/08/2011,69.32,-0.011474595
30/08/2011,70.12,-0.00540465
29/08/2011,70.5,0.018611847
26/08/2011,69.2,0.004780193
25/08/2011,68.87,-0.018272575
24/08/2011,70.14,-0.00185172
23/08/2011,70.27,0.022304688
22/08/2011,68.72,-0.001599419
19/08/2011,68.83,0.004805951
18/08/2011,68.5,-0.008141947
17/08/2011,69.06,0.019889512
16/08/2011,67.7,-0.009262729
15/08/2011,68.33,0.025193982
12/08/2011,66.63,0.016341716
11/08/2011,65.55,0.009965586
10/08/2011,64.9,-0.037797394
09/08/2011,67.4,0.016907712
08/08/2011,66.27,-0.045284634
05/08/2011,69.34,0.028376922
04/08/2011,67.4,-0.037278632
03/08/2011,69.96,0.003006229
02/08/2011,69.75,-0.013810998
01/08/2011,70.72,-0.006342963
29/07/2011,71.17,-0.016444072
28/07/2011,72.35,0.008048892
27/07/2011,71.77,-0.002087829
26/07/2011,71.92,-0.002915656
25/07/2011,72.13,0.000277316
22/07/2011,72.11,0.008635151
21/07/2011,71.49,0.047259653
20/07/2011,68.19,-0.004681793
19/07/2011,68.51,0.024827638
18/07/2011,66.83,-0.001495216
15/07/2011,66.93,0.007649081
14/07/2011,66.42,-0.006303488
13/07/2011,66.84,-0.00388234
12/07/2011,67.1,-0.023273992
11/07/2011,68.68,-0.010572913
08/07/2011,69.41,0.003897515
07/07/2011,69.14,0.013102531
06/07/2011,68.24,0.015506476
05/07/2011,67.19,0.00657013
01/07/2011,66.75,-0.000299581
30/06/2011,66.77,0.00902669
29/06/2011,66.17,0.004240503
28/06/2011,65.89,-0.000455201
27/06/2011,65.92,0.012517336
24/06/2011,65.1,-0.016302639
