Date,Close,JCI
07/02/2011,39.1,0.023548766
04/02/2011,38.19,0.01849947
03/02/2011,37.49,0.003205987
02/02/2011,37.37,-0.028230341
01/02/2011,38.44,0.001301575
31/01/2011,38.39,0.018402202
28/01/2011,37.69,-0.04411717
27/01/2011,39.39,0.014061334
26/01/2011,38.84,0.005939333
25/01/2011,38.61,-0.009280809
24/01/2011,38.97,0.011614532
21/01/2011,38.52,-0.00724266
20/01/2011,38.8,-0.033703938
19/01/2011,40.13,-0.012628619
18/01/2011,40.64,0.00468616
14/01/2011,40.45,0.005950923
13/01/2011,40.21,-0.01309469
12/01/2011,40.74,0.008628181
11/01/2011,40.39,-0.012547833
10/01/2011,40.9,0.013290868
07/01/2011,40.36,0.000495663
06/01/2011,40.34,-0.006424534
05/01/2011,40.6,0.022920784
04/01/2011,39.68,0.003028776
03/01/2011,39.56,0.034982991
31/12/2010,38.2,-0.001046573
30/12/2010,38.24,-0.003133162
29/12/2010,38.36,0.009692283
28/12/2010,37.99,-0.004464879
27/12/2010,38.16,-0.004705891
23/12/2010,38.34,-0.007794272
22/12/2010,38.64,-0.010810916
21/12/2010,39.06,-0.000255984
20/12/2010,39.07,0.010808134
17/12/2010,38.65,-0.005161302
16/12/2010,38.85,0.020018867
15/12/2010,38.08,-0.005499556
14/12/2010,38.29,0.012879663
13/12/2010,37.8,-0.004223871
10/12/2010,37.96,0.000790618
09/12/2010,37.93,-0.010490524
08/12/2010,38.33,-0.017328767
07/12/2010,39,-0.012739026
06/12/2010,39.5,0.00787906
03/12/2010,39.19,0.00614284
02/12/2010,38.95,0.028647792
01/12/2010,37.85,0.037963907
30/11/2010,36.44,-0.007382125
29/11/2010,36.71,-0.010298194
26/11/2010,37.09,-0.005645935
24/11/2010,37.3,0.010781776
23/11/2010,36.9,-0.013191738
22/11/2010,37.39,0.019444307
19/11/2010,36.67,-0.006794428
18/11/2010,36.92,0.028573372
17/11/2010,35.88,0.010647341
16/11/2010,35.5,-0.027231469
15/11/2010,36.48,0.000822707
12/11/2010,36.45,-0.017945017
11/11/2010,37.11,0.003238869
10/11/2010,36.99,0.003791987
09/11/2010,36.85,-0.013209519
08/11/2010,37.34,0.014567293
05/11/2010,36.8,0.008185585
