Date,Close,FDX
22/07/2010,78.53,0.059010301
21/07/2010,74.03,-0.025078012
20/07/2010,75.91,0.012193657
19/07/2010,74.99,0.005080225
16/07/2010,74.61,-0.034383944
15/07/2010,77.22,-0.019365786
14/07/2010,78.73,0.018459696
13/07/2010,77.29,0.04133966
12/07/2010,74.16,-0.000808734
09/07/2010,74.22,0.007302264
08/07/2010,73.68,0.010779937
07/07/2010,72.89,0.030505882
06/07/2010,70.7,-0.009992343
02/07/2010,71.41,-0.008228203
01/07/2010,72,0.026600682
30/06/2010,70.11,-0.019771863
29/06/2010,71.51,-0.049382646
28/06/2010,75.13,-0.01098694
25/06/2010,75.96,0
24/06/2010,75.96,-0.008259634
23/06/2010,76.59,0.005105057
22/06/2010,76.2,-0.030755751
21/06/2010,78.58,-0.001525941
18/06/2010,78.7,0.007525066
17/06/2010,78.11,0.000512229
16/06/2010,78.07,-0.061355222
15/06/2010,83.01,0.018726228
14/06/2010,81.47,0.010364066
11/06/2010,80.63,0.004599424
10/06/2010,80.26,0.034348475
09/06/2010,77.55,-0.014466104
08/06/2010,78.68,0.027836849
07/06/2010,76.52,-0.036568319
04/06/2010,79.37,-0.056458212
03/06/2010,83.98,0.007890059
02/06/2010,83.32,0.024665609
01/06/2010,81.29,-0.026703856
28/05/2010,83.49,-0.007992885
27/05/2010,84.16,0.030400411
26/05/2010,81.64,0.011456855
25/05/2010,80.71,-0.009372371
24/05/2010,81.47,-0.019328384
21/05/2010,83.06,0.023880277
20/05/2010,81.1,-0.036204693
19/05/2010,84.09,0.000356824
18/05/2010,84.06,-0.021536578
17/05/2010,85.89,-0.000232829
14/05/2010,85.91,-0.023809279
13/05/2010,87.98,-0.020029926
12/05/2010,89.76,0.018553408
11/05/2010,88.11,0.00443611
10/05/2010,87.72,0.05362399
07/05/2010,83.14,-0.033705077
06/05/2010,85.99,-0.029449278
05/05/2010,88.56,-0.009104767
04/05/2010,89.37,-0.034099212
03/05/2010,92.47,0.026963492
30/04/2010,90.01,-0.02815236
29/04/2010,92.58,0.018973418
28/04/2010,90.84,0.012406008
27/04/2010,89.72,-0.030514935
26/04/2010,92.5,-0.003345748
23/04/2010,92.81,0.011922968
22/04/2010,91.71,0.002292452
21/04/2010,91.5,-0.005884293
20/04/2010,92.04,-0.005525774
19/04/2010,92.55,-0.014161807
16/04/2010,93.87,-0.018471157
15/04/2010,95.62,0.016980844
