Date,Close,MJN
21/03/2011,57.08,0.020889412
18/03/2011,55.9,0.009707069
17/03/2011,55.36,-0.008095753
16/03/2011,55.81,-0.009451698
15/03/2011,56.34,-0.017768081
14/03/2011,57.35,-0.00608433
11/03/2011,57.7,-0.00259628
10/03/2011,57.85,-0.022561203
09/03/2011,59.17,0.001014542
08/03/2011,59.11,-0.001521427
07/03/2011,59.2,-0.001350439
04/03/2011,59.28,-0.010905233
03/03/2011,59.93,0.018015472
02/03/2011,58.86,0.004939123
01/03/2011,58.57,-0.021618812
28/02/2011,59.85,-0.014102266
25/02/2011,60.7,0.024853252
24/02/2011,59.21,0.009332383
23/02/2011,58.66,-0.021419151
22/02/2011,59.93,-0.022765747
18/02/2011,61.31,0.001632387
17/02/2011,61.21,0.015642041
16/02/2011,60.26,0.009839152
15/02/2011,59.67,-0.011000111
14/02/2011,60.33,0.000497389
11/02/2011,60.3,0.008493681
10/02/2011,59.79,-0.005670462
09/02/2011,60.13,0.000998336
08/02/2011,60.07,0.014589007
07/02/2011,59.2,0.007800616
04/02/2011,58.74,-0.000850847
03/02/2011,58.79,0.021491414
02/02/2011,57.54,-0.006237026
01/02/2011,57.9,-0.001208251
31/01/2011,57.97,-0.00584797
28/01/2011,58.31,-0.02204974
27/01/2011,59.61,-0.006854495
26/01/2011,60.02,-0.011430589
25/01/2011,60.71,-0.014553441
24/01/2011,61.6,-0.001297859
21/01/2011,61.68,0.004387041
20/01/2011,61.41,-0.015992587
19/01/2011,62.4,-0.009569451
18/01/2011,63,0.002224695
14/01/2011,62.86,-0.001112966
13/01/2011,62.93,0.010382651
12/01/2011,62.28,0.006928248
11/01/2011,61.85,0.012855112
10/01/2011,61.06,0.0003276
07/01/2011,61.04,-0.005880448
06/01/2011,61.4,-0.006007975
05/01/2011,61.77,0.00927062
04/01/2011,61.2,-0.017814236
03/01/2011,62.3,0.00080289
31/12/2010,62.25,0.01342302
30/12/2010,61.42,0.002118818
29/12/2010,61.29,-0.006667233
28/12/2010,61.7,-0.000162061
27/12/2010,61.71,-0.005494519
23/12/2010,62.05,0.001935797
22/12/2010,61.93,-0.000968367
21/12/2010,61.99,-0.008993155
20/12/2010,62.55,0.000479731
17/12/2010,62.52,0.00432797
16/12/2010,62.25,0.015541838
15/12/2010,61.29,-0.011195055
14/12/2010,61.98,-0.003704006
13/12/2010,62.21,-0.000803406
10/12/2010,62.26,0.004023503
09/12/2010,62.01,-0.002898553
08/12/2010,62.19,0.005643811
07/12/2010,61.84,-0.004356602
06/12/2010,62.11,0.001127668
03/12/2010,62.04,0.01020665
02/12/2010,61.41,0.020731246
01/12/2010,60.15,0.009689351
30/11/2010,59.57,-0.003184449
29/11/2010,59.76,-0.012967763
26/11/2010,60.54,0.005465852
24/11/2010,60.21,0.020470513
23/11/2010,58.99,-0.019473504
22/11/2010,60.15,0
19/11/2010,60.15,0.00249688
18/11/2010,60,0.008536331
17/11/2010,59.49,0.001682369
16/11/2010,59.39,-0.020334034
15/11/2010,60.61,0.016636551
12/11/2010,59.61,-0.001508675
11/11/2010,59.7,-0.004845861
10/11/2010,59.99,0.006857934
09/11/2010,59.58,0.005891777
08/11/2010,59.23,-0.00353923
05/11/2010,59.44,-0.000168223
04/11/2010,59.45,-0.000336361
03/11/2010,59.47,0.000336361
02/11/2010,59.45,0.005059033
01/11/2010,59.15,0.005594657
29/10/2010,58.82,0.001531264
28/10/2010,58.73,0.024999147
27/10/2010,57.28,0.003147406
26/10/2010,57.1,-0.022169249
25/10/2010,58.38,-0.011241815
22/10/2010,59.04,0.014329826
21/10/2010,58.2,0.004822607
20/10/2010,57.92,0.009018445
19/10/2010,57.4,-0.011949229
18/10/2010,58.09,0.004658795
15/10/2010,57.82,0.000865127
14/10/2010,57.77,-0.008102794
13/10/2010,58.24,-0.001029689
12/10/2010,58.3,0.006712012
11/10/2010,57.91,0.024649443
08/10/2010,56.5,0.005501833
07/10/2010,56.19,0.003387114
06/10/2010,56,-0.00445435
05/10/2010,56.25,0.005347606
04/10/2010,55.95,-0.005347606
01/10/2010,56.25,-0.011665032
30/09/2010,56.91,0.002815416
29/09/2010,56.75,0.001587162
28/09/2010,56.66,0.002827856
27/09/2010,56.5,-0.01091368
24/09/2010,57.12,0.019624072
23/09/2010,56.01,-0.011714724
22/09/2010,56.67,0.012965282
21/09/2010,55.94,0.00519761
20/09/2010,55.65,0.009932362
17/09/2010,55.1,-0.018876965
16/09/2010,56.15,0.001247438
15/09/2010,56.08,0.008236394
14/09/2010,55.62,-0.009483832
13/09/2010,56.15,-0.00974753
10/09/2010,56.7,0.015104685
09/09/2010,55.85,0.017520542
08/09/2010,54.88,0.004565801
07/09/2010,54.63,-0.009292223
03/09/2010,55.14,-0.004162525
