Date,Close,TWX
11/07/2011,35.93,-0.019567939
08/07/2011,36.64,-0.011397681
07/07/2011,37.06,0.011397681
06/07/2011,36.64,-0.006528859
05/07/2011,36.88,-0.001084011
01/07/2011,36.92,0.015009151
30/06/2011,36.37,0.007451394
29/06/2011,36.1,0.010582109
28/06/2011,35.72,0.022651025
27/06/2011,34.92,0.0132605
24/06/2011,34.46,-0.020109842
23/06/2011,35.16,-0.008778196
22/06/2011,35.47,-0.007583241
21/06/2011,35.74,0.011255043
20/06/2011,35.34,0.005960001
17/06/2011,35.13,0.015201784
16/06/2011,34.6,-0.000577868
15/06/2011,34.62,-0.012058716
14/06/2011,35.04,0.011481182
13/06/2011,34.64,0.000288725
10/06/2011,34.63,-0.016893745
09/06/2011,35.22,0.010847951
08/06/2011,34.84,0.000574218
07/06/2011,34.82,-0.008294056
06/06/2011,35.11,-0.001707456
03/06/2011,35.17,-0.015237315
02/06/2011,35.71,0.010132369
01/06/2011,35.35,-0.030094219
31/05/2011,36.43,0.008545882
27/05/2011,36.12,0.011976191
26/05/2011,35.69,-0.003635859
25/05/2011,35.82,0.002515725
24/05/2011,35.73,-0.011686277
23/05/2011,36.15,-0.017549121
20/05/2011,36.79,-0.002714442
19/05/2011,36.89,0.003258216
18/05/2011,36.77,0.025896764
17/05/2011,35.83,0.017455398
16/05/2011,35.21,-0.021910989
13/05/2011,35.99,-0.006646383
12/05/2011,36.23,0.013896833
11/05/2011,35.73,-0.017203532
10/05/2011,36.35,0.007178385
09/05/2011,36.09,-0.004423563
06/05/2011,36.25,0.006642704
05/05/2011,36.01,-0.013241573
04/05/2011,36.49,-0.033417284
03/05/2011,37.73,-0.00291121
02/05/2011,37.84,-0.000528402
29/04/2011,37.86,0.016780258
28/04/2011,37.23,0.012432593
27/04/2011,36.77,-0.003258216
26/04/2011,36.89,0.010902261
25/04/2011,36.49,-0.000547945
21/04/2011,36.51,0.0118475
20/04/2011,36.08,0.013673996
19/04/2011,35.59,0.000843289
18/04/2011,35.56,-0.013685453
15/04/2011,36.05,0.011999586
14/04/2011,35.62,-0.000561325
13/04/2011,35.64,0.00534535
12/04/2011,35.45,0.008498635
11/04/2011,35.15,-0.009062651
08/04/2011,35.47,-0.005061878
07/04/2011,35.65,-0.016414334
06/04/2011,36.24,0.0083126
05/04/2011,35.94,0.009786182
04/04/2011,35.59,0.001687289
01/04/2011,35.53,-0.004773279
31/03/2011,35.7,0.002524191
30/03/2011,35.61,0.018135946
29/03/2011,34.97,-0.001143184
28/03/2011,35.01,-0.008249229
25/03/2011,35.3,-0.009305016
24/03/2011,35.63,0.001404297
23/03/2011,35.58,0.020443642
22/03/2011,34.86,-0.017065261
21/03/2011,35.46,0.021089411
18/03/2011,34.72,-0.010030174
17/03/2011,35.07,0.001141227
16/03/2011,35.03,-0.021463688
15/03/2011,35.79,-0.0135981
14/03/2011,36.28,-0.001377221
11/03/2011,36.33,0.017773309
10/03/2011,35.69,-0.023263303
09/03/2011,36.53,0.00274123
08/03/2011,36.43,-0.009561608
07/03/2011,36.78,-0.012697726
04/03/2011,37.25,-0.017826733
03/03/2011,37.92,0.018095225
02/03/2011,37.24,-0.009354605
01/03/2011,37.59,-0.016097458
28/02/2011,38.2,0.007884404
25/02/2011,37.9,0.012745791
24/02/2011,37.42,-0.002402243
23/02/2011,37.51,-0.00505253
22/02/2011,37.7,-0.012651724
18/02/2011,38.18,0.013182369
17/02/2011,37.68,0.010136123
16/02/2011,37.3,0.016489088
