Date,Close,LLTC
22/01/2013,36.38,-0.002744992
18/01/2013,36.48,0.002744992
17/01/2013,36.38,0.014117882
16/01/2013,35.87,0.008961135
15/01/2013,35.55,-0.006728369
14/01/2013,35.79,0.001677853
11/01/2013,35.73,-0.012239374
10/01/2013,36.17,0.006100962
09/01/2013,35.95,0.006978395
08/01/2013,35.7,-0.005865119
07/01/2013,35.91,0.005585047
04/01/2013,35.71,-0.002796422
03/01/2013,35.81,-0.005013938
02/01/2013,35.99,0.048095768
31/12/2012,34.3,0.014684552
28/12/2012,33.8,-0.004722559
27/12/2012,33.96,-0.004700361
26/12/2012,34.12,-0.003510829
24/12/2012,34.24,0.000584283
21/12/2012,34.22,-0.004955556
20/12/2012,34.39,0.007296107
19/12/2012,34.14,-0.006132301
18/12/2012,34.35,0.017917942
17/12/2012,33.74,0.004753425
14/12/2012,33.58,-0.00089299
13/12/2012,33.61,-0.024975589
12/12/2012,34.46,0.00116144
11/12/2012,34.42,0.019064956
10/12/2012,33.77,0.003262646
07/12/2012,33.66,0.004466287
06/12/2012,33.51,0.010198049
05/12/2012,33.17,0.004532414
04/12/2012,33.02,0.001212121
03/12/2012,32.98,-0.006347309
30/11/2012,33.19,0.003319756
29/11/2012,33.08,0.0060643
28/11/2012,32.88,0.017178337
27/11/2012,32.32,-0.003089283
26/11/2012,32.42,-0.000924927
23/11/2012,32.45,0.017094433
21/11/2012,31.9,-0.00031343
20/11/2012,31.91,-0.001878523
19/11/2012,31.97,0.023098638
16/11/2012,31.24,-0.007335386
15/11/2012,31.47,-0.01137453
14/11/2012,31.83,-0.016513851
13/11/2012,32.36,-0.002160828
12/11/2012,32.43,-0.001540595
09/11/2012,32.48,0.000615953
08/11/2012,32.46,0.004322328
07/11/2012,32.32,-0.026562392
06/11/2012,33.19,0.00816825
05/11/2012,32.92,0.020562333
02/11/2012,32.25,-0.012020487
01/11/2012,32.64,0.043199205
31/10/2012,31.26,-0.010184684
26/10/2012,31.58,0.005397695
25/10/2012,31.41,0.013139109
24/10/2012,31,-0.008671967
23/10/2012,31.27,0.000959846
22/10/2012,31.24,0.00128123
19/10/2012,31.2,-0.012739026
18/10/2012,31.6,-0.019430257
17/10/2012,32.22,-0.010497163
16/10/2012,32.56,0.016099419
15/10/2012,32.04,0.016680166
12/10/2012,31.51,-0.008217493
11/10/2012,31.77,0.005048922
10/10/2012,31.61,-0.011949828
09/10/2012,31.99,-0.028960742
08/10/2012,32.93,-0.009068986
05/10/2012,33.23,-0.005402174
04/10/2012,33.41,0.012650771
