Date,Close,EBAY
27/10/2010,29.28,0.018266922
26/10/2010,28.75,0.028936387
25/10/2010,27.93,-0.00500001
22/10/2010,28.07,0.031484417
21/10/2010,27.2,0.058283614
20/10/2010,25.66,0.005079128
19/10/2010,25.53,-0.007414668
18/10/2010,25.72,0.001556421
15/10/2010,25.68,0.01569891
14/10/2010,25.28,0.016351311
13/10/2010,24.87,0.017032042
12/10/2010,24.45,0.006565473
11/10/2010,24.29,-0.013088121
08/10/2010,24.61,-0.005672625
07/10/2010,24.75,0.012195273
06/10/2010,24.45,-0.00570964
05/10/2010,24.59,0.020958236
04/10/2010,24.08,-0.01565751
01/10/2010,24.46,0.002455998
30/09/2010,24.4,-0.023892613
29/09/2010,24.99,0.004813487
28/09/2010,24.87,0.004029014
27/09/2010,24.77,0.001211877
24/09/2010,24.74,0.02000475
23/09/2010,24.25,-0.00370447
22/09/2010,24.34,-0.016300279
21/09/2010,24.74,0.003644466
20/09/2010,24.65,0.017598162
17/09/2010,24.22,0.013300279
16/09/2010,23.9,-0.012060866
15/09/2010,24.19,-0.002477293
14/09/2010,24.25,-0.002059733
13/09/2010,24.3,0.00826451
10/09/2010,24.1,-0.00826451
09/09/2010,24.3,-0.011049836
08/09/2010,24.57,0.043249984
07/09/2010,23.53,-0.025179677
03/09/2010,24.13,0.002905169
02/09/2010,24.06,0.001247661
01/09/2010,24.03,0.033858503
31/08/2010,23.23,0.004314071
30/08/2010,23.13,-0.002159362
27/08/2010,23.18,0.0196042
26/08/2010,22.73,-0.018741015
25/08/2010,23.16,0.012600645
24/08/2010,22.87,-0.017338969
23/08/2010,23.27,-0.004288171
20/08/2010,23.37,0.010322672
19/08/2010,23.13,0.017004988
18/08/2010,22.74,0.017299167
17/08/2010,22.35,0.013513719
16/08/2010,22.05,0.025259667
13/08/2010,21.5,-0.004177309
12/08/2010,21.59,0.015873349
11/08/2010,21.25,-0.030586258
10/08/2010,21.91,-0.003189795
09/08/2010,21.98,0.024408304
06/08/2010,21.45,0.017874418
05/08/2010,21.07,-0.001422813
04/08/2010,21.1,0.006180196
03/08/2010,20.97,-0.023097892
02/08/2010,21.46,0.025963224
30/07/2010,20.91,0.006717876
29/07/2010,20.77,-0.01291575
28/07/2010,21.04,0
27/07/2010,21.04,-0.004741593
26/07/2010,21.14,0.002367986
23/07/2010,21.09,0.007137789
22/07/2010,20.94,0.037464853
21/07/2010,20.17,-0.03027575
20/07/2010,20.79,0.018937201
19/07/2010,20.4,0.015312722
16/07/2010,20.09,-0.045727811
15/07/2010,21.03,-0.003796872
14/07/2010,21.11,0.004748347
13/07/2010,21.01,0.038326301
12/07/2010,20.22,-0.00345594
09/07/2010,20.29,0.019911061
08/07/2010,19.89,0.004030232
07/07/2010,19.81,0.023494441
06/07/2010,19.35,0.004662013
02/07/2010,19.26,-0.019537897
01/07/2010,19.64,0.001528663
30/06/2010,19.61,-0.004071252
29/06/2010,19.69,-0.050505783
28/06/2010,20.71,-0.011521971
25/06/2010,20.95,0.004305197
24/06/2010,20.86,-0.022749796
23/06/2010,21.34,-0.0102565
22/06/2010,21.56,-0.014276089
21/06/2010,21.87,-0.013173027
18/06/2010,22.16,0.002711253
17/06/2010,22.1,-0.001356546
16/06/2010,22.13,-0.011680277
15/06/2010,22.39,0.008071793
14/06/2010,22.21,-0.019617214
11/06/2010,22.65,0.016470437
10/06/2010,22.28,0.022697298
09/06/2010,21.78,0.004140793
08/06/2010,21.69,0.006475508
07/06/2010,21.55,-0.020211988
04/06/2010,21.99,-0.008603177
03/06/2010,22.18,0.042834087
02/06/2010,21.25,0.013741036
01/06/2010,20.96,-0.021242243
