Date,Close,ADP
18/11/2009,43.81,-0.004554779
17/11/2009,44.01,0.001591814
16/11/2009,43.94,0.00983427
13/11/2009,43.51,0.004376375
12/11/2009,43.32,-0.001614578
11/11/2009,43.39,0.006010189
10/11/2009,43.13,0.004182162
09/11/2009,42.95,0.014776861
06/11/2009,42.32,0.001892148
05/11/2009,42.24,0.034685558
04/11/2009,40.8,0.003683245
03/11/2009,40.65,0.005179442
02/11/2009,40.44,0.015952482
30/10/2009,39.8,-0.011243092
29/10/2009,40.25,0.005980581
28/10/2009,40.01,-0.005483563
27/10/2009,40.23,-0.003473949
26/10/2009,40.37,0
23/10/2009,40.37,-0.015485132
22/10/2009,41,0.017220598
21/10/2009,40.3,0.00273326
20/10/2009,40.19,-0.015308941
19/10/2009,40.81,0.004666593
16/10/2009,40.62,-0.005646265
15/10/2009,40.85,0.00122474
14/10/2009,40.8,0.022305758
13/10/2009,39.9,-0.003502631
12/10/2009,40.04,-0.003241494
09/10/2009,40.17,0.011265609
08/10/2009,39.72,0.017780504
07/10/2009,39.02,0.005911854
06/10/2009,38.79,0.000257832
05/10/2009,38.78,-0.000257832
02/10/2009,38.79,-0.004116291
01/10/2009,38.95,-0.008945747
30/09/2009,39.3,-0.001779586
29/09/2009,39.37,-0.01287084
28/09/2009,39.88,0.024623658
25/09/2009,38.91,-0.006915126
24/09/2009,39.18,-0.016955993
23/09/2009,39.85,0.000753107
22/09/2009,39.82,0.015947686
21/09/2009,39.19,-0.005090365
18/09/2009,39.39,0.002796493
17/09/2009,39.28,-0.001526329
16/09/2009,39.34,0.017177707
15/09/2009,38.67,0.007267097
14/09/2009,38.39,-0.000260451
11/09/2009,38.4,0.002346501
10/09/2009,38.31,-0.003387625
09/09/2009,38.44,-0.008032172
08/09/2009,38.75,0.004655984
04/09/2009,38.57,0.019901154
03/09/2009,37.81,0.003709596
02/09/2009,37.67,-0.00291584
01/09/2009,37.78,-0.014974666
31/08/2009,38.35,-0.005460942
28/08/2009,38.56,-0.001295841
